emp_id,cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19
EI0805466ES,1,4,3,4,1,2,2,2,5,1,1,4,3,3,2,3,1,3,5
EI1705121ES,1,2,4,3,2,3,2,3,2,5,4,4,1,3,4,3,4,4,5
EI9801644ES,4,4,3,3,5,2,1,1,2,5,2,4,1,5,1,2,2,1,3
EI1304122ES,2,3,1,3,2,4,4,1,1,4,5,2,3,4,2,1,4,5,1
EI1204611ES,1,2,4,1,1,1,2,2,2,1,2,2,4,1,1,1,2,4,3
EI2105725ES,3,2,1,2,1,2,2,2,3,4,2,2,1,3,3,3,2,2,3
EI9403540ES,2,3,3,4,5,5,3,1,3,3,3,3,2,1,2,2,2,2,1
EI9803962ES,5,1,2,3,2,2,2,5,2,2,2,3,3,2,1,3,1,4,4
EI9900865ES,1,4,3,3,2,3,2,3,3,2,2,5,3,2,3,3,2,4,1
EI1504782ES,3,3,2,2,2,3,4,1,4,2,1,2,2,2,2,2,1,1,3
EI1505923ES,3,1,4,3,3,1,3,2,4,2,1,1,2,4,2,2,3,4,1
EI1003067ES,3,4,3,4,3,3,1,2,3,1,1,1,3,2,2,2,3,1,3
EI1304559ES,3,2,4,2,1,1,2,3,1,3,4,1,2,1,1,2,2,2,1
EI9602234ES,3,2,3,1,2,2,5,1,3,3,3,1,2,5,4,5,2,3,3
EI0804100ES,2,4,1,5,2,3,3,1,2,3,1,1,4,2,1,1,1,1,3
EI0500372ES,4,1,1,3,4,2,2,4,2,5,4,4,5,3,1,1,2,3,3
EI9906073ES,4,4,3,3,3,3,3,5,3,3,2,2,2,5,1,1,1,3,2
EI9503528ES,5,2,5,5,4,1,5,1,3,4,2,2,3,4,2,3,3,4,4
EI0704353ES,2,3,1,1,2,3,3,1,3,4,2,2,1,4,4,3,2,2,4
EI2203183ES,3,5,3,5,1,1,2,2,2,3,2,4,2,3,4,3,4,1,3
EI9304005ES,2,2,1,1,1,2,2,1,2,4,4,4,2,3,3,2,3,2,4
EI0605082ES,4,1,3,3,2,2,4,1,5,1,4,2,4,4,1,3,5,1,5
EI0205379ES,4,5,2,3,5,2,2,2,3,4,4,4,3,5,1,1,4,2,5
EI1806176ES,2,2,1,4,2,4,1,4,1,5,5,3,3,2,2,2,1,2,1
EI1705838ES,2,1,1,1,1,1,2,2,3,1,2,5,4,2,5,1,3,1,4
EI2306365ES,1,5,4,4,2,2,2,1,3,4,1,2,1,3,4,1,1,2,3
EI0504668ES,2,3,1,5,1,2,4,2,2,5,2,3,1,1,3,4,4,1,1
EI1803144ES,4,3,1,4,4,2,4,1,2,2,2,2,2,2,2,1,5,1,3
EI1405534ES,2,3,2,2,4,2,1,2,2,4,1,2,2,1,4,4,2,3,1
EI2601422ES,1,1,5,3,4,5,1,4,1,3,3,2,2,4,1,1,4,5,1
EI1002046ES,3,1,4,1,2,5,2,1,4,1,1,3,1,1,2,2,2,2,2
EI2000123ES,1,2,2,2,2,1,5,1,3,3,1,3,1,1,3,1,3,3,1
EI9800480ES,2,1,2,2,1,1,3,2,2,2,5,3,3,2,4,3,1,2,5
EI0302593ES,4,2,5,1,3,2,1,1,4,1,1,2,5,2,1,1,4,3,4
EI1805154ES,4,3,2,3,4,4,1,2,2,3,2,2,5,2,1,4,4,5,5
EI1006831ES,1,3,2,1,5,1,2,2,1,2,1,2,3,1,5,1,3,3,1
EI2006538ES,2,2,2,1,2,1,2,2,3,2,2,1,4,4,2,3,2,5,2
EI1905026ES,2,3,1,2,4,1,2,1,2,3,4,1,1,4,1,2,1,1,5
EI9300941ES,1,3,4,2,5,2,1,2,2,1,1,4,2,4,1,2,3,1,1
EI9002285ES,2,2,2,5,1,1,4,5,1,1,4,2,1,1,1,2,4,2,2
EI2105114ES,3,1,4,3,2,1,1,1,3,5,3,5,1,4,4,3,1,3,4
EI2200440ES,3,1,2,2,1,3,2,4,5,2,5,5,5,4,5,1,1,4,1
EI1600848ES,4,1,1,1,3,3,3,1,3,2,4,2,4,2,5,1,4,1,4
EI0601884ES,2,4,2,1,2,3,3,2,2,1,4,4,3,1,4,4,3,1,3
EI9102393ES,4,1,4,1,4,1,2,1,3,2,2,3,4,1,1,1,2,3,2
EI2005737ES,1,1,5,2,4,4,3,3,1,2,2,3,1,1,4,1,2,3,2
EI1005009ES,5,2,3,3,3,4,5,2,4,1,2,1,2,4,1,5,4,2,4
EI1101174ES,4,5,1,1,1,1,3,1,2,1,3,3,1,1,5,4,3,1,1
EI1003781ES,2,4,1,1,4,1,3,5,1,2,3,2,5,3,3,2,5,2,2
EI9602520ES,2,3,2,2,2,3,5,4,1,1,4,3,2,1,2,3,3,4,4
EI1205556ES,3,2,4,4,3,5,1,4,2,2,4,1,3,1,5,5,2,1,2
EI9001742ES,2,4,1,3,1,3,4,1,2,3,3,3,3,1,3,5,3,3,1
EI1804596ES,4,5,1,2,1,3,5,4,3,1,2,3,3,5,1,4,3,2,2
EI2202523ES,1,2,5,2,3,2,2,3,1,3,5,4,3,4,3,1,1,2,3
EI1806222ES,2,1,3,1,4,3,3,1,5,1,2,2,2,5,2,5,4,3,3
EI0800280ES,4,3,2,5,2,5,3,3,1,5,2,3,3,4,2,1,1,2,2
EI1202390ES,1,1,2,4,5,2,1,3,2,5,2,1,2,3,3,4,3,1,2
EI9101537ES,4,2,5,3,3,1,2,1,4,3,1,2,2,2,2,5,1,3,2
EI9204291ES,4,4,5,1,4,1,2,2,2,1,1,1,1,2,1,2,1,1,2
EI1604164ES,1,3,5,3,1,2,1,2,5,5,5,2,1,1,5,1,5,3,1
EI1906189ES,4,2,4,3,4,1,4,3,3,5,1,2,2,3,4,1,1,2,3
EI0503937ES,2,2,1,4,5,5,2,4,1,2,1,2,1,2,2,2,4,2,1
EI9906613ES,2,1,2,3,5,2,4,1,2,2,2,4,2,2,3,1,3,4,2
EI2601102ES,3,2,2,2,1,2,1,3,2,4,2,4,2,2,4,5,3,2,2
EI1402733ES,1,3,4,4,2,4,1,1,4,4,4,2,1,4,1,1,2,1,1
EI1501883ES,1,2,4,4,3,2,3,4,3,2,2,1,2,3,1,4,1,5,1
EI9901478ES,4,2,3,2,1,2,3,2,1,2,1,2,2,1,3,1,1,4,2
EI0300578ES,2,2,3,2,1,3,2,1,2,1,3,2,4,1,2,2,1,2,2
EI1200060ES,3,3,1,3,4,1,2,2,1,4,3,3,1,2,1,1,3,2,3
EI9005541ES,4,2,3,3,2,5,5,3,1,3,5,4,1,4,5,1,4,3,2
EI1200788ES,5,3,2,2,3,2,4,2,5,2,3,3,2,5,1,1,3,3,2
EI0106410ES,4,3,3,3,5,2,1,2,4,2,3,1,3,4,2,3,5,2,1
EI9404447ES,2,2,2,2,4,5,1,1,1,2,3,2,4,2,2,2,3,1,2
EI2501619ES,3,1,4,1,1,5,1,3,3,2,1,4,4,2,4,2,2,1,2
EI9804129ES,3,2,2,5,2,1,1,3,1,1,1,2,1,2,3,2,4,3,3
EI1401863ES,3,3,2,4,3,3,1,1,2,2,2,3,3,2,1,4,4,3,2
EI1802690ES,3,1,2,1,2,1,1,1,2,1,5,4,2,1,1,3,1,1,2
EI2601184ES,1,2,4,3,2,2,2,3,5,3,2,3,2,5,1,4,2,1,2
EI1703772ES,3,3,5,2,2,4,1,1,3,1,1,2,2,3,3,1,2,1,5
EI9506975ES,4,1,1,4,4,2,2,2,5,1,5,3,2,2,1,2,2,2,3
EI1602081ES,3,2,1,4,2,2,2,1,2,2,3,5,5,1,1,4,4,4,4
EI1703247ES,2,1,2,2,5,2,1,1,1,3,3,1,3,3,2,2,3,3,3
EI9004539ES,3,4,2,5,4,2,3,1,1,3,3,2,3,2,4,2,2,2,1
EI1905935ES,2,3,2,2,2,2,2,3,3,1,2,1,1,4,4,2,2,3,1
EI9400185ES,2,4,3,2,1,1,1,2,2,2,4,4,2,1,2,5,1,2,4
EI9204752ES,2,1,2,1,2,3,1,2,1,1,1,2,2,2,5,2,2,1,5
EI1505038ES,3,3,2,1,2,2,3,1,5,3,5,4,1,2,3,3,1,2,3
EI9900421ES,4,1,3,4,2,2,3,1,4,1,1,2,2,2,1,2,5,5,5
EI1004879ES,4,5,4,1,3,5,2,4,2,3,3,2,4,2,2,1,2,3,3
EI1300554ES,1,5,2,2,1,1,1,4,3,5,2,2,4,1,3,4,1,1,4
EI0902729ES,1,1,3,1,2,2,2,2,3,5,5,2,1,1,4,2,5,4,4
EI1405783ES,3,4,4,4,4,2,2,2,1,3,2,3,3,2,4,2,1,5,5
EI1104367ES,1,3,2,3,3,4,3,1,2,1,2,3,1,4,3,4,2,3,2
EI9605325ES,5,2,5,3,1,1,2,5,4,2,1,2,5,1,1,3,1,3,1
EI1500444ES,1,4,1,5,3,3,1,1,2,4,4,1,1,1,2,2,4,5,4
EI0005698ES,1,3,2,2,1,1,4,3,2,1,3,2,1,1,1,2,4,2,4
EI0001570ES,3,4,5,4,4,2,1,1,3,4,4,1,3,4,4,2,4,3,1
EI9102388ES,2,3,1,3,1,2,2,1,1,2,3,1,2,4,2,3,3,4,2
EI1902178ES,2,4,4,4,5,2,1,2,3,2,2,2,1,1,2,4,1,1,1
EI0101488ES,2,4,3,2,1,3,2,4,3,5,3,4,1,1,3,1,5,1,1
EI9801616ES,3,1,3,3,4,3,2,4,2,2,1,2,1,4,3,5,2,4,2
EI0200182ES,1,5,2,3,4,1,1,4,1,2,2,3,2,3,4,4,3,1,3
EI1604369ES,5,2,2,5,1,3,2,1,1,2,2,5,2,2,1,2,1,3,2
EI0900795ES,5,3,3,3,4,3,2,2,3,3,4,5,2,2,5,1,1,2,4
EI1401386ES,2,1,3,2,2,1,2,2,5,5,3,4,2,1,2,2,2,2,2
EI0004833ES,1,1,1,1,1,5,3,1,2,2,1,1,4,3,5,2,3,2,2
EI2101466ES,2,1,4,5,2,3,2,1,5,4,4,4,3,3,1,2,2,1,1
EI9704208ES,4,2,2,1,4,1,1,3,2,1,1,2,5,4,1,1,2,5,4
EI0905095ES,4,2,3,5,2,2,3,1,3,3,4,4,3,3,3,2,1,4,2
EI0302021ES,1,2,3,1,2,3,3,2,1,1,3,5,2,1,4,3,2,4,3
EI1705045ES,2,1,5,4,4,2,3,5,3,3,2,4,5,2,2,1,2,1,1
EI2502167ES,3,5,3,3,1,3,2,1,3,3,4,1,2,3,1,3,2,2,2
EI0905059ES,3,1,2,4,1,2,1,4,3,2,1,3,3,5,4,4,2,1,2
EI0200531ES,3,5,2,3,1,2,1,5,3,3,3,5,3,1,1,1,2,3,2
EI9705415ES,2,4,3,1,2,1,2,1,1,3,3,2,3,5,1,1,3,1,3
EI0200711ES,1,2,3,3,2,2,4,1,2,2,4,2,2,4,4,1,4,5,2
EI0903897ES,1,1,2,2,2,2,3,2,1,4,4,2,1,5,4,3,1,3,3
EI0104402ES,5,2,4,2,1,3,1,1,1,2,5,2,1,3,2,1,3,3,1
EI9300559ES,4,2,5,1,1,2,2,5,1,2,1,1,3,5,1,3,1,2,1
EI2605890ES,3,2,2,4,1,4,2,4,1,5,1,3,1,1,1,4,2,2,3
EI1406355ES,2,2,1,3,2,1,2,2,2,2,4,2,1,5,4,1,1,5,4
EI9005836ES,2,3,2,1,2,2,3,2,2,2,2,2,1,3,4,5,1,4,5
EI0506588ES,3,2,2,1,1,3,2,2,1,2,3,4,1,1,1,1,2,2,4
EI9900908ES,2,3,1,2,3,3,1,2,2,4,2,4,2,1,4,2,1,4,3
EI1002883ES,3,1,3,2,4,2,4,5,1,2,4,2,2,1,3,3,2,5,4
EI0303657ES,5,2,1,1,5,4,3,3,1,4,2,2,3,2,5,4,3,2,1
EI2005932ES,2,2,1,4,4,1,3,1,3,4,1,2,4,1,2,3,4,4,2
EI0903590ES,1,1,2,4,3,1,1,2,1,1,2,3,1,2,3,4,2,1,4
EI9001666ES,2,2,3,3,1,3,1,4,2,2,2,3,2,4,4,2,5,3,4
EI0003833ES,5,1,5,4,3,1,1,2,1,3,5,4,1,1,2,2,2,4,5
EI2006577ES,1,4,3,5,4,2,5,1,2,3,2,3,3,2,4,4,2,1,3
EI9702841ES,2,1,5,1,1,2,1,3,1,1,2,2,2,2,5,3,4,2,4
EI0404598ES,2,4,4,4,1,5,1,1,1,4,2,3,2,1,4,2,3,5,2
EI1300927ES,3,2,4,2,5,5,1,3,1,2,1,3,4,1,2,1,2,1,3
EI9502454ES,4,2,2,4,5,5,3,1,3,1,2,1,3,1,4,3,3,3,4
EI2002623ES,3,5,1,2,1,3,3,5,1,1,1,1,2,4,4,3,4,1,3
EI9204625ES,5,3,3,3,2,3,1,2,4,2,3,2,2,1,3,2,4,4,3
EI2200016ES,1,4,2,4,2,3,4,3,4,4,1,1,2,3,4,2,1,3,1
EI9406326ES,1,3,5,3,1,3,2,2,2,1,1,1,5,1,4,2,1,2,5
EI1800316ES,5,3,1,1,1,5,1,5,1,2,2,4,1,4,5,3,3,2,1
EI1605363ES,1,2,2,1,5,2,4,3,1,2,2,5,4,3,1,1,3,2,5
EI1105055ES,3,2,2,1,2,2,3,3,5,2,2,1,4,1,3,2,5,2,3
EI1601162ES,2,5,1,5,4,2,3,1,1,1,3,3,3,1,5,2,4,2,3
EI0501489ES,1,2,2,4,1,2,5,2,2,1,1,5,4,2,3,1,1,1,4
EI9606788ES,3,5,2,3,1,3,2,1,5,1,3,5,2,2,4,4,5,2,2
EI9006882ES,2,4,2,2,2,3,1,4,4,4,4,2,3,1,1,1,4,3,4
EI9001363ES,2,1,1,4,1,2,3,3,2,1,1,2,3,2,1,4,2,3,4
EI2201695ES,1,2,4,2,2,1,1,1,1,4,4,1,2,2,2,3,2,2,1
EI9001213ES,2,2,2,3,1,5,1,1,5,2,2,3,2,2,1,3,1,1,2
EI0803600ES,1,3,1,3,1,1,1,1,5,3,1,1,5,3,4,3,3,4,2
EI0301704ES,1,5,4,2,4,1,5,1,1,1,1,4,4,5,2,5,3,3,1
EI0905515ES,5,1,1,3,3,3,3,4,1,4,2,1,2,2,2,4,1,1,2
EI2205431ES,1,4,1,4,1,1,4,1,2,2,2,1,2,5,2,5,3,1,1
EI9805816ES,2,3,1,5,3,1,4,4,5,2,2,3,1,2,2,2,2,3,1
EI0705756ES,1,2,4,3,1,1,3,2,1,1,2,1,1,2,2,1,2,3,1
EI1003955ES,3,1,2,3,2,1,3,4,5,1,5,1,3,3,1,4,2,2,2
EI1105809ES,4,2,2,3,1,2,2,5,3,2,3,4,2,5,5,2,4,2,3
EI1105120ES,5,3,2,2,2,1,1,5,1,4,1,3,4,5,3,2,1,1,2
EI1202692ES,2,3,3,2,3,2,2,1,3,2,3,3,5,3,1,4,1,5,3
EI2006023ES,1,2,2,2,1,1,2,1,4,3,2,2,2,2,4,5,5,5,2
EI9905251ES,4,1,2,1,1,3,5,4,2,3,4,2,2,1,3,5,2,5,1
EI1701324ES,1,5,3,2,2,1,1,5,1,1,4,1,3,2,3,3,5,2,2
EI2505594ES,2,2,2,1,1,1,2,2,2,3,3,1,1,3,4,2,4,4,1
EI2404306ES,1,2,3,2,2,1,1,2,2,5,2,5,1,4,2,3,2,2,2
EI0003485ES,3,1,2,1,4,2,2,3,2,1,2,4,1,1,2,4,2,2,4
EI0201861ES,2,3,2,4,2,2,1,5,2,1,1,3,1,1,4,5,4,1,3
EI9704975ES,1,1,3,1,2,2,3,3,2,3,5,4,5,3,3,3,2,4,1
EI2600388ES,2,1,1,3,4,5,1,3,5,3,3,1,1,2,1,2,1,3,4
EI0004337ES,3,2,1,1,2,5,2,3,3,2,5,3,1,2,5,2,1,3,2
EI1801033ES,1,1,1,3,2,2,2,3,2,5,4,2,3,5,4,1,4,1,2
EI1206340ES,1,2,1,1,1,4,3,1,1,4,2,3,3,2,5,5,3,5,4
EI1603887ES,4,4,1,2,1,2,3,5,4,2,2,4,1,3,4,4,2,4,1
EI1802654ES,3,2,2,4,2,4,4,3,4,4,4,2,3,2,4,3,2,3,2
EI1006915ES,2,1,3,4,4,3,4,1,2,4,1,3,1,3,2,1,5,2,2
EI0806584ES,2,4,3,2,5,1,2,2,2,4,1,3,1,3,2,3,4,2,4
EI1202826ES,3,4,1,2,2,3,2,2,2,2,5,2,2,5,1,4,2,5,2
EI0901011ES,3,5,5,1,4,5,1,1,5,2,2,5,4,1,3,1,5,2,4
EI9001540ES,2,3,2,2,3,2,3,3,1,4,1,2,3,1,3,1,2,3,1
EI9200932ES,3,1,1,3,1,2,4,4,2,2,2,3,3,3,1,5,2,1,2
EI1102288ES,1,3,3,1,2,2,5,5,3,2,2,1,2,3,2,1,4,4,3
EI9700692ES,4,2,3,4,1,1,4,1,2,1,1,1,1,4,3,1,3,1,1
EI9200534ES,1,5,3,2,3,5,4,1,2,4,5,3,1,1,3,1,3,5,3
EI9202400ES,4,1,1,4,3,2,1,3,5,1,3,2,2,3,3,5,4,2,3
EI0102203ES,2,2,2,5,2,1,2,1,2,2,2,2,4,2,1,2,2,3,2
EI1600653ES,5,4,3,2,1,3,1,3,3,2,2,1,2,3,3,1,1,2,3
EI2100034ES,4,1,2,2,1,1,3,1,5,2,3,1,4,2,2,5,2,1,5
EI9205344ES,4,5,2,2,1,4,1,5,2,1,1,1,2,1,2,3,2,4,1
EI1000045ES,2,2,2,2,4,2,4,1,4,5,3,4,4,3,5,3,4,2,3
EI0003358ES,5,1,3,4,1,2,3,4,3,2,3,1,4,2,2,2,1,5,1
EI1502289ES,1,4,1,5,2,2,5,5,3,3,3,5,2,2,3,2,3,4,2
EI1300965ES,2,3,2,2,3,2,2,1,4,1,1,1,2,3,3,3,1,2,2
EI1205797ES,4,2,4,1,1,4,3,5,2,2,4,1,2,1,4,4,2,3,3
EI2005003ES,4,1,2,2,1,2,4,3,2,2,1,2,1,2,1,2,3,4,1
EI1706163ES,5,5,3,4,3,1,1,4,3,3,4,2,4,1,2,5,2,2,5
EI2206801ES,5,4,4,4,3,5,1,2,1,2,5,3,4,4,2,2,3,2,2
EI9002571ES,4,1,2,2,2,4,5,4,2,1,3,2,3,3,5,1,2,4,4
EI0505986ES,5,5,2,2,4,1,2,1,2,1,4,1,4,2,2,1,3,2,3
EI0106541ES,2,1,4,2,2,5,4,1,2,5,2,2,3,5,5,1,2,3,5
EI9404150ES,3,1,2,1,3,5,1,2,5,1,1,1,3,2,1,2,1,2,5
EI9805210ES,2,2,1,2,4,3,4,5,5,4,4,1,3,4,3,2,2,4,1
EI9605912ES,2,3,2,4,2,4,1,1,4,1,1,5,3,2,2,5,2,4,4
EI9802527ES,2,4,1,2,2,2,2,1,1,1,2,3,2,1,1,2,3,3,1
EI1400027ES,2,5,3,2,1,2,1,2,4,4,4,3,3,5,1,1,1,2,3
EI2403606ES,4,3,3,2,3,3,4,1,2,3,1,4,3,2,5,1,5,2,3
EI1700064ES,4,1,2,3,2,4,4,3,2,2,3,1,1,2,5,3,1,5,1
EI9601045ES,1,3,4,3,2,1,2,2,2,1,1,2,3,1,4,2,2,2,1
EI9002655ES,3,1,5,5,2,2,2,5,4,5,2,4,2,2,1,3,4,1,2
EI0604872ES,1,2,2,5,1,1,2,2,1,2,3,3,4,4,3,1,2,2,2
EI1500228ES,2,3,4,3,2,2,3,1,1,3,4,4,3,2,4,1,4,2,2
EI1102747ES,5,5,3,5,3,3,1,3,2,2,3,2,3,2,5,5,4,2,1
EI1304710ES,4,4,1,3,5,3,4,3,2,2,1,2,2,1,1,1,2,1,3
EI2404624ES,2,2,2,3,1,2,3,3,1,4,2,3,2,1,4,1,2,3,4
EI0006334ES,2,2,2,4,4,3,1,1,4,3,1,1,2,3,1,2,4,2,5
EI2403149ES,3,1,2,4,5,4,2,2,3,5,2,1,3,2,3,2,5,2,5
EI1401784ES,1,1,3,3,2,1,5,2,3,4,3,3,1,2,5,4,1,3,5
EI2502997ES,2,4,2,2,5,2,2,1,1,3,1,1,3,1,4,5,3,4,2
EI2600970ES,3,2,4,3,4,4,4,1,2,2,1,3,1,2,2,1,5,3,2
EI9905398ES,5,2,5,1,1,4,5,3,4,1,2,1,1,4,5,4,5,1,1
EI9106146ES,2,1,5,1,4,1,4,4,1,5,2,3,3,2,3,1,2,1,4
EI1703261ES,2,3,2,3,3,5,2,1,3,4,1,3,1,3,1,1,4,4,3
EI2501536ES,2,3,2,5,3,5,1,4,1,1,2,3,3,1,3,1,2,2,2
EI0201865ES,3,2,4,4,2,2,2,4,2,3,1,2,5,3,1,1,4,1,1
EI1503936ES,2,1,3,3,1,4,2,1,5,2,1,4,1,1,2,2,2,1,3
EI9803195ES,4,2,4,3,4,1,2,3,3,2,2,4,5,4,2,3,5,1,4
EI1102084ES,5,1,4,1,2,1,3,5,2,3,2,2,2,5,3,3,4,4,2
EI1302437ES,2,1,2,1,2,1,5,2,1,4,2,4,1,1,1,2,3,4,2
EI9604594ES,2,3,1,4,2,4,4,1,1,1,3,4,2,1,2,4,1,1,4
EI0106799ES,1,4,4,4,1,2,3,3,3,5,5,4,3,2,2,5,1,4,3
EI1103015ES,2,4,2,2,2,2,4,4,4,1,1,1,2,5,4,1,1,4,1
EI9205636ES,1,4,4,4,4,1,4,4,4,2,2,3,2,2,1,4,2,5,3
EI1200253ES,2,1,1,1,2,3,5,1,4,1,2,4,1,5,1,1,3,2,3
EI9904214ES,4,4,4,3,2,3,2,2,1,3,3,5,3,2,5,2,2,5,4
EI9204524ES,2,5,1,2,5,2,1,3,2,5,3,1,1,1,5,1,1,1,2
EI9703151ES,5,1,3,2,2,4,2,5,3,4,3,1,1,2,1,1,1,3,3
EI1404816ES,4,4,3,1,1,5,1,2,5,2,2,1,3,4,3,1,1,2,4
EI0606523ES,5,1,2,3,1,2,2,2,3,3,1,2,2,4,3,2,5,1,2
EI9306759ES,2,5,2,3,5,1,2,1,4,3,1,4,1,4,5,3,1,2,4
EI9001663ES,3,2,4,2,4,2,3,2,1,2,2,4,2,4,4,4,1,4,2
EI1904399ES,3,1,4,5,1,2,4,5,4,1,4,4,1,1,2,4,2,2,3
EI0204777ES,2,3,1,3,5,2,1,1,4,1,1,2,3,1,1,2,2,1,1
EI0201916ES,3,1,2,3,2,2,4,1,2,3,5,1,2,4,2,4,1,2,2
EI1305149ES,3,1,3,3,2,2,4,1,5,5,5,2,2,4,3,5,4,3,5
EI0403893ES,2,1,2,4,1,3,5,2,2,2,4,5,2,4,4,3,3,5,2
EI1005067ES,1,1,1,1,3,2,5,2,3,1,3,1,4,5,2,4,4,4,1
EI9500642ES,2,1,4,4,1,4,3,2,2,4,5,4,2,2,2,5,3,3,5
EI0003560ES,3,2,3,4,1,4,2,3,2,5,2,2,3,2,1,1,1,4,2
EI9606011ES,3,1,1,1,1,1,3,2,5,2,2,1,3,2,1,1,5,3,2
EI9802179ES,3,2,3,3,1,2,4,2,3,3,5,4,2,2,2,1,2,2,2
EI2200298ES,2,4,2,1,5,1,4,3,2,2,4,2,5,4,3,4,4,5,3
EI9000304ES,3,1,3,5,2,2,1,3,1,3,3,2,2,2,2,3,2,4,4
EI0902338ES,4,2,5,2,2,1,3,1,4,1,1,1,1,3,4,1,5,2,1
EI9003287ES,2,5,5,1,5,3,2,2,3,2,2,3,2,2,4,1,4,2,4
EI0706451ES,4,1,2,2,1,3,2,3,1,5,1,1,5,3,3,3,2,3,1
EI1204769ES,1,2,2,1,4,4,1,4,2,2,2,5,1,4,2,4,2,5,3
EI2401980ES,1,1,1,5,2,2,2,3,2,4,3,2,1,3,4,1,4,4,2
EI9405885ES,1,4,5,3,2,5,3,1,3,1,1,3,5,2,2,2,1,2,2
EI9600656ES,2,4,2,4,2,1,1,3,4,1,2,3,3,2,1,4,4,4,1
EI9101635ES,1,1,4,5,4,5,2,1,4,5,3,2,4,2,5,2,2,2,5
EI1404656ES,2,1,2,3,2,2,1,3,3,1,5,3,2,4,4,1,3,3,4
EI9004744ES,1,1,4,4,1,2,3,4,2,3,3,1,1,2,4,1,1,2,2
EI2000241ES,1,3,2,2,1,4,2,1,1,4,2,1,1,1,2,1,4,3,2
EI9800784ES,1,4,2,2,1,3,1,4,5,1,3,3,4,4,3,1,2,2,3
EI1901355ES,4,2,1,1,1,2,2,1,3,3,2,1,1,1,1,1,3,5,4
EI0001019ES,2,1,4,3,1,3,4,5,2,3,2,3,2,2,1,4,2,3,1
EI1502355ES,2,2,5,4,1,3,3,4,3,1,1,4,4,5,1,1,1,3,2
EI9200978ES,2,2,3,2,5,2,5,2,1,1,1,2,3,2,3,5,1,3,2
EI9200810ES,2,1,3,4,5,1,2,2,5,2,4,5,3,4,1,5,1,2,4
EI2203127ES,1,1,1,5,2,4,1,4,5,4,2,2,1,5,4,5,4,3,3
EI2502522ES,3,3,3,3,5,1,2,4,2,5,1,2,4,4,1,2,2,2,4
EI9700258ES,2,3,2,1,5,3,2,4,2,1,1,2,5,4,5,4,5,4,2
EI2100894ES,2,1,1,1,1,4,1,2,3,2,4,3,2,2,2,2,3,3,1
EI1504251ES,4,4,4,1,2,1,4,5,2,4,1,1,2,4,2,5,2,3,2
EI9405011ES,1,3,1,3,5,1,3,3,2,4,3,4,1,2,3,4,5,4,4
EI2306641ES,1,1,4,4,2,3,3,5,2,2,2,2,1,1,2,4,2,1,3
EI2102406ES,1,2,5,3,1,2,3,2,1,4,2,2,3,2,2,2,3,1,1
EI0206785ES,2,1,4,5,2,5,2,5,2,2,4,2,2,4,3,4,1,2,1
EI1001761ES,2,4,2,2,1,3,3,1,2,3,2,3,5,3,1,1,1,2,2
EI0004814ES,2,2,2,1,1,3,2,2,1,4,2,1,5,3,4,1,3,4,1
EI0106657ES,3,2,1,1,1,4,1,1,3,2,1,2,1,5,4,4,1,2,2
EI1102111ES,3,1,2,2,1,1,3,4,2,3,5,1,5,4,3,3,2,4,3
EI9302986ES,3,2,4,2,4,4,5,3,2,2,5,2,5,2,2,4,1,1,2
EI2204170ES,5,3,3,2,3,2,3,4,1,5,5,1,3,3,2,1,2,4,4
EI1301358ES,4,2,1,2,1,3,3,3,2,4,1,1,1,5,5,3,2,2,3
EI1603614ES,1,4,2,1,4,1,3,2,3,1,3,2,1,2,2,2,3,4,2
EI1706636ES,4,2,3,3,4,4,2,4,2,1,1,2,4,5,4,2,3,5,5
EI0202227ES,2,3,3,4,2,2,3,1,2,5,3,4,4,4,2,4,1,2,3
EI9601748ES,3,3,3,2,5,1,2,1,3,1,5,3,3,2,1,3,2,3,3
EI0705771ES,1,2,2,3,4,2,1,5,1,1,1,1,5,1,2,3,5,2,4
EI1602292ES,5,1,1,4,4,4,3,2,1,3,4,2,3,1,1,4,2,5,2
EI0706314ES,4,3,2,3,2,2,5,2,4,5,4,4,3,1,2,5,2,3,3
EI1201727ES,5,2,3,3,2,2,1,4,2,5,3,2,2,2,3,1,4,1,3
EI1103411ES,1,4,3,2,1,2,3,1,3,2,2,2,2,2,4,2,2,4,2
EI1401808ES,4,2,4,4,1,1,1,4,2,2,2,1,2,1,1,2,5,2,5
EI2304654ES,2,1,1,1,2,1,5,3,1,1,3,5,1,4,2,2,5,2,5
EI2201833ES,1,2,3,1,1,3,2,1,1,2,3,3,3,5,3,2,3,2,2
EI0102639ES,1,1,2,1,5,3,2,2,1,1,5,2,4,1,2,2,1,5,1
EI9105949ES,1,2,1,5,4,2,3,2,4,3,1,1,1,4,4,3,3,2,1
EI2404152ES,3,5,2,2,1,2,3,1,2,1,2,3,2,4,1,5,2,2,1
EI0104047ES,2,3,2,1,3,4,3,2,1,3,5,4,2,1,5,3,2,3,2
EI0201759ES,1,5,5,5,3,3,5,3,2,4,2,4,3,1,3,3,3,1,3
EI0002403ES,2,5,2,3,4,3,4,1,5,2,2,2,2,1,5,4,1,3,4
EI0306573ES,3,4,1,1,5,2,4,2,4,2,5,1,4,1,2,1,2,3,1
