numero_empleado,periodo,feedback_clientes,reconocimientos_desempeno_merito,apoyo_supervisor,apoyo_equipo
EI2301842ES,2025-08,5,2,5,4
EI2301842ES,2025-09,5,4,5,5
EI2301842ES,2025-10,5,5,5,5
EI2301842ES,2025-11,4,2,5,2
EI2301842ES,2025-12,2,5,4,4
EI2301842ES,2026-01,5,5,5,5
EI2405034ES,2025-02,5,1,2,5
EI2405034ES,2025-03,5,3,4,5
EI2405034ES,2025-04,3,4,4,2
EI2405034ES,2025-05,3,4,5,3
EI2405034ES,2025-06,5,4,4,4
EI2405034ES,2025-07,5,3,4,4
EI2405034ES,2025-08,5,4,5,5
EI2405034ES,2025-09,3,3,4,4
EI2405034ES,2025-10,5,2,3,5
EI2405034ES,2025-11,3,5,4,4
EI2405034ES,2025-12,3,5,2,5
EI2405034ES,2026-01,2,5,4,4
EI9403912ES,2025-02,4,1,5,5
EI9403912ES,2025-03,3,2,4,5
EI9403912ES,2025-04,4,4,5,5
EI9403912ES,2025-05,4,4,2,2
EI9403912ES,2025-06,3,3,4,3
EI9403912ES,2025-07,4,3,2,3
EI9403912ES,2025-08,3,2,4,2
EI9403912ES,2025-09,5,5,3,4
EI9403912ES,2025-10,4,5,5,5
EI9403912ES,2025-11,4,3,5,5
EI9403912ES,2025-12,4,4,5,5
EI9403912ES,2026-01,1,5,5,2
EI2203532ES,2025-02,1,4,5,3
EI2203532ES,2025-03,5,1,3,4
EI2203532ES,2025-04,3,4,5,4
EI2203532ES,2025-05,2,4,5,3
EI2203532ES,2025-06,4,4,4,5
EI2203532ES,2025-07,5,5,2,2
EI2203532ES,2025-08,4,5,5,2
EI2203532ES,2025-09,4,5,3,4
EI2203532ES,2025-10,5,5,5,5
EI2203532ES,2025-11,4,5,5,5
EI2203532ES,2025-12,5,1,3,3
EI2203532ES,2026-01,5,5,4,4
EI1002882ES,2025-02,4,4,5,3
EI1002882ES,2025-03,4,4,5,4
EI1002882ES,2025-04,5,5,3,4
EI1002882ES,2025-05,5,5,3,1
EI1002882ES,2025-06,3,5,4,5
EI1002882ES,2025-07,3,1,1,5
EI1002882ES,2025-08,5,4,1,4
EI1002882ES,2025-09,3,4,3,3
EI1002882ES,2025-10,4,3,3,4
EI1002882ES,2025-11,4,4,4,4
EI1002882ES,2025-12,4,4,1,2
EI1002882ES,2026-01,3,4,4,3
EI1600528ES,2025-02,2,2,4,4
EI1600528ES,2025-03,4,3,2,4
EI1600528ES,2025-04,4,1,4,3
EI1600528ES,2025-05,4,4,3,5
EI1600528ES,2025-06,5,5,5,4
EI1600528ES,2025-07,4,5,4,4
EI1600528ES,2025-08,4,5,4,1
EI1600528ES,2025-09,2,5,5,3
EI1600528ES,2025-10,5,5,3,3
EI1600528ES,2025-11,2,3,3,5
EI1600528ES,2025-12,3,3,2,5
EI1600528ES,2026-01,4,5,4,3
EI2203747ES,2025-02,4,5,5,4
EI2203747ES,2025-03,5,5,4,5
EI2203747ES,2025-04,2,4,4,3
EI2203747ES,2025-05,4,4,4,3
EI2203747ES,2025-06,2,5,5,2
EI2203747ES,2025-07,4,4,4,5
EI2203747ES,2025-08,1,4,4,4
EI2203747ES,2025-09,4,1,5,3
EI2203747ES,2025-10,5,3,3,4
EI2203747ES,2025-11,5,5,4,3
EI2203747ES,2025-12,4,2,3,2
EI2203747ES,2026-01,3,3,5,4
EI2406520ES,2025-02,5,2,5,3
EI2406520ES,2025-03,5,5,3,5
EI2406520ES,2025-04,5,4,3,1
EI2406520ES,2025-05,5,4,4,4
EI2406520ES,2025-06,3,4,2,4
EI2406520ES,2025-07,5,3,2,2
EI2406520ES,2025-08,3,5,5,3
EI2406520ES,2025-09,4,4,5,4
EI2406520ES,2025-10,3,4,4,2
EI2406520ES,2025-11,4,5,4,5
EI2406520ES,2025-12,4,5,5,4
EI2406520ES,2026-01,3,4,4,5
EI2302691ES,2025-02,2,5,5,4
EI2302691ES,2025-03,3,4,2,4
EI2302691ES,2025-04,4,5,5,2
EI2302691ES,2025-05,2,5,3,4
EI2302691ES,2025-06,5,1,3,3
EI2302691ES,2025-07,4,4,4,1
EI2302691ES,2025-08,4,4,4,5
EI2302691ES,2025-09,4,2,5,4
EI2302691ES,2025-10,4,4,5,5
EI2302691ES,2025-11,3,5,3,4
EI2302691ES,2025-12,4,3,4,4
EI2302691ES,2026-01,4,4,5,1
EI9205476ES,2025-02,4,4,5,2
EI9205476ES,2025-03,5,2,3,4
EI9205476ES,2025-04,5,3,3,5
EI9205476ES,2025-05,5,5,4,5
EI9205476ES,2025-06,5,5,2,4
EI9205476ES,2025-07,5,4,5,3
EI9205476ES,2025-08,4,5,5,3
EI9205476ES,2025-09,3,3,2,4
EI9205476ES,2025-10,5,3,3,4
EI9205476ES,2025-11,5,5,4,4
EI9205476ES,2025-12,5,4,4,2
EI9205476ES,2026-01,3,4,4,3
EI0306989ES,2025-02,2,3,5,4
EI0306989ES,2025-03,4,3,4,3
EI0306989ES,2025-04,1,4,5,2
EI0306989ES,2025-05,5,4,4,3
EI0306989ES,2025-06,2,4,2,4
EI0306989ES,2025-07,4,2,4,4
EI0306989ES,2025-08,3,4,5,5
EI0306989ES,2025-09,3,3,5,3
EI0306989ES,2025-10,4,5,4,3
EI0306989ES,2025-11,4,3,4,2
EI0306989ES,2025-12,5,4,4,3
EI0306989ES,2026-01,4,4,3,1
EI1600225ES,2025-02,5,4,2,3
EI1600225ES,2025-03,4,4,2,5
EI1600225ES,2025-04,4,4,5,4
EI1600225ES,2025-05,5,3,2,5
EI1600225ES,2025-06,2,4,4,5
EI1600225ES,2025-07,5,3,5,1
EI1600225ES,2025-08,5,5,5,2
EI1600225ES,2025-09,5,5,3,4
EI1600225ES,2025-10,4,5,4,5
EI1600225ES,2025-11,5,4,1,4
EI1600225ES,2025-12,5,4,4,4
EI1600225ES,2026-01,5,5,5,3
EI1103711ES,2025-02,4,5,4,5
EI1103711ES,2025-03,4,5,4,5
EI1103711ES,2025-04,3,4,5,5
EI1103711ES,2025-05,5,5,4,4
EI1103711ES,2025-06,5,4,5,3
EI1103711ES,2025-07,4,3,3,3
EI1103711ES,2025-08,1,3,5,3
EI1103711ES,2025-09,4,4,5,5
EI1103711ES,2025-10,4,4,3,5
EI1103711ES,2025-11,4,4,3,5
EI1103711ES,2025-12,5,4,5,5
EI1103711ES,2026-01,4,3,5,3
EI1403629ES,2025-02,5,5,4,1
EI1403629ES,2025-03,3,5,3,4
EI1403629ES,2025-04,3,4,5,3
EI1403629ES,2025-05,4,1,3,5
EI1403629ES,2025-06,3,5,4,4
EI1403629ES,2025-07,3,5,3,4
EI1403629ES,2025-08,3,3,5,4
EI1403629ES,2025-09,4,1,2,4
EI1403629ES,2025-10,2,4,4,4
EI1403629ES,2025-11,3,5,4,5
EI1403629ES,2025-12,3,3,1,4
EI1403629ES,2026-01,5,1,5,3
EI9001122ES,2025-02,4,5,4,4
EI9001122ES,2025-03,4,3,5,2
EI9001122ES,2025-04,1,4,5,5
EI9001122ES,2025-05,2,5,5,4
EI9001122ES,2025-06,3,5,5,4
EI9001122ES,2025-07,2,3,4,5
EI9001122ES,2025-08,4,4,5,3
EI9001122ES,2025-09,4,1,4,4
EI9001122ES,2025-10,4,3,1,4
EI9001122ES,2025-11,1,5,4,4
EI9001122ES,2025-12,4,5,5,4
EI9001122ES,2026-01,1,4,4,3
EI1500411ES,2025-02,5,4,3,5
EI1500411ES,2025-03,5,3,5,5
EI1500411ES,2025-04,4,5,5,4
EI1500411ES,2025-05,2,5,2,2
EI1500411ES,2025-06,4,2,4,5
EI1500411ES,2025-07,2,4,2,4
EI1500411ES,2025-08,4,4,5,4
EI1500411ES,2025-09,5,5,3,5
EI1500411ES,2025-10,5,2,2,4
EI1500411ES,2025-11,4,5,5,5
EI1500411ES,2025-12,5,4,5,4
EI1500411ES,2026-01,2,2,4,4
EI1200380ES,2025-02,4,1,5,3
EI1200380ES,2025-03,4,4,4,5
EI1200380ES,2025-04,4,4,4,2
EI1200380ES,2025-05,5,4,2,4
EI1200380ES,2025-06,4,2,4,4
EI1200380ES,2025-07,3,5,4,5
EI1200380ES,2025-08,4,4,5,5
EI1200380ES,2025-09,4,5,2,5
EI1200380ES,2025-10,4,1,3,4
EI1200380ES,2025-11,4,2,4,2
EI1200380ES,2025-12,4,4,5,5
EI1200380ES,2026-01,5,5,5,3
EI1901214ES,2025-02,3,3,2,5
EI1901214ES,2025-03,5,5,3,4
EI1901214ES,2025-04,5,4,3,3
EI1901214ES,2025-05,3,4,1,4
EI1901214ES,2025-06,5,2,4,1
EI1901214ES,2025-07,2,4,4,5
EI1901214ES,2025-08,4,4,4,4
EI1901214ES,2025-09,5,4,5,5
EI1901214ES,2025-10,3,4,4,1
EI1901214ES,2025-11,2,4,1,4
EI1901214ES,2025-12,4,2,5,3
EI1901214ES,2026-01,5,5,4,3
EI2106907ES,2025-02,4,3,5,5
EI2106907ES,2025-03,5,4,5,5
EI2106907ES,2025-04,5,1,2,3
EI2106907ES,2025-05,3,3,3,4
EI2106907ES,2025-06,3,4,4,4
EI2106907ES,2025-07,5,4,5,3
EI2106907ES,2025-08,5,5,4,5
EI2106907ES,2025-09,4,1,4,2
EI2106907ES,2025-10,3,5,2,4
EI2106907ES,2025-11,5,5,4,5
EI2106907ES,2025-12,5,4,5,4
EI2106907ES,2026-01,5,4,4,2
EI1706163ES,2025-02,4,5,5,4
EI1706163ES,2025-03,5,3,2,4
EI1706163ES,2025-04,3,3,4,3
EI1706163ES,2025-05,4,3,4,2
EI1706163ES,2025-06,5,3,5,4
EI1706163ES,2025-07,4,5,4,3
EI1706163ES,2025-08,4,4,3,2
EI1706163ES,2025-09,2,4,5,2
EI1706163ES,2025-10,4,5,4,4
EI1706163ES,2025-11,5,4,4,4
EI1706163ES,2025-12,5,5,4,5
EI1706163ES,2026-01,3,4,4,4
EI0603846ES,2025-02,5,3,5,5
EI0603846ES,2025-03,5,5,3,4
EI0603846ES,2025-04,4,4,3,5
EI0603846ES,2025-05,5,1,2,5
EI0603846ES,2025-06,5,1,5,4
EI0603846ES,2025-07,5,2,1,3
EI0603846ES,2025-08,4,4,5,3
EI0603846ES,2025-09,5,3,5,4
EI0603846ES,2025-10,5,3,4,3
EI0603846ES,2025-11,5,3,5,4
EI0603846ES,2025-12,3,1,3,3
EI0603846ES,2026-01,5,4,2,5
EI1801430ES,2025-02,2,5,3,3
EI1801430ES,2025-03,5,5,3,4
EI1801430ES,2025-04,3,4,5,4
EI1801430ES,2025-05,5,3,5,4
EI1801430ES,2025-06,4,2,3,3
EI1801430ES,2025-07,2,5,4,2
EI1801430ES,2025-08,3,5,4,4
EI1801430ES,2025-09,5,5,4,4
EI1801430ES,2025-10,4,5,5,2
EI1801430ES,2025-11,4,4,3,5
EI1801430ES,2025-12,3,5,4,5
EI1801430ES,2026-01,4,3,4,2
EI9602868ES,2025-02,4,3,5,5
EI9602868ES,2025-03,3,5,5,4
EI9602868ES,2025-04,3,2,4,5
EI9602868ES,2025-05,1,4,3,5
EI9602868ES,2025-06,4,4,2,5
EI9602868ES,2025-07,3,4,4,4
EI9602868ES,2025-08,4,3,4,4
EI9602868ES,2025-09,2,3,3,5
EI9602868ES,2025-10,5,4,5,4
EI9602868ES,2025-11,3,4,3,4
EI9602868ES,2025-12,4,1,3,4
EI9602868ES,2026-01,5,5,3,2
EI1302859ES,2025-02,5,4,5,4
EI1302859ES,2025-03,4,4,5,4
EI1302859ES,2025-04,3,1,2,5
EI1302859ES,2025-05,3,4,3,4
EI1302859ES,2025-06,4,3,1,5
EI1302859ES,2025-07,5,4,4,4
EI1302859ES,2025-08,3,4,4,4
EI1302859ES,2025-09,5,5,2,4
EI1302859ES,2025-10,5,4,4,4
EI1302859ES,2025-11,3,3,4,5
EI1302859ES,2025-12,4,4,4,3
EI1302859ES,2026-01,5,5,4,2
EI1503974ES,2025-02,5,3,5,5
EI1503974ES,2025-03,5,4,4,4
EI1503974ES,2025-04,3,4,5,5
EI1503974ES,2025-05,3,5,4,1
EI1503974ES,2025-06,5,3,5,5
EI1503974ES,2025-07,4,5,5,2
EI1503974ES,2025-08,5,4,5,4
EI1503974ES,2025-09,2,5,2,2
EI1503974ES,2025-10,5,5,4,5
EI1503974ES,2025-11,4,4,2,5
EI1503974ES,2025-12,4,2,4,5
EI1503974ES,2026-01,2,4,4,3
EI2600727ES,2025-02,2,5,2,5
EI2600727ES,2025-03,4,5,4,4
EI2600727ES,2025-04,4,5,5,3
EI2600727ES,2025-05,4,3,4,5
EI2600727ES,2025-06,1,3,4,4
EI2600727ES,2025-07,5,5,5,3
EI2600727ES,2025-08,4,3,5,4
EI2600727ES,2025-09,4,3,5,5
EI2600727ES,2025-10,5,3,4,4
EI2600727ES,2025-11,3,5,4,3
EI2600727ES,2025-12,5,5,3,4
EI2600727ES,2026-01,3,4,2,4
EI9200320ES,2025-02,3,5,2,5
EI9200320ES,2025-03,4,4,2,3
EI9200320ES,2025-04,1,3,5,4
EI9200320ES,2025-05,3,2,1,5
EI9200320ES,2025-06,2,5,4,4
EI9200320ES,2025-07,4,3,5,4
EI9200320ES,2025-08,5,3,3,5
EI9200320ES,2025-09,2,5,5,2
EI9200320ES,2025-10,4,5,4,3
EI9200320ES,2025-11,5,1,4,4
EI9200320ES,2025-12,5,4,5,5
EI9200320ES,2026-01,3,4,5,4
EI0703075ES,2025-02,5,4,4,5
EI0703075ES,2025-03,5,3,5,5
EI0703075ES,2025-04,3,3,3,4
EI0703075ES,2025-05,4,5,3,3
EI0703075ES,2025-06,3,3,3,4
EI0703075ES,2025-07,5,2,5,4
EI0703075ES,2025-08,3,3,2,3
EI0703075ES,2025-09,5,4,2,5
EI0703075ES,2025-10,5,5,5,4
EI0703075ES,2025-11,4,4,5,4
EI0703075ES,2025-12,4,4,3,3
EI0703075ES,2026-01,5,4,3,2
EI2501311ES,2025-02,5,4,4,4
EI2501311ES,2025-03,4,5,5,4
EI2501311ES,2025-04,4,3,4,5
EI2501311ES,2025-05,3,4,3,4
EI2501311ES,2025-06,4,4,5,1
EI2501311ES,2025-07,5,4,4,3
EI2501311ES,2025-08,4,5,3,5
EI2501311ES,2025-09,1,4,4,5
EI2501311ES,2025-10,3,2,3,4
EI2501311ES,2025-11,4,4,1,5
EI2501311ES,2025-12,5,5,5,4
EI2501311ES,2026-01,4,3,1,4
EI0606493ES,2025-02,4,5,5,4
EI0606493ES,2025-03,5,5,4,3
EI0606493ES,2025-04,3,2,5,3
EI0606493ES,2025-05,4,5,5,4
EI0606493ES,2025-06,4,4,5,1
EI0606493ES,2025-07,3,3,5,3
EI0606493ES,2025-08,4,4,5,4
EI0606493ES,2025-09,3,5,5,5
EI0606493ES,2025-10,5,5,4,4
EI0606493ES,2025-11,2,5,5,1
EI0606493ES,2025-12,5,5,1,2
EI0606493ES,2026-01,4,3,4,3
EI2300212ES,2025-02,3,3,4,5
EI2300212ES,2025-03,2,2,3,3
EI2300212ES,2025-04,2,4,3,5
EI2300212ES,2025-05,4,4,5,3
EI2300212ES,2025-06,4,5,5,5
EI2300212ES,2025-07,3,5,3,5
EI2300212ES,2025-08,3,3,4,3
EI2300212ES,2025-09,5,2,4,5
EI2300212ES,2025-10,4,3,4,2
EI2300212ES,2025-11,5,5,4,3
EI2300212ES,2025-12,5,3,2,4
EI2300212ES,2026-01,3,5,2,5
EI0102821ES,2025-02,4,5,5,3
EI0102821ES,2025-03,4,5,5,4
EI0102821ES,2025-04,5,4,5,3
EI0102821ES,2025-05,3,4,4,4
EI0102821ES,2025-06,5,5,4,2
EI0102821ES,2025-07,4,3,5,2
EI0102821ES,2025-08,5,5,5,4
EI0102821ES,2025-09,3,2,2,3
EI0102821ES,2025-10,5,4,1,1
EI0102821ES,2025-11,3,4,5,4
EI0102821ES,2025-12,3,4,5,4
EI0102821ES,2026-01,2,3,4,3
EI1000359ES,2025-02,3,4,4,5
EI1000359ES,2025-03,5,3,4,3
EI1000359ES,2025-04,4,5,2,4
EI1000359ES,2025-05,5,3,4,5
EI1000359ES,2025-06,4,3,4,2
EI1000359ES,2025-07,5,3,3,2
EI1000359ES,2025-08,2,5,5,5
EI1000359ES,2025-09,3,2,4,4
EI1000359ES,2025-10,5,3,4,3
EI1000359ES,2025-11,2,5,5,5
EI1000359ES,2025-12,3,1,4,1
EI1000359ES,2026-01,3,4,5,4
EI2302319ES,2025-02,1,4,5,4
EI2302319ES,2025-03,4,4,3,3
EI2302319ES,2025-04,4,2,2,1
EI2302319ES,2025-05,3,4,5,5
EI2302319ES,2025-06,4,5,5,3
EI2302319ES,2025-07,3,4,4,4
EI2302319ES,2025-08,5,3,5,3
EI2302319ES,2025-09,5,1,5,4
EI2302319ES,2025-10,5,5,4,4
EI2302319ES,2025-11,5,5,4,2
EI2302319ES,2025-12,5,2,4,3
EI2302319ES,2026-01,5,3,1,4
EI0204775ES,2025-02,5,2,4,3
EI0204775ES,2025-03,4,4,5,3
EI0204775ES,2025-04,4,5,4,5
EI0204775ES,2025-05,4,4,4,5
EI0204775ES,2025-06,2,3,4,4
EI0204775ES,2025-07,4,4,5,3
EI0204775ES,2025-08,3,2,4,5
EI0204775ES,2025-09,5,5,3,2
EI0204775ES,2025-10,5,4,2,5
EI0204775ES,2025-11,2,4,2,4
EI0204775ES,2025-12,3,3,5,3
EI0204775ES,2026-01,5,5,4,5
EI9503859ES,2025-02,5,3,3,3
EI9503859ES,2025-03,5,5,5,4
EI9503859ES,2025-04,4,4,5,4
EI9503859ES,2025-05,4,3,4,3
EI9503859ES,2025-06,4,4,5,2
EI9503859ES,2025-07,3,5,4,5
EI9503859ES,2025-08,5,4,4,5
EI9503859ES,2025-09,4,4,3,4
EI9503859ES,2025-10,3,2,4,4
EI9503859ES,2025-11,3,3,2,5
EI9503859ES,2025-12,4,5,5,2
EI9503859ES,2026-01,3,5,4,5
EI9805660ES,2025-02,5,5,4,5
EI9805660ES,2025-03,4,4,4,5
EI9805660ES,2025-04,4,4,4,4
EI9805660ES,2025-05,5,1,4,5
EI9805660ES,2025-06,5,5,3,3
EI9805660ES,2025-07,2,5,5,4
EI9805660ES,2025-08,5,4,4,3
EI9805660ES,2025-09,4,5,3,5
EI9805660ES,2025-10,4,3,3,5
EI9805660ES,2025-11,4,4,4,4
EI9805660ES,2025-12,3,5,5,5
EI9805660ES,2026-01,4,5,2,4
EI1003622ES,2025-02,5,4,2,4
EI1003622ES,2025-03,4,4,4,5
EI1003622ES,2025-04,4,5,4,4
EI1003622ES,2025-05,2,5,4,1
EI1003622ES,2025-06,4,5,3,5
EI1003622ES,2025-07,5,2,4,3
EI1003622ES,2025-08,3,4,5,2
EI1003622ES,2025-09,4,5,3,5
EI1003622ES,2025-10,4,5,4,4
EI1003622ES,2025-11,5,4,3,5
EI1003622ES,2025-12,5,3,4,3
EI1003622ES,2026-01,5,4,5,4
EI2502061ES,2025-02,4,5,3,2
EI2502061ES,2025-03,5,4,3,4
EI2502061ES,2025-04,2,3,3,5
EI2502061ES,2025-05,5,1,5,4
EI2502061ES,2025-06,3,5,2,3
EI2502061ES,2025-07,2,4,4,4
EI2502061ES,2025-08,5,2,2,3
EI2502061ES,2025-09,4,5,5,2
EI2502061ES,2025-10,5,4,2,1
EI2502061ES,2025-11,4,3,2,5
EI2502061ES,2025-12,5,4,5,4
EI2502061ES,2026-01,4,3,4,5
EI2103439ES,2025-02,5,4,5,5
EI2103439ES,2025-03,1,5,5,4
EI2103439ES,2025-04,1,5,3,4
EI2103439ES,2025-05,3,5,2,4
EI2103439ES,2025-06,4,3,5,4
EI2103439ES,2025-07,3,5,5,3
EI2103439ES,2025-08,5,5,5,1
EI2103439ES,2025-09,1,4,5,5
EI2103439ES,2025-10,1,3,5,5
EI2103439ES,2025-11,5,2,4,4
EI2103439ES,2025-12,5,4,4,4
EI2103439ES,2026-01,3,5,5,4
EI0105180ES,2025-02,4,5,3,5
EI0105180ES,2025-03,3,5,5,3
EI0105180ES,2025-04,3,2,4,4
EI0105180ES,2025-05,5,4,5,3
EI0105180ES,2025-06,3,4,4,4
EI0105180ES,2025-07,2,4,3,4
EI0105180ES,2025-08,4,4,5,4
EI0105180ES,2025-09,4,4,2,3
EI0105180ES,2025-10,4,5,5,5
EI0105180ES,2025-11,4,3,4,4
EI0105180ES,2025-12,5,2,4,4
EI0105180ES,2026-01,4,5,4,4
EI9306255ES,2025-02,4,5,5,4
EI9306255ES,2025-03,3,5,4,5
EI9306255ES,2025-04,4,4,4,3
EI9306255ES,2025-05,5,4,4,4
EI9306255ES,2025-06,4,4,5,5
EI9306255ES,2025-07,5,5,4,5
EI9306255ES,2025-08,2,4,5,5
EI9306255ES,2025-09,3,1,2,3
EI9306255ES,2025-10,3,4,4,5
EI9306255ES,2025-11,1,5,3,4
EI9306255ES,2025-12,5,3,5,5
EI9306255ES,2026-01,4,5,3,5
EI0305821ES,2025-02,4,4,1,3
EI0305821ES,2025-03,2,5,4,5
EI0305821ES,2025-04,3,4,4,5
EI0305821ES,2025-05,2,5,3,3
EI0305821ES,2025-06,3,5,5,5
EI0305821ES,2025-07,5,5,4,4
EI0305821ES,2025-08,5,2,5,4
EI0305821ES,2025-09,4,3,5,3
EI0305821ES,2025-10,4,4,3,5
EI0305821ES,2025-11,2,3,4,5
EI0305821ES,2025-12,4,3,3,4
EI0305821ES,2026-01,3,4,4,4
EI0400073ES,2025-02,4,5,5,4
EI0400073ES,2025-03,1,4,1,3
EI0400073ES,2025-04,4,3,3,5
EI0400073ES,2025-05,3,4,5,5
EI0400073ES,2025-06,3,3,5,5
EI0400073ES,2025-07,5,4,3,5
EI0400073ES,2025-08,3,4,4,5
EI0400073ES,2025-09,5,4,2,4
EI0400073ES,2025-10,2,1,1,3
EI0400073ES,2025-11,4,4,3,5
EI0400073ES,2025-12,3,2,4,4
EI0400073ES,2026-01,4,4,5,3
EI9806951ES,2025-02,4,2,3,1
EI9806951ES,2025-03,5,5,5,4
EI9806951ES,2025-04,4,5,5,3
EI9806951ES,2025-05,3,5,4,5
EI9806951ES,2025-06,4,5,3,5
EI9806951ES,2025-07,5,4,4,2
EI9806951ES,2025-08,3,5,4,4
EI9806951ES,2025-09,3,5,4,4
EI9806951ES,2025-10,3,3,4,4
EI9806951ES,2025-11,5,4,4,3
EI9806951ES,2025-12,5,4,5,4
EI9806951ES,2026-01,4,5,3,1
EI2206576ES,2025-02,5,5,3,4
EI2206576ES,2025-03,5,5,4,5
EI2206576ES,2025-04,3,5,2,4
EI2206576ES,2025-05,1,2,5,3
EI2206576ES,2025-06,4,5,4,3
EI2206576ES,2025-07,2,4,4,2
EI2206576ES,2025-08,5,2,4,2
EI2206576ES,2025-09,5,3,4,2
EI2206576ES,2025-10,4,3,4,4
EI2206576ES,2025-11,5,4,2,5
EI2206576ES,2025-12,4,5,4,3
EI2206576ES,2026-01,4,2,3,5
EI2606445ES,2025-02,3,4,3,5
EI2606445ES,2025-03,1,4,2,2
EI2606445ES,2025-04,4,4,4,3
EI2606445ES,2025-05,3,2,2,5
EI2606445ES,2025-06,4,4,4,3
EI2606445ES,2025-07,5,5,4,5
EI2606445ES,2025-08,4,4,4,5
EI2606445ES,2025-09,4,4,1,3
EI2606445ES,2025-10,5,4,2,3
EI2606445ES,2025-11,5,3,5,5
EI2606445ES,2025-12,4,4,4,4
EI2606445ES,2026-01,4,4,4,4
EI0200299ES,2025-02,4,3,4,3
EI0200299ES,2025-03,5,5,5,3
EI0200299ES,2025-04,4,4,3,4
EI0200299ES,2025-05,5,3,3,5
EI0200299ES,2025-06,4,3,3,5
EI0200299ES,2025-07,4,5,2,5
EI0200299ES,2025-08,5,4,2,2
EI0200299ES,2025-09,4,3,3,5
EI0200299ES,2025-10,4,4,5,5
EI0200299ES,2025-11,2,5,5,4
EI0200299ES,2025-12,5,5,3,3
EI0200299ES,2026-01,4,1,4,1
EI1105765ES,2025-02,3,5,5,5
EI1105765ES,2025-03,4,4,5,4
EI1105765ES,2025-04,5,4,4,3
EI1105765ES,2025-05,5,5,4,5
EI1105765ES,2025-06,1,5,4,5
EI1105765ES,2025-07,2,4,1,4
EI1105765ES,2025-08,2,4,1,5
EI1105765ES,2025-09,5,1,2,3
EI1105765ES,2025-10,5,5,2,3
EI1105765ES,2025-11,3,3,5,4
EI1105765ES,2025-12,3,2,4,5
EI1105765ES,2026-01,3,5,5,5
EI9502378ES,2025-02,4,4,5,4
EI9502378ES,2025-03,5,4,4,4
EI9502378ES,2025-04,5,5,4,1
EI9502378ES,2025-05,4,5,3,4
EI9502378ES,2025-06,5,4,4,4
EI9502378ES,2025-07,5,2,4,4
EI9502378ES,2025-08,3,5,3,4
EI9502378ES,2025-09,2,4,2,4
EI9502378ES,2025-10,2,4,3,5
EI9502378ES,2025-11,5,5,5,5
EI9502378ES,2025-12,1,5,4,5
EI9502378ES,2026-01,3,3,3,2
EI1002101ES,2025-02,4,3,4,5
EI1002101ES,2025-03,4,4,3,4
EI1002101ES,2025-04,3,4,4,4
EI1002101ES,2025-05,5,4,5,3
EI1002101ES,2025-06,4,5,4,4
EI1002101ES,2025-07,1,3,5,3
EI1002101ES,2025-08,4,1,4,2
EI1002101ES,2025-09,2,5,3,1
EI1002101ES,2025-10,3,1,1,2
EI1002101ES,2025-11,5,5,5,5
EI1002101ES,2025-12,4,3,5,5
EI1002101ES,2026-01,4,4,4,4
EI2200016ES,2025-02,3,2,5,4
EI2200016ES,2025-03,5,4,5,4
EI2200016ES,2025-04,5,4,4,5
EI2200016ES,2025-05,5,1,5,2
EI2200016ES,2025-06,3,3,5,5
EI2200016ES,2025-07,4,3,2,5
EI2200016ES,2025-08,2,4,4,4
EI2200016ES,2025-09,3,3,3,4
EI2200016ES,2025-10,5,4,4,4
EI2200016ES,2025-11,4,5,5,4
EI2200016ES,2025-12,4,4,4,5
EI2200016ES,2026-01,3,5,5,5
EI0002584ES,2025-02,5,4,1,5
EI0002584ES,2025-03,5,2,3,4
EI0002584ES,2025-04,4,3,5,5
EI0002584ES,2025-05,5,4,4,4
EI0002584ES,2025-06,4,5,5,4
EI0002584ES,2025-07,4,3,4,5
EI0002584ES,2025-08,5,2,4,4
EI0002584ES,2025-09,5,4,2,3
EI0002584ES,2025-10,5,3,5,3
EI0002584ES,2025-11,1,4,4,5
EI0002584ES,2025-12,3,3,5,3
EI0002584ES,2026-01,4,5,3,4
EI9004375ES,2025-02,4,5,3,3
EI9004375ES,2025-03,5,4,4,3
EI9004375ES,2025-04,3,5,3,3
EI9004375ES,2025-05,3,3,2,4
EI9004375ES,2025-06,2,4,4,4
EI9004375ES,2025-07,5,4,5,3
EI9004375ES,2025-08,5,5,5,5
EI9004375ES,2025-09,3,4,2,3
EI9004375ES,2025-10,4,5,4,1
EI9004375ES,2025-11,4,2,3,2
EI9004375ES,2025-12,4,5,2,5
EI9004375ES,2026-01,4,5,4,3
EI1503838ES,2025-02,4,5,5,5
EI1503838ES,2025-03,3,3,5,5
EI1503838ES,2025-04,5,5,2,3
EI1503838ES,2025-05,4,5,4,4
EI1503838ES,2025-06,2,3,4,3
EI1503838ES,2025-07,3,4,3,5
EI1503838ES,2025-08,3,4,4,4
EI1503838ES,2025-09,5,4,2,4
EI1503838ES,2025-10,2,3,4,5
EI1503838ES,2025-11,4,5,4,5
EI1503838ES,2025-12,4,5,5,4
EI1503838ES,2026-01,3,4,3,5
EI1703046ES,2025-02,5,4,1,4
EI1703046ES,2025-03,5,4,5,4
EI1703046ES,2025-04,5,5,4,3
EI1703046ES,2025-05,4,4,5,4
EI1703046ES,2025-06,5,2,2,3
EI1703046ES,2025-07,2,3,1,3
EI1703046ES,2025-08,5,3,4,4
EI1703046ES,2025-09,4,2,4,4
EI1703046ES,2025-10,3,3,2,4
EI1703046ES,2025-11,5,5,3,5
