numero_empleado,cbi_item_1,cbi_item_2,cbi_item_3,cbi_item_4,cbi_item_5,cbi_item_6,cbi_item_7,cbi_item_8,cbi_item_9,cbi_item_10,cbi_item_11,cbi_item_12,cbi_item_13,cbi_item_14,cbi_item_15,cbi_item_16,cbi_item_17,cbi_item_18,cbi_item_19,timestamp_respuesta
EI1804378ES,Siempre,A veces,Siempre,A veces,A veces,Raramente,A menudo,Siempre,A menudo,A veces,A menudo,A veces,Siempre,A menudo,A veces,A menudo,A menudo,A menudo,A menudo,2026-07-30 00:42:39
EI1602352ES,Siempre,Raramente,Raramente,A veces,A veces,A veces,A menudo,A veces,A veces,Raramente,A veces,A veces,A menudo,Raramente,Siempre,Raramente,A veces,A menudo,A veces,2026-03-17 19:42:08
EI9200417ES,A menudo,A veces,Siempre,A veces,A veces,Nunca,A menudo,Siempre,A menudo,Raramente,A veces,A veces,A veces,A menudo,A menudo,A veces,Nunca,Siempre,A menudo,2026-08-09 13:07:42
EI2203167ES,A menudo,A menudo,Raramente,A menudo,A menudo,Siempre,A veces,Raramente,Raramente,Raramente,Siempre,Raramente,A veces,A veces,A veces,A veces,Siempre,Siempre,A veces,2026-04-15 19:59:59
EI0504119ES,A menudo,Raramente,A menudo,Siempre,Raramente,A veces,A veces,A veces,Raramente,A veces,Nunca,A menudo,A veces,Raramente,A veces,A menudo,Siempre,A menudo,A menudo,2026-04-21 20:47:34
EI0805200ES,Nunca,A menudo,A veces,A veces,Raramente,A veces,A veces,A veces,A veces,Raramente,A veces,A menudo,Siempre,Siempre,A veces,A veces,Raramente,Siempre,A menudo,2026-11-28 13:08:37
EI2404334ES,A menudo,A menudo,A veces,A veces,Raramente,Nunca,A veces,Raramente,A menudo,A menudo,Nunca,Siempre,A veces,Raramente,Nunca,A veces,A veces,Nunca,A menudo,2026-08-24 02:18:00
EI9500565ES,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,A menudo,Nunca,Siempre,Siempre,A veces,Nunca,A veces,A veces,A veces,A veces,Siempre,A veces,A menudo,2026-07-29 11:11:36
EI9800479ES,Raramente,Raramente,A menudo,Nunca,Siempre,A menudo,Siempre,A menudo,Siempre,A veces,A veces,Siempre,Siempre,A menudo,A veces,Raramente,Raramente,A veces,A veces,2026-07-26 19:16:56
EI2602956ES,A veces,A veces,A veces,A menudo,Nunca,A menudo,A menudo,A veces,Siempre,Siempre,A veces,A menudo,Nunca,A veces,Nunca,Nunca,Siempre,A veces,A veces,2026-03-10 03:56:50
EI2305101ES,Raramente,A menudo,A menudo,A veces,A menudo,A menudo,A menudo,Raramente,Siempre,A veces,Siempre,Siempre,Raramente,A veces,A veces,A veces,Raramente,Raramente,A veces,2026-01-01 00:30:18
EI0001204ES,Siempre,A menudo,A veces,A menudo,Raramente,A veces,Raramente,Siempre,Raramente,Raramente,Raramente,A menudo,A menudo,Siempre,A veces,A veces,A veces,A veces,Raramente,2026-04-07 17:11:56
EI0801225ES,A veces,A menudo,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,Nunca,A veces,A veces,Raramente,A veces,A veces,A menudo,Raramente,A menudo,A menudo,Raramente,2026-01-05 21:37:01
EI9900143ES,Siempre,A menudo,A veces,A menudo,A veces,A menudo,Raramente,A veces,Siempre,Siempre,A veces,A menudo,A veces,Nunca,Nunca,Siempre,A veces,Raramente,Siempre,2026-01-11 16:16:31
EI9906600ES,Siempre,Raramente,A menudo,A veces,Raramente,A menudo,A veces,A veces,Siempre,Raramente,A menudo,A veces,Siempre,A veces,A menudo,Raramente,A menudo,Siempre,A veces,2026-01-24 08:57:19
EI1803928ES,Nunca,A menudo,Nunca,A menudo,A veces,A menudo,A menudo,Siempre,Raramente,Siempre,A veces,Nunca,A veces,A menudo,Siempre,A menudo,A veces,Raramente,Raramente,2026-09-07 18:56:21
EI0402125ES,Siempre,A veces,A veces,Siempre,A veces,Siempre,Raramente,A veces,A veces,Nunca,Raramente,Raramente,A menudo,A veces,Nunca,A veces,A veces,Raramente,A veces,2026-02-01 19:12:50
EI0904197ES,A veces,A menudo,A menudo,Raramente,A veces,Nunca,A veces,A veces,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,Nunca,Siempre,2026-11-20 18:38:44
EI2102246ES,A veces,Nunca,A veces,A veces,A veces,Raramente,Siempre,A veces,Nunca,Raramente,Raramente,A menudo,Nunca,A menudo,A veces,Siempre,A veces,Raramente,A veces,2026-08-02 15:49:29
EI1903012ES,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,Nunca,Raramente,A veces,Nunca,Nunca,Raramente,A veces,A veces,A veces,Raramente,A menudo,A veces,Raramente,2026-10-24 08:11:04
EI2502958ES,Raramente,Siempre,Siempre,Siempre,A veces,A menudo,Siempre,Raramente,A veces,Nunca,A menudo,Nunca,Siempre,A veces,A menudo,Raramente,Raramente,Raramente,A menudo,2026-03-26 01:19:55
EI0900606ES,Siempre,Siempre,A veces,Raramente,A menudo,Nunca,A veces,A veces,A veces,Raramente,A menudo,Raramente,A veces,A menudo,A veces,A veces,Siempre,Raramente,A menudo,2026-09-13 01:16:43
EI0202005ES,A veces,A veces,A veces,A menudo,A veces,Siempre,A veces,A veces,A menudo,Raramente,A veces,A menudo,Nunca,Raramente,A menudo,A menudo,Raramente,A veces,Raramente,2026-10-20 18:44:42
EI2601195ES,Nunca,A veces,A menudo,Nunca,Siempre,A veces,Raramente,Raramente,A veces,A veces,A menudo,Siempre,A menudo,A veces,Raramente,A menudo,A veces,A veces,Raramente,2026-05-01 09:56:17
EI0404770ES,A veces,A veces,Raramente,A veces,A veces,Nunca,Nunca,A veces,A menudo,A veces,Raramente,A veces,A veces,A veces,A veces,Siempre,A menudo,A menudo,Nunca,2026-09-16 09:52:42
EI0902150ES,Nunca,A veces,A menudo,A menudo,A veces,A veces,Nunca,Raramente,A veces,A veces,A veces,A menudo,Raramente,A veces,Raramente,Raramente,Nunca,A veces,Raramente,2026-11-01 05:37:37
EI1302252ES,Siempre,Siempre,A menudo,Raramente,A menudo,Siempre,A veces,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,Raramente,A menudo,A veces,A menudo,Siempre,A veces,2026-12-11 15:50:41
EI9904610ES,A veces,A veces,Raramente,Raramente,A veces,A menudo,A veces,A veces,A menudo,Raramente,Raramente,A veces,Raramente,A veces,A veces,Nunca,A veces,A veces,A menudo,2026-09-09 11:05:07
EI1601757ES,A menudo,A veces,A veces,A menudo,A veces,Nunca,Siempre,Siempre,A menudo,Raramente,A veces,A veces,Nunca,A veces,A menudo,Raramente,A veces,A veces,A veces,2026-10-04 16:01:45
EI2100498ES,Raramente,Siempre,Raramente,A veces,Nunca,Siempre,A veces,Raramente,A menudo,A veces,Siempre,Siempre,Siempre,A menudo,A menudo,Raramente,A menudo,A veces,Siempre,2026-07-29 06:24:28
EI0702318ES,Nunca,Siempre,A veces,A veces,Raramente,A menudo,Raramente,A veces,Siempre,A veces,A menudo,A menudo,Siempre,Raramente,A menudo,A veces,Siempre,A menudo,A menudo,2026-11-12 14:55:19
EI9504464ES,A menudo,Siempre,Raramente,Nunca,Raramente,Raramente,A veces,Raramente,Raramente,Nunca,Raramente,Siempre,Siempre,A menudo,A veces,A menudo,Nunca,Siempre,Raramente,2026-06-27 02:09:28
EI2406844ES,A veces,Siempre,Raramente,A veces,A veces,Raramente,Siempre,A veces,A veces,A menudo,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,Raramente,A veces,A veces,2026-09-01 10:25:38
EI2505643ES,A menudo,A veces,Siempre,A menudo,A menudo,A veces,A menudo,Siempre,Raramente,A menudo,Nunca,Raramente,Siempre,Raramente,A menudo,Nunca,A veces,Siempre,Siempre,2026-12-11 09:47:41
EI0303277ES,A veces,A menudo,Raramente,A menudo,Siempre,A menudo,A veces,A veces,Raramente,Nunca,A veces,Raramente,Raramente,Siempre,Siempre,A menudo,A menudo,A menudo,A veces,2026-06-24 14:22:49
EI9106164ES,A veces,A menudo,A veces,A menudo,A menudo,A veces,A menudo,Siempre,A menudo,A veces,A menudo,A veces,Raramente,Raramente,Raramente,Siempre,A veces,Raramente,Siempre,2026-06-12 16:04:46
EI2100722ES,Nunca,A menudo,Siempre,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,A veces,A veces,Raramente,A menudo,A veces,A veces,A veces,Nunca,A veces,A menudo,2026-03-10 15:32:56
EI0204229ES,A veces,Nunca,A veces,A menudo,A menudo,A menudo,A menudo,A menudo,Raramente,Raramente,Siempre,A veces,Nunca,A menudo,A menudo,A veces,Raramente,Nunca,Nunca,2026-08-30 14:23:15
EI2501026ES,A menudo,Raramente,Siempre,A veces,A veces,Raramente,A menudo,A menudo,A veces,Raramente,Raramente,Raramente,A veces,Raramente,Siempre,A menudo,A menudo,Raramente,A veces,2026-07-04 10:03:19
EI1906497ES,Siempre,A menudo,Raramente,Siempre,A menudo,A menudo,Siempre,Siempre,Raramente,A menudo,A veces,A menudo,A menudo,A menudo,Siempre,A menudo,Raramente,A veces,Raramente,2026-02-15 21:46:31
EI9301296ES,A menudo,A menudo,A veces,A menudo,A menudo,Siempre,Raramente,Raramente,A veces,A menudo,Nunca,A menudo,A veces,A veces,A veces,A menudo,Raramente,Siempre,Siempre,2026-09-19 05:49:52
EI0403481ES,A menudo,A menudo,Nunca,A veces,Siempre,A menudo,A veces,Raramente,A veces,Raramente,A veces,Siempre,A veces,Raramente,A veces,Raramente,Nunca,A veces,Raramente,2026-09-15 03:44:55
EI0101497ES,A menudo,A veces,A menudo,A menudo,A veces,A veces,A veces,A menudo,Raramente,Raramente,Siempre,A menudo,Siempre,A veces,A menudo,A veces,Siempre,Siempre,A veces,2026-08-17 21:20:05
EI9205671ES,Raramente,Siempre,A veces,Siempre,A veces,Raramente,A veces,A veces,Siempre,A menudo,A veces,Siempre,Nunca,Raramente,A veces,Raramente,Raramente,A veces,A veces,2026-05-19 18:08:47
EI2101521ES,A veces,A veces,A menudo,Siempre,A veces,Raramente,A menudo,A veces,A veces,Raramente,A veces,Raramente,A veces,Nunca,Raramente,Siempre,A veces,Siempre,Nunca,2026-09-02 21:01:20
EI1502165ES,A veces,A veces,A veces,Siempre,A veces,A veces,Raramente,A menudo,Siempre,A veces,Nunca,A menudo,A veces,A veces,A veces,A menudo,A veces,Nunca,A menudo,2026-06-29 00:07:37
EI2104103ES,Siempre,Raramente,Raramente,Raramente,Raramente,A veces,Nunca,A menudo,A menudo,A veces,A veces,A veces,Nunca,A menudo,Raramente,A menudo,A menudo,A menudo,Raramente,2026-01-21 07:03:25
EI0806436ES,Raramente,A menudo,Raramente,A veces,Raramente,A veces,Siempre,A menudo,A menudo,Nunca,A veces,Raramente,Raramente,Raramente,A veces,A veces,Raramente,Siempre,Nunca,2026-06-07 12:09:17
EI2106582ES,Raramente,Raramente,Raramente,Siempre,Raramente,A menudo,Siempre,Raramente,A veces,A veces,A menudo,A veces,A menudo,A veces,Siempre,A veces,A veces,Raramente,A menudo,2026-03-09 05:25:51
EI9002628ES,Siempre,Raramente,Raramente,A menudo,A veces,A menudo,A veces,Raramente,Raramente,Siempre,A menudo,A menudo,Siempre,A veces,Siempre,A menudo,A menudo,A menudo,Siempre,2026-02-01 06:46:06
EI1006229ES,Raramente,Siempre,Siempre,A menudo,A menudo,A veces,A menudo,A veces,Siempre,A menudo,A veces,Siempre,A menudo,A veces,A menudo,Raramente,Nunca,A veces,Raramente,2026-08-12 06:32:14
EI0505088ES,A veces,A menudo,A menudo,A veces,Nunca,Siempre,Nunca,Raramente,Raramente,A menudo,A veces,Nunca,A menudo,Raramente,A menudo,Nunca,A veces,Raramente,Nunca,2026-07-23 22:15:44
EI0505942ES,Siempre,A menudo,A veces,A veces,Siempre,A menudo,A veces,A veces,Siempre,Nunca,A veces,A veces,Nunca,A veces,A veces,Raramente,Raramente,Siempre,A veces,2026-04-26 02:07:27
EI1805637ES,A veces,A menudo,A veces,A veces,A menudo,A veces,A menudo,Siempre,A menudo,A menudo,A veces,Raramente,Raramente,A menudo,A veces,Raramente,Siempre,Siempre,Raramente,2026-04-21 04:33:04
EI2400109ES,A veces,A menudo,A menudo,A menudo,A veces,A veces,A veces,Raramente,Nunca,A veces,A menudo,A menudo,Siempre,Raramente,A veces,A veces,Raramente,Siempre,A menudo,2026-07-19 09:18:33
EI1901755ES,A menudo,A veces,A veces,Siempre,A veces,A veces,A veces,A menudo,Siempre,Raramente,A veces,A menudo,Nunca,Raramente,A veces,A menudo,A veces,A menudo,Raramente,2026-06-26 06:15:22
EI1706083ES,Nunca,A veces,A veces,Raramente,Siempre,Raramente,Siempre,Raramente,A menudo,A menudo,Siempre,A veces,A menudo,Siempre,Nunca,Nunca,A veces,A veces,Raramente,2026-07-10 16:08:24
EI0501352ES,Raramente,Nunca,A menudo,Raramente,Raramente,A veces,Raramente,A veces,A menudo,Raramente,A veces,Siempre,Raramente,A menudo,A veces,A veces,Siempre,Nunca,A veces,2026-04-25 08:47:36
EI9206525ES,A veces,Siempre,Raramente,Nunca,A veces,Nunca,Siempre,A veces,A menudo,A menudo,Siempre,Raramente,Siempre,Nunca,A menudo,Raramente,Siempre,A veces,A menudo,2026-01-06 22:16:28
EI0704790ES,A veces,Nunca,A veces,Siempre,A veces,A menudo,Nunca,A veces,A menudo,A menudo,A veces,A veces,A menudo,A menudo,A veces,A veces,A veces,Raramente,A menudo,2026-01-17 16:48:02
EI1603791ES,A veces,A menudo,Siempre,Raramente,A veces,A veces,A menudo,Raramente,Siempre,Nunca,Siempre,Raramente,A veces,A menudo,Siempre,A veces,Raramente,A menudo,Raramente,2026-05-13 01:25:40
EI1201974ES,A veces,Raramente,Siempre,Raramente,A veces,Siempre,Raramente,Siempre,A veces,A menudo,Nunca,A veces,Raramente,A veces,Siempre,Siempre,A veces,Raramente,A veces,2026-07-15 08:16:06
EI9900337ES,A veces,A menudo,Raramente,Nunca,A menudo,A menudo,Siempre,Siempre,A menudo,Raramente,A veces,A veces,A menudo,A menudo,A veces,A menudo,A veces,Raramente,Raramente,2026-06-21 03:09:03
EI1004910ES,Siempre,Siempre,Nunca,A menudo,Siempre,Raramente,A veces,Raramente,A veces,Raramente,A veces,A veces,Raramente,A veces,Nunca,A menudo,A veces,Nunca,Raramente,2026-08-10 18:44:54
EI2504652ES,A veces,Raramente,A veces,Raramente,A menudo,A menudo,A veces,Raramente,Raramente,A menudo,Raramente,Raramente,Nunca,A menudo,Raramente,A veces,A menudo,Raramente,A menudo,2026-06-25 05:20:20
EI0902269ES,Raramente,A menudo,A menudo,Siempre,Raramente,A menudo,Siempre,Raramente,A menudo,A menudo,A menudo,A menudo,Siempre,A veces,A veces,A veces,Siempre,Raramente,A menudo,2026-11-28 05:24:22
EI1202544ES,A veces,A veces,Nunca,A veces,A veces,A veces,A veces,A veces,A veces,Raramente,A veces,A veces,Raramente,Nunca,Raramente,Nunca,Raramente,Siempre,Nunca,2026-05-20 16:55:46
EI1400725ES,Siempre,A veces,A veces,A menudo,A veces,Siempre,A menudo,A veces,A menudo,A veces,Raramente,A veces,Siempre,A menudo,Raramente,A veces,Raramente,A veces,A menudo,2026-07-24 17:25:35
EI0700766ES,Raramente,A veces,Raramente,Raramente,A veces,A veces,A veces,A veces,Siempre,A menudo,A veces,A veces,A menudo,Siempre,Nunca,Raramente,Raramente,A menudo,A veces,2026-07-08 04:26:53
EI2304604ES,A menudo,A veces,Raramente,Raramente,A veces,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,A veces,Raramente,Raramente,A veces,Siempre,Raramente,A menudo,A veces,2026-03-06 12:28:25
EI9403735ES,A menudo,Raramente,A menudo,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,A veces,A menudo,A veces,A veces,2026-12-29 20:18:55
EI1200308ES,A menudo,Siempre,A veces,A veces,Siempre,Raramente,Siempre,Raramente,Siempre,A menudo,A menudo,Siempre,Nunca,A veces,Siempre,A veces,Siempre,Raramente,A veces,2026-04-13 17:33:21
EI0206104ES,A menudo,A veces,A menudo,Siempre,Raramente,A veces,Siempre,Nunca,A menudo,Siempre,A veces,Raramente,A veces,Nunca,Siempre,A menudo,A menudo,Siempre,A menudo,2026-11-21 20:55:34
EI2205768ES,Raramente,Raramente,A menudo,A veces,A veces,A veces,A veces,A veces,A menudo,A menudo,Siempre,Nunca,A menudo,Siempre,A veces,A menudo,A veces,Nunca,A menudo,2026-10-31 00:54:00
EI1602866ES,A veces,Siempre,Raramente,A menudo,A veces,A veces,Raramente,A veces,Raramente,A veces,A veces,A veces,Nunca,A veces,A menudo,A veces,A menudo,Raramente,Raramente,2026-02-01 13:02:24
EI0406708ES,A menudo,Siempre,Raramente,A menudo,A veces,Raramente,Raramente,Raramente,Raramente,Nunca,A veces,Raramente,A veces,A menudo,Siempre,A veces,Siempre,A menudo,A veces,2026-04-18 14:32:35
EI0004385ES,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,A veces,Raramente,A menudo,Raramente,Raramente,A veces,Raramente,Siempre,A menudo,Nunca,Nunca,A menudo,Raramente,2026-07-28 21:51:46
EI9906339ES,Raramente,A veces,A veces,Siempre,A veces,A menudo,Raramente,Raramente,A menudo,A menudo,A veces,Nunca,A veces,A veces,A veces,A menudo,A menudo,Siempre,Raramente,2026-04-17 07:04:04
EI9201792ES,Raramente,A veces,Siempre,A veces,Siempre,A menudo,Raramente,A veces,A menudo,Raramente,Nunca,A veces,A menudo,Nunca,Raramente,A menudo,Siempre,Raramente,A menudo,2026-03-11 17:56:01
EI2103208ES,A menudo,Siempre,Siempre,Raramente,Raramente,A menudo,A menudo,Raramente,Raramente,Raramente,A veces,A menudo,A veces,Raramente,A menudo,A menudo,A menudo,A menudo,Raramente,2026-08-11 08:23:38
EI1004957ES,A veces,A veces,A menudo,Nunca,A menudo,A menudo,A menudo,Siempre,A veces,Raramente,A veces,Raramente,Siempre,A menudo,A veces,Raramente,A menudo,A menudo,Nunca,2026-04-22 09:23:19
EI1604913ES,Nunca,Siempre,A veces,Raramente,Siempre,Siempre,A menudo,A veces,Siempre,A veces,Siempre,Raramente,Raramente,A veces,Siempre,A menudo,A menudo,A menudo,A veces,2026-03-08 05:26:28
EI2302054ES,Raramente,A veces,A veces,A menudo,Siempre,A menudo,A menudo,Siempre,Siempre,Raramente,A menudo,A menudo,A veces,Raramente,Nunca,Raramente,Nunca,A veces,A veces,2026-09-30 12:55:24
EI1906075ES,Siempre,Raramente,Siempre,Raramente,Raramente,Raramente,A veces,Raramente,A menudo,Raramente,Raramente,Raramente,Siempre,A menudo,Nunca,Nunca,A veces,Raramente,A menudo,2026-12-23 14:34:21
EI2100072ES,Siempre,A menudo,Nunca,A menudo,Raramente,A veces,A veces,A veces,Siempre,Raramente,A veces,Siempre,Raramente,A menudo,A veces,Siempre,A veces,A veces,A menudo,2026-03-23 18:55:09
EI2502474ES,A veces,A veces,A menudo,Nunca,Raramente,A menudo,A veces,Siempre,Raramente,Siempre,Nunca,Raramente,Raramente,A menudo,A veces,A menudo,Raramente,Siempre,A veces,2026-04-29 16:56:34
EI2006457ES,Nunca,Nunca,Raramente,Raramente,Nunca,A veces,A menudo,A veces,A menudo,Raramente,Raramente,A veces,Raramente,A veces,Raramente,A menudo,Siempre,A veces,A menudo,2026-03-13 07:58:39
EI9301261ES,A veces,A veces,A veces,Raramente,A menudo,Raramente,Raramente,Siempre,Raramente,Raramente,A veces,A menudo,A menudo,Siempre,Nunca,Raramente,Siempre,A menudo,Raramente,2026-09-12 06:26:02
EI9101667ES,A veces,Raramente,Siempre,Siempre,A veces,A menudo,A veces,Siempre,A veces,A menudo,Raramente,Raramente,Raramente,A veces,A veces,Siempre,Raramente,A menudo,A veces,2026-04-06 12:16:13
EI1803103ES,Siempre,A veces,Raramente,A veces,A veces,A veces,A veces,A menudo,A menudo,A menudo,A veces,Siempre,A veces,Raramente,Raramente,A menudo,A menudo,A menudo,Nunca,2026-10-24 07:34:09
EI9904267ES,A veces,Raramente,Raramente,Raramente,Nunca,Siempre,Nunca,A veces,A veces,Raramente,A menudo,A menudo,A veces,Raramente,A menudo,Raramente,Raramente,Siempre,Raramente,2026-02-22 01:17:12
EI0403693ES,Raramente,Siempre,A veces,Raramente,A menudo,A veces,A menudo,Siempre,A menudo,A menudo,Siempre,A veces,A veces,A veces,A menudo,Raramente,A menudo,A menudo,A menudo,2026-04-30 08:21:11
EI1504978ES,A menudo,Siempre,A veces,Siempre,Nunca,A menudo,A menudo,Siempre,Siempre,A menudo,Raramente,Raramente,A veces,A menudo,Raramente,A menudo,A veces,Raramente,A veces,2026-08-30 01:56:13
EI0106664ES,Raramente,A menudo,Siempre,Nunca,Siempre,A veces,A veces,A menudo,Nunca,A menudo,A veces,Siempre,Raramente,Raramente,Nunca,Nunca,A menudo,Raramente,A veces,2026-01-04 19:46:40
EI2001696ES,Nunca,A veces,A veces,Siempre,Raramente,A veces,Raramente,Siempre,A veces,A menudo,A veces,A veces,Nunca,Nunca,A veces,A menudo,Siempre,Nunca,Siempre,2026-12-21 21:15:54
EI0401096ES,A menudo,Raramente,Nunca,A veces,A veces,A veces,Siempre,A menudo,Siempre,Nunca,A menudo,Raramente,Raramente,A menudo,A veces,A veces,A veces,Siempre,A veces,2026-06-09 05:11:27
EI2103839ES,A veces,A menudo,Siempre,A veces,Raramente,A veces,Raramente,A veces,A menudo,Raramente,Raramente,Raramente,A veces,Nunca,A veces,A veces,Raramente,Nunca,Raramente,2026-12-02 07:33:32
EI1003622ES,A menudo,A veces,A menudo,Siempre,Siempre,A veces,Nunca,A veces,A menudo,A menudo,Raramente,A veces,A veces,Raramente,Raramente,Raramente,Siempre,A menudo,A menudo,2026-05-09 01:14:20
EI0605946ES,Raramente,Raramente,Nunca,Siempre,Siempre,Siempre,A veces,Nunca,A menudo,Siempre,A veces,Nunca,Siempre,Nunca,Raramente,A menudo,A menudo,A veces,Siempre,2026-04-15 16:13:48
EI1401631ES,A veces,A veces,A menudo,Raramente,Siempre,A veces,A menudo,Siempre,Siempre,A menudo,A veces,A veces,A menudo,A menudo,Raramente,A veces,Siempre,A veces,A veces,2026-01-06 09:43:29
EI1004044ES,A veces,A menudo,A veces,A menudo,A veces,Raramente,A veces,Raramente,A menudo,A veces,A veces,Raramente,A menudo,Nunca,Siempre,A veces,A menudo,A menudo,Raramente,2026-04-12 06:57:26
EI2201882ES,Raramente,A veces,A veces,Siempre,A veces,Raramente,A menudo,A menudo,A veces,Siempre,A veces,A veces,Nunca,A menudo,Raramente,Siempre,A menudo,A menudo,Raramente,2026-04-30 07:09:35
EI9404680ES,A menudo,A menudo,A veces,Raramente,Nunca,Nunca,A menudo,A menudo,Raramente,Raramente,Raramente,Raramente,Raramente,A menudo,Raramente,Raramente,Raramente,A menudo,A veces,2026-12-16 04:30:25
EI1601613ES,Nunca,Siempre,A veces,Raramente,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,Nunca,A veces,Siempre,Siempre,Siempre,Raramente,Raramente,A menudo,A menudo,2026-11-20 22:49:08
EI0800979ES,A veces,Nunca,A menudo,A veces,Siempre,A menudo,A veces,Siempre,A veces,Raramente,A menudo,A menudo,A veces,A veces,A veces,Raramente,Raramente,A menudo,Raramente,2026-10-03 18:44:14
EI1703051ES,A menudo,Siempre,Siempre,A menudo,A menudo,A veces,Siempre,A veces,Siempre,Raramente,A menudo,Siempre,A menudo,Siempre,Siempre,Raramente,Siempre,A veces,A veces,2026-04-18 19:25:10
EI2204961ES,A veces,Siempre,Raramente,Siempre,Siempre,A menudo,A menudo,Raramente,Siempre,Raramente,A menudo,A veces,A menudo,A menudo,A menudo,A veces,Siempre,A menudo,Nunca,2026-05-24 13:22:01
EI1002549ES,Raramente,Raramente,Raramente,Raramente,Raramente,Siempre,A veces,Raramente,A veces,A veces,Raramente,A menudo,A veces,A veces,A veces,A veces,A menudo,A veces,Siempre,2026-07-24 23:06:20
EI9600849ES,A menudo,A menudo,A veces,A veces,Raramente,A veces,A veces,Nunca,Raramente,Nunca,Raramente,A veces,A veces,Siempre,A menudo,A veces,Raramente,A menudo,A menudo,2026-02-12 04:39:21
EI1903484ES,Raramente,A veces,A veces,A veces,Nunca,A menudo,A veces,Raramente,Siempre,Raramente,Siempre,Raramente,Raramente,Raramente,Siempre,Siempre,Siempre,Nunca,A veces,2026-07-04 23:30:29
EI0205719ES,Nunca,A menudo,A menudo,Raramente,A veces,A menudo,Raramente,A veces,A veces,A veces,Siempre,Raramente,A menudo,A menudo,A veces,A veces,Siempre,Raramente,A veces,2026-09-07 19:55:52
EI9906535ES,A menudo,A menudo,Siempre,A veces,Siempre,Nunca,A veces,A veces,Nunca,Raramente,A veces,A veces,A veces,Siempre,Raramente,Siempre,A veces,Siempre,A veces,2026-11-17 00:27:36
EI0802132ES,Nunca,A menudo,Raramente,Siempre,A menudo,A menudo,Nunca,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,A menudo,A veces,Siempre,A veces,A menudo,2026-05-18 16:55:14
EI1400048ES,Siempre,A menudo,A veces,Nunca,A veces,Siempre,Nunca,Raramente,A menudo,Nunca,Siempre,Raramente,Nunca,Siempre,Nunca,Siempre,Siempre,Raramente,A menudo,2026-04-23 16:00:57
EI9103685ES,A menudo,A veces,A menudo,A veces,Nunca,Siempre,Siempre,A menudo,A menudo,Siempre,A veces,A veces,A veces,Raramente,Raramente,Siempre,A menudo,A menudo,Siempre,2026-02-21 21:34:12
EI1101351ES,A menudo,Raramente,Siempre,A veces,Siempre,Raramente,A menudo,A veces,Nunca,A veces,Raramente,Nunca,A menudo,A menudo,A veces,Raramente,A menudo,A veces,A veces,2026-09-26 23:21:51
EI2204629ES,Raramente,A veces,Siempre,Nunca,Siempre,Raramente,A menudo,A veces,A menudo,Siempre,A menudo,Raramente,A menudo,Siempre,Siempre,Raramente,A menudo,Nunca,A menudo,2026-11-17 13:31:57
EI1600447ES,A veces,Nunca,A menudo,Nunca,Raramente,Siempre,A menudo,A veces,A veces,Raramente,A veces,Raramente,A menudo,A veces,Nunca,A menudo,Raramente,Raramente,A menudo,2026-12-18 04:08:19
EI0901744ES,A menudo,Siempre,Raramente,A veces,A veces,A menudo,A menudo,Raramente,A menudo,Nunca,Nunca,A menudo,Nunca,A veces,A veces,Siempre,A menudo,A menudo,Siempre,2026-09-02 15:19:36
EI9604075ES,A veces,A veces,Nunca,A menudo,A menudo,Raramente,A veces,A veces,A veces,A veces,A menudo,A menudo,A veces,A menudo,A veces,Nunca,A veces,A veces,Siempre,2026-10-20 23:59:00
EI1202982ES,A veces,A veces,Raramente,Nunca,Raramente,A menudo,Siempre,Nunca,A menudo,Raramente,A veces,Raramente,A menudo,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,2026-07-17 19:40:25
EI0805164ES,Siempre,Nunca,Nunca,A veces,Siempre,Nunca,Siempre,Raramente,A veces,A menudo,Nunca,Siempre,Raramente,Raramente,A veces,A veces,A menudo,A menudo,A menudo,2026-01-09 23:45:30
EI0503986ES,Raramente,Siempre,Nunca,A veces,Nunca,A veces,Siempre,Siempre,A menudo,A menudo,A menudo,Raramente,A menudo,A veces,Raramente,A menudo,Siempre,Siempre,A veces,2026-11-18 14:03:35
EI9205271ES,Raramente,A veces,A veces,A veces,A menudo,A menudo,Siempre,Siempre,A veces,A menudo,Nunca,A veces,A veces,A menudo,Siempre,Siempre,A veces,A menudo,A veces,2026-06-01 13:27:14
EI9204899ES,A veces,Raramente,A menudo,A veces,Siempre,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,Raramente,Siempre,Nunca,A veces,A veces,Raramente,Raramente,Raramente,2026-12-28 12:58:52
