numero_empleado,mes,feedback,reconocimiento,apoyo_supervisor,apoyo_equipo
IE2001739,2025-10,5,1,4,5
IE2001739,2025-11,2,5,4,5
IE2001739,2025-12,3,4,5,3
IE2001739,2026-01,5,2,5,1
IE2001739,2026-02,5,5,3,3
IE0102541,2025-03,5,4,2,4
IE0102541,2025-04,4,4,3,5
IE0102541,2025-05,5,3,4,5
IE0102541,2025-06,5,5,4,3
IE0102541,2025-07,5,4,1,5
IE0102541,2025-08,1,5,3,1
IE0102541,2025-09,4,4,5,4
IE0102541,2025-10,3,3,3,2
IE0102541,2025-11,3,4,2,4
IE0102541,2025-12,3,3,5,4
IE0102541,2026-01,4,4,5,2
IE0102541,2026-02,5,2,5,5
IE0501310,2025-03,3,2,3,5
IE0501310,2025-04,2,4,4,1
IE0501310,2025-05,3,5,4,4
IE0501310,2025-06,4,5,4,3
IE0501310,2025-07,5,4,1,1
IE0501310,2025-08,4,2,1,5
IE0501310,2025-09,3,4,1,5
IE0501310,2025-10,4,1,4,5
IE0501310,2025-11,4,5,4,1
IE0501310,2025-12,4,5,5,1
IE0501310,2026-01,2,1,4,5
IE0501310,2026-02,2,5,4,4
IE2205181,2025-03,2,4,5,4
IE2205181,2025-04,4,3,5,5
IE2205181,2025-05,4,1,2,3
IE2205181,2025-06,1,5,4,2
IE2205181,2025-07,4,5,5,1
IE2205181,2025-08,2,4,5,3
IE2205181,2025-09,5,2,5,4
IE2205181,2025-10,4,3,1,5
IE2205181,2025-11,1,3,4,4
IE2205181,2025-12,2,4,4,4
IE2205181,2026-01,3,3,5,4
IE2205181,2026-02,1,3,3,5
IE9801363,2025-03,5,1,5,4
IE9801363,2025-04,5,3,2,5
IE9801363,2025-05,5,1,4,5
IE9801363,2025-06,4,4,4,5
IE9801363,2025-07,5,1,2,5
IE9801363,2025-08,5,4,1,5
IE9801363,2025-09,2,5,4,3
IE9801363,2025-10,5,5,4,3
IE9801363,2025-11,4,4,3,4
IE9801363,2025-12,2,5,4,4
IE9801363,2026-01,5,5,2,4
IE9801363,2026-02,5,3,4,5
IE2405041,2025-03,4,5,5,2
IE2405041,2025-04,3,3,5,5
IE2405041,2025-05,2,2,1,3
IE2405041,2025-06,4,4,4,4
IE2405041,2025-07,5,2,5,5
IE2405041,2025-08,4,5,3,5
IE2405041,2025-09,3,5,3,5
IE2405041,2025-10,3,5,4,4
IE2405041,2025-11,4,4,4,3
IE2405041,2025-12,5,5,2,4
IE2405041,2026-01,5,2,5,2
IE2405041,2026-02,5,5,4,4
IE1504080,2025-03,1,3,2,5
IE1504080,2025-04,4,5,4,4
IE1504080,2025-05,5,3,4,4
IE1504080,2025-06,3,3,4,4
IE1504080,2025-07,3,4,3,4
IE1504080,2025-08,3,3,1,5
IE1504080,2025-09,3,5,5,5
IE1504080,2025-10,2,3,2,1
IE1504080,2025-11,5,4,3,4
IE1504080,2025-12,4,4,2,4
IE1504080,2026-01,2,3,5,4
IE1504080,2026-02,2,4,2,4
IE1705202,2025-03,5,3,3,5
IE1705202,2025-04,5,5,4,3
IE1705202,2025-05,4,5,4,4
IE1705202,2025-06,3,4,5,5
IE1705202,2025-07,4,5,4,5
IE1705202,2025-08,1,3,5,4
IE1705202,2025-09,5,4,4,4
IE1705202,2025-10,3,2,5,4
IE1705202,2025-11,4,5,4,2
IE1705202,2025-12,3,4,4,1
IE1705202,2026-01,3,2,3,4
IE1705202,2026-02,4,5,4,4
IE9503143,2025-03,5,5,3,5
IE9503143,2025-04,4,5,3,3
IE9503143,2025-05,1,4,5,3
IE9503143,2025-06,4,3,4,3
IE9503143,2025-07,4,5,4,4
IE9503143,2025-08,4,4,5,4
IE9503143,2025-09,3,3,5,4
IE9503143,2025-10,1,4,5,4
IE9503143,2025-11,5,5,3,4
IE9503143,2025-12,3,3,5,2
IE9503143,2026-01,4,1,2,4
IE9503143,2026-02,4,4,5,4
IE0801385,2025-03,3,5,4,3
IE0801385,2025-04,3,4,1,4
IE0801385,2025-05,4,4,3,4
IE0801385,2025-06,5,5,5,5
IE0801385,2025-07,3,2,4,3
IE0801385,2025-08,2,5,4,4
IE0801385,2025-09,3,4,3,5
IE0801385,2025-10,4,5,3,2
IE0801385,2025-11,2,5,5,5
IE0801385,2025-12,2,4,4,5
IE0801385,2026-01,4,5,5,4
IE0801385,2026-02,4,5,5,1
IE9001636,2025-03,5,3,5,5
IE9001636,2025-04,1,5,4,4
IE9001636,2025-05,4,5,5,2
IE9001636,2025-06,4,1,5,4
IE9001636,2025-07,2,3,4,3
IE9001636,2025-08,5,3,5,2
IE9001636,2025-09,4,5,4,4
IE9001636,2025-10,5,5,4,3
IE9001636,2025-11,3,3,4,2
IE9001636,2025-12,3,4,5,2
IE9001636,2026-01,5,5,4,5
IE9001636,2026-02,2,5,4,4
IE0500147,2025-03,2,5,3,3
IE0500147,2025-04,1,5,3,2
IE0500147,2025-05,2,5,1,5
IE0500147,2025-06,2,4,2,4
IE0500147,2025-07,4,2,4,4
IE0500147,2025-08,3,3,3,5
IE0500147,2025-09,3,3,3,4
IE0500147,2025-10,4,2,3,1
IE0500147,2025-11,4,4,5,4
IE0500147,2025-12,4,2,5,4
IE0500147,2026-01,1,5,3,5
IE0500147,2026-02,5,4,1,5
IE0005419,2025-03,4,2,2,5
IE0005419,2025-04,3,2,4,5
IE0005419,2025-05,3,4,4,4
IE0005419,2025-06,5,4,4,3
IE0005419,2025-07,5,5,5,5
IE0005419,2025-08,4,5,4,5
IE0005419,2025-09,4,5,2,3
IE0005419,2025-10,4,5,4,2
IE0005419,2025-11,1,2,1,5
IE0005419,2025-12,4,5,2,5
IE0005419,2026-01,4,4,1,3
IE0005419,2026-02,5,5,4,5
IE1102703,2025-03,3,2,3,4
IE1102703,2025-04,3,3,4,3
IE1102703,2025-05,4,4,4,3
IE1102703,2025-06,3,4,4,4
IE1102703,2025-07,3,4,5,5
IE1102703,2025-08,5,5,4,5
IE1102703,2025-09,4,2,2,5
IE1102703,2025-10,3,3,2,5
IE1102703,2025-11,4,3,5,2
IE1102703,2025-12,4,4,4,4
IE1102703,2026-01,3,5,1,1
IE1102703,2026-02,4,4,3,5
IE1102630,2025-03,5,4,2,4
IE1102630,2025-04,3,4,3,3
IE1102630,2025-05,5,1,5,2
IE1102630,2025-06,2,3,3,2
IE1102630,2025-07,5,4,4,2
IE1102630,2025-08,4,5,5,4
IE1102630,2025-09,4,2,5,3
IE1102630,2025-10,4,4,4,4
IE1102630,2025-11,3,5,5,1
IE1102630,2025-12,5,4,4,2
IE1102630,2026-01,2,4,2,3
IE1102630,2026-02,3,3,4,3
IE0404313,2025-03,3,1,4,5
IE0404313,2025-04,2,5,3,3
IE0404313,2025-05,4,4,5,5
IE0404313,2025-06,2,4,1,4
IE0404313,2025-07,4,5,2,2
IE0404313,2025-08,3,3,4,4
IE0404313,2025-09,4,4,4,4
IE0404313,2025-10,5,2,3,5
IE0404313,2025-11,4,5,4,3
IE0404313,2025-12,5,4,4,4
IE0404313,2026-01,4,5,3,3
IE0404313,2026-02,4,5,5,3
IE0503545,2025-03,5,5,2,2
IE0503545,2025-04,4,4,5,4
IE0503545,2025-05,1,3,3,4
IE0503545,2025-06,4,4,2,1
IE0503545,2025-07,5,5,3,4
IE0503545,2025-08,4,3,4,5
IE0503545,2025-09,5,3,3,4
IE0503545,2025-10,4,5,5,3
IE0503545,2025-11,4,2,5,4
IE0503545,2025-12,3,5,1,5
IE0503545,2026-01,5,3,4,3
IE0503545,2026-02,1,4,5,4
IE9202550,2025-03,3,5,4,4
IE9202550,2025-04,5,2,4,2
IE9202550,2025-05,4,5,4,3
IE9202550,2025-06,4,5,4,4
IE9202550,2025-07,5,3,4,4
IE9202550,2025-08,4,3,5,2
IE9202550,2025-09,4,2,5,5
IE9202550,2025-10,5,1,5,3
IE9202550,2025-11,3,3,5,4
IE9202550,2025-12,4,4,5,4
IE9202550,2026-01,5,3,4,2
IE9202550,2026-02,3,3,3,5
IE1800209,2025-03,4,5,3,4
IE1800209,2025-04,5,2,4,4
IE1800209,2025-05,5,4,4,4
IE1800209,2025-06,5,1,3,5
IE1800209,2025-07,5,2,1,3
IE1800209,2025-08,4,5,4,5
IE1800209,2025-09,5,4,4,4
IE1800209,2025-10,5,4,4,5
IE1800209,2025-11,4,4,4,3
IE1800209,2025-12,5,2,5,4
IE1800209,2026-01,4,1,3,2
IE1800209,2026-02,4,4,2,4
IE1501811,2025-03,3,5,3,5
IE1501811,2025-04,5,5,4,4
IE1501811,2025-05,4,4,5,2
IE1501811,2025-06,5,2,5,4
IE1501811,2025-07,5,4,3,2
IE1501811,2025-08,3,5,5,4
IE1501811,2025-09,5,5,5,5
IE1501811,2025-10,3,2,1,3
IE1501811,2025-11,4,4,4,4
IE1501811,2025-12,4,1,5,4
IE1501811,2026-01,5,4,3,5
IE1501811,2026-02,4,4,4,4
IE2304875,2025-03,5,3,5,5
IE2304875,2025-04,3,4,5,4
IE2304875,2025-05,4,3,4,4
IE2304875,2025-06,4,3,5,3
IE2304875,2025-07,2,2,1,3
IE2304875,2025-08,5,4,4,4
IE2304875,2025-09,3,5,5,4
IE2304875,2025-10,5,4,4,4
IE2304875,2025-11,3,5,5,5
IE2304875,2025-12,4,4,3,2
IE2304875,2026-01,4,4,3,5
IE2304875,2026-02,3,2,5,1
IE9003674,2025-03,2,5,3,4
IE9003674,2025-04,3,4,5,5
IE9003674,2025-05,3,5,4,2
IE9003674,2025-06,5,4,5,3
IE9003674,2025-07,4,1,2,3
IE9003674,2025-08,5,4,1,4
IE9003674,2025-09,5,3,5,3
IE9003674,2025-10,5,4,5,4
IE9003674,2025-11,3,3,4,3
IE9003674,2025-12,2,4,4,2
IE9003674,2026-01,5,3,4,3
IE9003674,2026-02,2,5,5,1
IE9002504,2025-03,3,5,4,4
IE9002504,2025-04,5,2,4,3
IE9002504,2025-05,1,4,4,4
IE9002504,2025-06,4,5,4,5
IE9002504,2025-07,4,4,5,4
IE9002504,2025-08,3,4,4,5
IE9002504,2025-09,3,2,5,3
IE9002504,2025-10,5,5,2,3
IE9002504,2025-11,4,5,4,5
IE9002504,2025-12,2,4,3,5
IE9002504,2026-01,2,3,3,4
IE9002504,2026-02,4,5,2,4
IE2203795,2025-03,4,4,4,5
IE2203795,2025-04,3,3,5,1
IE2203795,2025-05,4,3,3,5
IE2203795,2025-06,5,2,4,1
IE2203795,2025-07,3,5,4,5
IE2203795,2025-08,3,5,5,5
IE2203795,2025-09,5,4,5,2
IE2203795,2025-10,3,1,2,5
IE2203795,2025-11,4,5,5,5
IE2203795,2025-12,5,5,3,5
IE2203795,2026-01,5,4,2,4
IE2203795,2026-02,4,3,5,4
IE0801880,2025-03,5,4,5,4
IE0801880,2025-04,3,4,5,1
IE0801880,2025-05,4,5,3,1
IE0801880,2025-06,4,4,3,4
IE0801880,2025-07,4,3,3,1
IE0801880,2025-08,4,3,1,5
IE0801880,2025-09,1,4,5,3
IE0801880,2025-10,4,3,4,4
IE0801880,2025-11,3,5,4,4
IE0801880,2025-12,5,4,2,3
IE0801880,2026-01,3,4,5,2
IE0801880,2026-02,4,5,4,2
IE2105196,2025-03,2,4,4,5
IE2105196,2025-04,5,5,5,4
IE2105196,2025-05,3,2,5,4
IE2105196,2025-06,5,4,5,4
IE2105196,2025-07,4,5,4,4
IE2105196,2025-08,4,3,2,2
IE2105196,2025-09,2,5,2,5
IE2105196,2025-10,4,4,5,3
IE2105196,2025-11,4,5,3,3
IE2105196,2025-12,4,3,3,3
IE2105196,2026-01,4,5,5,2
IE2105196,2026-02,5,4,4,4
IE0502966,2025-03,4,3,5,5
IE0502966,2025-04,5,4,2,3
IE0502966,2025-05,4,3,3,2
IE0502966,2025-06,2,4,4,4
IE0502966,2025-07,4,5,4,4
IE0502966,2025-08,1,4,5,4
IE0502966,2025-09,3,5,5,5
IE0502966,2025-10,1,4,3,4
IE0502966,2025-11,4,4,5,5
IE0502966,2025-12,4,4,5,2
IE0502966,2026-01,5,3,5,5
IE0502966,2026-02,5,5,1,4
IE1203667,2025-03,4,5,2,2
IE1203667,2025-04,5,4,3,2
IE1203667,2025-05,5,5,4,4
IE1203667,2025-06,1,4,3,3
IE1203667,2025-07,3,5,4,4
IE1203667,2025-08,1,3,4,5
IE1203667,2025-09,4,4,3,3
IE1203667,2025-10,3,5,2,4
IE1203667,2025-11,1,5,5,5
IE1203667,2025-12,5,1,3,4
IE1203667,2026-01,3,1,4,5
IE1203667,2026-02,5,3,4,4
IE9904306,2025-03,5,3,2,4
IE9904306,2025-04,4,5,5,5
IE9904306,2025-05,3,5,4,3
IE9904306,2025-06,5,5,4,5
IE9904306,2025-07,1,2,5,5
IE9904306,2025-08,5,5,3,4
IE9904306,2025-09,2,3,4,2
IE9904306,2025-10,5,3,5,5
IE9904306,2025-11,3,3,4,4
IE9904306,2025-12,2,2,5,3
IE9904306,2026-01,5,5,3,3
IE9904306,2026-02,4,1,5,4
IE1705329,2025-03,4,4,4,5
IE1705329,2025-04,4,4,3,5
IE1705329,2025-05,3,2,4,4
IE1705329,2025-06,4,2,5,5
IE1705329,2025-07,5,3,5,4
IE1705329,2025-08,3,4,4,2
IE1705329,2025-09,4,2,4,5
IE1705329,2025-10,2,5,5,5
IE1705329,2025-11,5,5,5,5
IE1705329,2025-12,5,3,4,5
IE1705329,2026-01,2,4,4,3
IE1705329,2026-02,2,2,5,4
IE2101963,2025-03,4,5,3,3
IE2101963,2025-04,2,4,4,3
IE2101963,2025-05,2,5,3,5
IE2101963,2025-06,5,4,5,3
IE2101963,2025-07,2,4,2,5
IE2101963,2025-08,4,4,4,3
IE2101963,2025-09,3,2,3,3
IE2101963,2025-10,2,5,4,3
IE2101963,2025-11,5,4,4,4
IE2101963,2025-12,4,5,3,4
IE2101963,2026-01,5,5,4,5
IE2101963,2026-02,5,4,5,2
IE0200419,2025-03,3,3,2,5
IE0200419,2025-04,4,5,4,2
IE0200419,2025-05,3,5,4,3
IE0200419,2025-06,4,4,3,3
IE0200419,2025-07,5,2,3,4
IE0200419,2025-08,2,3,4,5
IE0200419,2025-09,5,5,5,5
IE0200419,2025-10,3,3,3,4
IE0200419,2025-11,2,4,4,5
IE0200419,2025-12,3,4,4,5
IE0200419,2026-01,5,3,3,1
IE0200419,2026-02,4,3,4,4
IE1703640,2025-03,4,3,5,4
IE1703640,2025-04,5,4,5,2
IE1703640,2025-05,4,3,4,5
IE1703640,2025-06,1,4,5,4
IE1703640,2025-07,3,3,3,4
IE1703640,2025-08,4,3,4,5
IE1703640,2025-09,1,5,5,3
IE1703640,2025-10,2,4,1,3
IE1703640,2025-11,1,5,4,4
IE1703640,2025-12,2,3,1,4
IE1703640,2026-01,4,5,5,4
IE1703640,2026-02,3,3,4,4
IE9701990,2025-03,2,4,3,3
IE9701990,2025-04,4,4,3,4
IE9701990,2025-05,4,5,4,3
IE9701990,2025-06,5,5,3,4
IE9701990,2025-07,4,5,5,1
IE9701990,2025-08,4,5,4,5
IE9701990,2025-09,5,4,4,3
IE9701990,2025-10,5,4,2,4
IE9701990,2025-11,5,5,3,5
IE9701990,2025-12,4,4,4,5
IE9701990,2026-01,4,5,5,3
IE9701990,2026-02,5,3,4,1
IE9002799,2025-03,3,4,4,5
IE9002799,2025-04,3,4,4,5
IE9002799,2025-05,5,4,3,2
IE9002799,2025-06,4,4,4,5
IE9002799,2025-07,4,4,4,4
IE9002799,2025-08,5,5,4,5
IE9002799,2025-09,2,4,4,5
IE9002799,2025-10,4,5,5,4
IE9002799,2025-11,2,5,3,4
IE9002799,2025-12,4,4,3,5
IE9002799,2026-01,3,1,1,4
IE9002799,2026-02,4,3,2,3
IE0302690,2025-03,5,5,4,5
IE0302690,2025-04,4,4,4,3
IE0302690,2025-05,4,5,1,4
IE0302690,2025-06,4,1,5,3
IE0302690,2025-07,5,4,4,4
IE0302690,2025-08,5,5,4,2
IE0302690,2025-09,1,4,4,1
IE0302690,2025-10,1,4,3,5
IE0302690,2025-11,1,3,4,5
IE0302690,2025-12,4,3,5,3
IE0302690,2026-01,5,3,4,3
IE0302690,2026-02,3,2,4,4
IE9504302,2025-03,5,4,3,1
IE9504302,2025-04,3,5,5,5
IE9504302,2025-05,5,5,3,2
IE9504302,2025-06,3,4,3,5
IE9504302,2025-07,3,3,4,2
IE9504302,2025-08,5,2,3,3
IE9504302,2025-09,5,5,2,5
IE9504302,2025-10,5,1,5,5
IE9504302,2025-11,4,2,5,5
IE9504302,2025-12,4,3,4,5
IE9504302,2026-01,3,4,2,3
IE9504302,2026-02,4,5,3,4
IE1703416,2025-03,4,4,3,2
IE1703416,2025-04,4,4,5,3
IE1703416,2025-05,2,2,4,5
IE1703416,2025-06,2,4,3,4
IE1703416,2025-07,1,4,2,5
IE1703416,2025-08,5,3,4,3
IE1703416,2025-09,3,5,4,4
IE1703416,2025-10,3,5,3,5
IE1703416,2025-11,3,1,5,3
IE1703416,2025-12,5,3,5,5
IE1703416,2026-01,4,3,4,5
IE1703416,2026-02,5,5,3,5
IE0303648,2025-03,3,3,4,2
IE0303648,2025-04,5,5,2,5
IE0303648,2025-05,2,3,5,5
IE0303648,2025-06,4,3,5,4
IE0303648,2025-07,3,5,4,1
IE0303648,2025-08,5,3,3,3
IE0303648,2025-09,2,3,3,4
IE0303648,2025-10,2,4,5,4
IE0303648,2025-11,5,2,4,3
IE0303648,2025-12,3,5,5,5
IE0303648,2026-01,5,3,3,5
IE0303648,2026-02,5,4,4,4
IE2501554,2025-03,3,2,4,3
IE2501554,2025-04,3,4,5,4
IE2501554,2025-05,2,4,2,3
IE2501554,2025-06,5,5,2,4
IE2501554,2025-07,5,4,3,4
IE2501554,2025-08,3,4,5,3
IE2501554,2025-09,5,3,4,3
IE2501554,2025-10,4,3,5,1
IE2501554,2025-11,4,3,2,5
IE2501554,2025-12,4,5,3,4
IE2501554,2026-01,4,4,3,2
IE2501554,2026-02,3,5,5,4
IE9702858,2025-03,4,4,5,5
IE9702858,2025-04,3,5,5,5
IE9702858,2025-05,4,3,5,3
IE9702858,2025-06,4,5,4,2
IE9702858,2025-07,4,2,5,3
IE9702858,2025-08,5,5,4,5
IE9702858,2025-09,2,3,2,2
IE9702858,2025-10,5,2,3,3
IE9702858,2025-11,1,4,5,2
IE9702858,2025-12,5,4,3,1
IE9702858,2026-01,2,4,5,4
IE9702858,2026-02,4,4,4,5
IE1103131,2025-03,5,3,5,4
IE1103131,2025-04,2,2,5,4
IE1103131,2025-05,5,3,4,1
IE1103131,2025-06,4,4,4,4
IE1103131,2025-07,3,5,5,5
IE1103131,2025-08,3,5,5,4
IE1103131,2025-09,2,1,4,4
IE1103131,2025-10,1,4,2,4
IE1103131,2025-11,5,4,4,5
IE1103131,2025-12,2,5,2,5
IE1103131,2026-01,3,5,4,5
IE1103131,2026-02,1,4,5,4
IE1500299,2025-03,4,3,5,5
IE1500299,2025-04,3,4,4,5
IE1500299,2025-05,5,2,2,3
IE1500299,2025-06,5,4,5,1
IE1500299,2025-07,2,4,4,4
IE1500299,2025-08,4,2,3,4
IE1500299,2025-09,4,2,4,4
IE1500299,2025-10,4,5,5,2
IE1500299,2025-11,4,5,1,5
IE1500299,2025-12,4,2,4,4
IE1500299,2026-01,3,2,5,1
IE1500299,2026-02,5,4,4,5
IE9003721,2025-03,3,3,2,5
IE9003721,2025-04,2,3,3,1
IE9003721,2025-05,3,5,4,5
IE9003721,2025-06,4,5,5,3
IE9003721,2025-07,2,3,2,2
IE9003721,2025-08,4,3,4,4
IE9003721,2025-09,2,3,1,4
IE9003721,2025-10,5,5,3,5
IE9003721,2025-11,5,5,3,4
IE9003721,2025-12,4,5,4,4
IE9003721,2026-01,3,5,5,5
IE9003721,2026-02,1,5,4,4
IE1101794,2025-03,5,4,4,4
IE1101794,2025-04,3,4,4,5
IE1101794,2025-05,5,3,2,4
IE1101794,2025-06,2,2,2,4
IE1101794,2025-07,5,4,2,4
IE1101794,2025-08,3,4,3,3
IE1101794,2025-09,1,5,4,5
IE1101794,2025-10,3,3,5,4
IE1101794,2025-11,2,2,3,3
IE1101794,2025-12,5,3,3,4
IE1101794,2026-01,4,5,5,5
IE1101794,2026-02,1,4,3,5
IE1002404,2025-03,4,2,5,5
IE1002404,2025-04,1,5,5,5
IE1002404,2025-05,2,1,2,2
IE1002404,2025-06,4,4,5,4
IE1002404,2025-07,4,3,5,5
IE1002404,2025-08,2,4,5,3
IE1002404,2025-09,5,3,4,4
IE1002404,2025-10,4,5,4,3
IE1002404,2025-11,2,4,4,2
IE1002404,2025-12,5,4,3,3
IE1002404,2026-01,5,1,5,4
IE1002404,2026-02,4,4,5,2
IE2400208,2025-03,4,2,3,3
IE2400208,2025-04,4,4,1,4
IE2400208,2025-05,5,5,3,4
IE2400208,2025-06,5,5,1,4
IE2400208,2025-07,1,4,4,4
IE2400208,2025-08,3,5,5,5
IE2400208,2025-09,3,4,3,5
IE2400208,2025-10,3,4,3,4
IE2400208,2025-11,5,2,5,2
IE2400208,2025-12,4,1,5,5
IE2400208,2026-01,5,4,5,5
IE2400208,2026-02,3,5,5,4
IE9102612,2025-03,5,4,2,5
IE9102612,2025-04,5,1,4,4
IE9102612,2025-05,2,5,3,4
IE9102612,2025-06,3,5,4,4
IE9102612,2025-07,5,5,3,5
IE9102612,2025-08,2,4,4,3
IE9102612,2025-09,5,4,3,5
IE9102612,2025-10,3,4,3,5
IE9102612,2025-11,4,3,5,5
IE9102612,2025-12,5,3,5,5
IE9102612,2026-01,4,4,4,5
IE9102612,2026-02,2,4,5,5
IE2604341,2025-03,5,3,4,1
IE2604341,2025-04,3,4,5,5
IE2604341,2025-05,4,3,5,5
IE2604341,2025-06,3,4,4,3
IE2604341,2025-07,4,4,3,3
IE2604341,2025-08,1,5,4,5
IE2604341,2025-09,4,3,3,5
IE2604341,2025-10,3,2,4,3
IE2604341,2025-11,5,4,4,3
IE2604341,2025-12,5,5,4,5
IE2604341,2026-01,5,1,5,4
IE2604341,2026-02,3,3,5,4
IE2000600,2025-03,2,1,4,5
IE2000600,2025-04,5,4,4,2
IE2000600,2025-05,2,5,3,3
IE2000600,2025-06,5,3,5,3
IE2000600,2025-07,4,4,3,3
IE2000600,2025-08,4,4,4,4
IE2000600,2025-09,4,3,4,3
IE2000600,2025-10,4,5,5,3
IE2000600,2025-11,2,4,5,3
IE2000600,2025-12,4,4,5,4
IE2000600,2026-01,4,3,3,5
IE2000600,2026-02,2,5,2,3
IE0900928,2025-03,2,3,3,4
IE0900928,2025-04,5,3,4,3
IE0900928,2025-05,3,5,1,4
IE0900928,2025-06,3,2,3,4
IE0900928,2025-07,4,5,3,5
IE0900928,2025-08,1,4,4,5
IE0900928,2025-09,3,5,2,4
IE0900928,2025-10,2,4,5,3
IE0900928,2025-11,4,5,3,5
IE0900928,2025-12,4,5,5,4
IE0900928,2026-01,1,5,5,3
IE0900928,2026-02,4,3,3,3
IE9202088,2025-03,1,5,4,4
IE9202088,2025-04,4,4,4,4
IE9202088,2025-05,4,3,5,3
IE9202088,2025-06,3,1,4,2
IE9202088,2025-07,4,3,4,5
IE9202088,2025-08,5,3,4,5
IE9202088,2025-09,5,2,4,3
IE9202088,2025-10,5,2,5,3
IE9202088,2025-11,5,5,4,3
IE9202088,2025-12,1,3,4,5
IE9202088,2026-01,5,4,4,3
IE9202088,2026-02,3,5,5,5
IE1601718,2025-03,4,2,3,4
IE1601718,2025-04,2,5,4,5
IE1601718,2025-05,5,4,3,4
IE1601718,2025-06,4,4,4,5
IE1601718,2025-07,4,4,4,4
IE1601718,2025-08,4,5,3,4
IE1601718,2025-09,4,4,4,4
IE1601718,2025-10,5,4,4,4
IE1601718,2025-11,2,4,3,3
IE1601718,2025-12,5,4,3,4
IE1601718,2026-01,4,4,4,4
IE1601718,2026-02,4,5,2,5
IE0801269,2025-03,5,4,2,4
IE0801269,2025-04,4,5,4,4
IE0801269,2025-05,1,4,5,5
IE0801269,2025-06,1,2,5,4
IE0801269,2025-07,5,3,3,5
IE0801269,2025-08,3,5,2,1
IE0801269,2025-09,3,4,5,4
IE0801269,2025-10,3,1,2,4
IE0801269,2025-11,4,5,2,4
IE0801269,2025-12,5,4,4,4
IE0801269,2026-01,3,4,5,3
IE0801269,2026-02,2,2,4,3
IE2501459,2025-03,4,2,4,3
IE2501459,2025-04,5,4,4,4
IE2501459,2025-05,2,5,5,5
IE2501459,2025-06,3,5,1,4
IE2501459,2025-07,4,4,4,3
IE2501459,2025-08,5,5,2,5
IE2501459,2025-09,3,4,3,3
IE2501459,2025-10,5,4,4,5
IE2501459,2025-11,1,5,3,4
IE2501459,2025-12,5,4,2,5
IE2501459,2026-01,5,5,4,1
IE2501459,2026-02,4,5,4,2
IE0003985,2025-03,5,5,1,3
IE0003985,2025-04,4,1,2,4
IE0003985,2025-05,3,5,1,4
IE0003985,2025-06,4,5,4,2
IE0003985,2025-07,5,5,5,5
IE0003985,2025-08,4,3,5,1
IE0003985,2025-09,4,2,3,5
IE0003985,2025-10,3,5,5,3
IE0003985,2025-11,4,4,4,3
IE0003985,2025-12,5,5,5,3
IE0003985,2026-01,4,2,5,2
IE0003985,2026-02,3,2,3,4
IE1602285,2025-03,5,4,5,2
IE1602285,2025-04,3,5,4,3
IE1602285,2025-05,5,4,4,5
IE1602285,2025-06,5,1,4,4
IE1602285,2025-07,5,2,2,1
IE1602285,2025-08,4,5,4,5
IE1602285,2025-09,3,5,3,2
IE1602285,2025-10,4,4,5,5
IE1602285,2025-11,2,5,4,3
IE1602285,2025-12,4,5,4,2
IE1602285,2026-01,3,1,3,5
IE1602285,2026-02,4,4,5,4
IE2604724,2025-03,3,3,3,5
IE2604724,2025-04,2,1,2,5
IE2604724,2025-05,4,2,4,5
IE2604724,2025-06,3,5,1,2
IE2604724,2025-07,2,5,5,5
IE2604724,2025-08,5,4,5,1
IE2604724,2025-09,3,3,4,3
IE2604724,2025-10,5,5,5,4
IE2604724,2025-11,5,5,4,5
IE2604724,2025-12,2,5,5,3
IE2604724,2026-01,2,3,4,4
IE2604724,2026-02,5,5,4,4
IE1400046,2025-03,3,5,3,3
IE1400046,2025-04,4,4,4,5
IE1400046,2025-05,5,4,2,3
IE1400046,2025-06,4,4,4,4
IE1400046,2025-07,5,5,5,5
IE1400046,2025-08,4,5,4,2
IE1400046,2025-09,2,4,2,5
IE1400046,2025-10,5,2,5,5
IE1400046,2025-11,5,3,4,4
IE1400046,2025-12,4,2,3,3
IE1400046,2026-01,5,4,4,3
IE1400046,2026-02,4,2,3,2
IE2504921,2025-03,5,4,4,5
IE2504921,2025-04,4,3,1,4
IE2504921,2025-05,2,3,4,5
IE2504921,2025-06,5,3,3,3
IE2504921,2025-07,3,4,3,5
IE2504921,2025-08,4,2,5,5
IE2504921,2025-09,4,4,5,5
IE2504921,2025-10,5,4,4,4
IE2504921,2025-11,1,5,4,4
IE2504921,2025-12,5,3,3,2
IE2504921,2026-01,4,2,5,4
IE2504921,2026-02,3,4,3,4
IE1001472,2025-03,4,4,4,3
IE1001472,2025-04,4,1,4,5
IE1001472,2025-05,5,3,2,4
IE1001472,2025-06,5,5,3,5
IE1001472,2025-07,4,4,4,2
IE1001472,2025-08,5,4,5,4
IE1001472,2025-09,5,3,5,3
IE1001472,2025-10,4,5,5,4
IE1001472,2025-11,5,5,4,4
IE1001472,2025-12,4,5,2,4
IE1001472,2026-01,5,1,3,4
IE1001472,2026-02,5,3,3,4
IE2402457,2025-03,4,5,4,4
IE2402457,2025-04,5,4,4,3
IE2402457,2025-05,4,5,4,2
IE2402457,2025-06,5,4,3,4
IE2402457,2025-07,4,5,5,3
IE2402457,2025-08,3,4,4,4
IE2402457,2025-09,2,2,4,4
IE2402457,2025-10,5,4,5,5
IE2402457,2025-11,4,4,4,4
