numero_empleado,mes,horas_trabajadas,ausencias_justificadas,ausencias_no_justificadas,rating_desempeno
IE0101513,2025-04,146,0,0,Exceeds
IE0101513,2025-05,148,0,0,Exceeds
IE0101513,2025-06,160,1,0,Meets
IE0101513,2025-07,180,1,0,Exceeds
IE0101513,2025-08,162,0,0,Exceeds
IE0101513,2025-09,170,2,0,Meets
IE0101513,2025-10,189,0,0,Meets
IE0101513,2025-11,163,1,1,Meets
IE0101513,2025-12,144,0,0,Needs Improvement
IE0101513,2026-01,134,1,0,Meets
IE0101513,2026-02,173,1,0,Meets
IE2401514,2025-03,159,0,0,Exceeds
IE2401514,2025-04,177,0,0,Exceeds
IE2401514,2025-05,161,2,1,Meets
IE2401514,2025-06,186,0,0,Meets
IE2401514,2025-07,162,1,0,Meets
IE2401514,2025-08,191,1,0,Needs Improvement
IE2401514,2025-09,143,1,0,Exceeds
IE2401514,2025-10,185,0,0,Meets
IE2401514,2025-11,177,2,0,Meets
IE2401514,2025-12,157,1,0,Meets
IE2401514,2026-01,175,1,0,Meets
IE2401514,2026-02,150,0,0,Exceeds
IE2301515,2025-03,165,2,0,Meets
IE2301515,2025-04,174,0,0,Exceeds
IE2301515,2025-05,172,0,1,Needs Improvement
IE2301515,2025-06,159,1,1,Meets
IE2301515,2025-07,180,1,0,Exceeds
IE2301515,2025-08,176,1,0,Exceeds
IE2301515,2025-09,174,0,0,Meets
IE2301515,2025-10,170,0,0,Meets
IE2301515,2025-11,173,0,0,Exceeds
IE2301515,2025-12,161,3,0,Needs Improvement
IE2301515,2026-01,163,0,0,Meets
IE2301515,2026-02,178,2,0,Meets
IE1701516,2025-03,163,0,2,Needs Improvement
IE1701516,2025-04,166,0,0,Meets
IE1701516,2025-05,178,1,0,Exceeds
IE1701516,2025-06,176,1,1,Needs Improvement
IE1701516,2025-07,160,0,0,Exceeds
IE1701516,2025-08,172,1,0,Meets
IE1701516,2025-09,151,0,0,Meets
IE1701516,2025-10,159,2,0,Meets
IE1701516,2025-11,152,0,0,Meets
IE1701516,2025-12,160,2,0,Meets
IE1701516,2026-01,169,0,0,Exceeds
IE1701516,2026-02,159,3,0,Needs Improvement
IE1001517,2025-03,166,1,0,Meets
IE1001517,2025-04,170,0,0,Meets
IE1001517,2025-05,163,0,1,Exceeds
IE1001517,2025-06,162,0,1,Exceeds
IE1001517,2025-07,162,1,0,Meets
IE1001517,2025-08,173,0,0,Meets
IE1001517,2025-09,168,1,0,Meets
IE1001517,2025-10,169,0,0,Exceeds
IE1001517,2025-11,143,0,0,Exceeds
IE1001517,2025-12,173,0,1,Meets
IE1001517,2026-01,157,0,0,Meets
IE1001517,2026-02,166,0,0,Meets
IE2001518,2025-03,179,4,1,Needs Improvement
IE2001518,2025-04,161,1,2,Needs Improvement
IE2001518,2025-05,156,4,1,Needs Improvement
IE2001518,2025-06,163,4,0,Needs Improvement
IE2001518,2025-07,167,0,0,Meets
IE2001518,2025-08,162,1,1,Exceeds
IE2001518,2025-09,176,0,0,Meets
IE2001518,2025-10,180,0,0,Exceeds
IE2001518,2025-11,159,0,1,Meets
IE2001518,2025-12,158,1,0,Meets
IE2001518,2026-01,163,0,0,Exceeds
IE2001518,2026-02,170,0,0,Exceeds
IE0901519,2025-03,180,1,0,Meets
IE0901519,2025-04,168,1,0,Meets
IE0901519,2025-05,171,0,1,Meets
IE0901519,2025-06,163,0,1,Meets
IE0901519,2025-07,160,4,0,Needs Improvement
IE0901519,2025-08,156,0,0,Exceeds
IE0901519,2025-09,188,0,1,Exceeds
IE0901519,2025-10,180,2,0,Needs Improvement
IE0901519,2025-11,158,1,0,Exceeds
IE0901519,2025-12,161,2,1,Needs Improvement
IE0901519,2026-01,176,0,0,Meets
IE0901519,2026-02,167,0,1,Meets
IE2201520,2025-03,189,3,1,Needs Improvement
IE2201520,2025-04,151,2,0,Meets
IE2201520,2025-05,165,3,0,Meets
IE2201520,2025-06,177,0,0,Meets
IE2201520,2025-07,162,0,0,Exceeds
IE2201520,2025-08,144,1,0,Exceeds
IE2201520,2025-09,175,1,1,Meets
IE2201520,2025-10,158,0,0,Exceeds
IE2201520,2025-11,165,2,2,Meets
IE2201520,2025-12,157,1,1,Meets
IE2201520,2026-01,185,1,2,Needs Improvement
IE2201520,2026-02,179,1,0,Meets
IE2301521,2025-03,183,1,0,Meets
IE2301521,2025-04,163,1,0,Exceeds
IE2301521,2025-05,164,2,1,Needs Improvement
IE2301521,2025-06,149,0,1,Exceeds
IE2301521,2025-07,166,0,0,Meets
IE2301521,2025-08,173,1,0,Meets
IE2301521,2025-09,164,0,0,Meets
IE2301521,2025-10,156,1,0,Meets
IE2301521,2025-11,186,0,1,Exceeds
IE2301521,2025-12,171,0,0,Meets
IE2301521,2026-01,173,1,0,Needs Improvement
IE2301521,2026-02,151,0,0,Exceeds
IE0101522,2025-03,173,1,0,Exceeds
IE0101522,2025-04,167,1,1,Needs Improvement
IE0101522,2025-05,167,0,0,Meets
IE0101522,2025-06,182,0,0,Exceeds
IE0101522,2025-07,190,1,0,Meets
IE0101522,2025-08,172,0,0,Exceeds
IE0101522,2025-09,163,1,0,Exceeds
IE0101522,2025-10,188,0,1,Needs Improvement
IE0101522,2025-11,153,0,0,Exceeds
IE0101522,2025-12,180,0,0,Exceeds
IE0101522,2026-01,163,0,0,Exceeds
IE0101522,2026-02,173,1,0,Meets
IE1601523,2025-03,166,1,0,Exceeds
IE1601523,2025-04,146,0,0,Exceeds
IE1601523,2025-05,163,0,0,Meets
IE1601523,2025-06,158,1,1,Needs Improvement
IE1601523,2025-07,153,0,0,Exceeds
IE1601523,2025-08,183,0,0,Exceeds
IE1601523,2025-09,187,2,0,Needs Improvement
IE1601523,2025-10,165,1,0,Meets
IE1601523,2025-11,176,0,1,Needs Improvement
IE1601523,2025-12,148,0,0,Meets
IE1601523,2026-01,164,0,0,Meets
IE1601523,2026-02,166,0,0,Exceeds
IE9801524,2025-03,183,0,0,Exceeds
IE9801524,2025-04,164,1,0,Meets
IE9801524,2025-05,161,0,0,Exceeds
IE9801524,2025-06,167,1,0,Meets
IE9801524,2025-07,170,0,1,Meets
IE9801524,2025-08,163,3,1,Needs Improvement
IE9801524,2025-09,170,2,1,Needs Improvement
IE9801524,2025-10,186,2,0,Exceeds
IE9801524,2025-11,180,2,0,Meets
IE9801524,2025-12,153,2,0,Needs Improvement
IE9801524,2026-01,171,1,0,Meets
IE9801524,2026-02,171,0,0,Meets
IE1201525,2025-03,155,0,0,Exceeds
IE1201525,2025-04,172,0,1,Meets
IE1201525,2025-05,165,2,0,Meets
IE1201525,2025-06,161,4,2,Needs Improvement
IE1201525,2025-07,147,1,0,Exceeds
IE1201525,2025-08,169,0,0,Exceeds
IE1201525,2025-09,166,1,0,Exceeds
IE1201525,2025-10,178,0,0,Exceeds
IE1201525,2025-11,169,2,0,Meets
IE1201525,2025-12,172,0,0,Exceeds
IE1201525,2026-01,188,1,1,Meets
IE1201525,2026-02,169,0,2,Needs Improvement
IE9901526,2025-03,149,1,1,Meets
IE9901526,2025-04,162,0,0,Meets
IE9901526,2025-05,180,0,1,Meets
IE9901526,2025-06,174,0,0,Exceeds
IE9901526,2025-07,170,0,1,Exceeds
IE9901526,2025-08,168,1,0,Exceeds
IE9901526,2025-09,168,1,1,Needs Improvement
IE9901526,2025-10,168,0,1,Needs Improvement
IE9901526,2025-11,160,0,0,Exceeds
IE9901526,2025-12,172,1,0,Exceeds
IE9901526,2026-01,165,3,0,Meets
IE9901526,2026-02,161,0,0,Exceeds
IE2601527,2025-03,170,2,0,Needs Improvement
IE2601527,2025-04,162,1,0,Meets
IE2601527,2025-05,180,0,0,Meets
IE2601527,2025-06,153,1,1,Meets
IE2601527,2025-07,152,0,0,Exceeds
IE2601527,2025-08,172,0,0,Meets
IE2601527,2025-09,179,0,0,Meets
IE2601527,2025-10,170,1,0,Meets
IE2601527,2025-11,192,0,0,Outstanding
IE2601527,2025-12,168,1,2,Meets
IE2601527,2026-01,190,2,0,Meets
IE2601527,2026-02,160,0,1,Meets
IE9301528,2025-03,172,1,1,Meets
IE9301528,2025-04,167,0,0,Exceeds
IE9301528,2025-05,152,2,0,Meets
IE9301528,2025-06,167,3,0,Meets
IE9301528,2025-07,179,1,0,Meets
IE9301528,2025-08,150,2,0,Meets
IE9301528,2025-09,174,2,0,Exceeds
IE9301528,2025-10,167,1,0,Meets
IE9301528,2025-11,162,0,0,Meets
IE9301528,2025-12,193,0,0,Exceeds
IE9301528,2026-01,163,1,1,Meets
IE9301528,2026-02,184,0,0,Meets
IE1601529,2025-03,164,1,0,Exceeds
IE1601529,2025-04,171,3,0,Needs Improvement
IE1601529,2025-05,166,1,0,Needs Improvement
IE1601529,2025-06,177,1,1,Exceeds
IE1601529,2025-07,159,1,0,Meets
IE1601529,2025-08,167,0,2,Meets
IE1601529,2025-09,183,2,2,Needs Improvement
IE1601529,2025-10,171,0,1,Needs Improvement
IE1601529,2025-11,176,1,0,Meets
IE1601529,2025-12,143,1,1,Meets
IE1601529,2026-01,167,2,0,Meets
IE1601529,2026-02,154,0,0,Meets
IE2001530,2025-03,184,0,1,Exceeds
IE2001530,2025-04,160,1,0,Exceeds
IE2001530,2025-05,170,2,0,Needs Improvement
IE2001530,2025-06,216,0,2,Meets
IE2001530,2025-07,174,0,0,Exceeds
IE2001530,2025-08,181,0,0,Exceeds
IE2001530,2025-09,156,0,1,Meets
IE2001530,2025-10,166,1,0,Meets
IE2001530,2025-11,176,1,0,Exceeds
IE2001530,2025-12,182,0,0,Meets
IE2001530,2026-01,166,1,0,Meets
IE2001530,2026-02,167,0,1,Meets
IE9601531,2025-03,152,1,0,Meets
IE9601531,2025-04,171,0,0,Exceeds
IE9601531,2025-05,171,0,0,Meets
IE9601531,2025-06,156,1,0,Meets
IE9601531,2025-07,168,0,1,Meets
IE9601531,2025-08,168,1,2,Needs Improvement
IE9601531,2025-09,158,2,0,Needs Improvement
IE9601531,2025-10,203,2,0,Meets
IE9601531,2025-11,175,0,1,Meets
IE9601531,2025-12,176,0,0,Exceeds
IE9601531,2026-01,160,3,1,Needs Improvement
IE9601531,2026-02,160,2,0,Needs Improvement
IE9101532,2025-03,150,0,0,Exceeds
IE9101532,2025-04,174,0,1,Exceeds
IE9101532,2025-05,175,2,0,Meets
IE9101532,2025-06,185,1,0,Needs Improvement
IE9101532,2025-07,167,1,2,Needs Improvement
IE9101532,2025-08,177,3,0,Meets
IE9101532,2025-09,172,0,0,Outstanding
IE9101532,2025-10,198,1,0,Exceeds
IE9101532,2025-11,169,0,1,Meets
IE9101532,2025-12,181,1,0,Meets
IE9101532,2026-01,164,0,1,Meets
IE9101532,2026-02,187,0,0,Meets
IE9701533,2025-03,176,0,0,Exceeds
IE9701533,2025-04,169,0,1,Exceeds
IE9701533,2025-05,167,0,0,Meets
IE9701533,2025-06,157,0,1,Meets
IE9701533,2025-07,176,1,2,Needs Improvement
IE9701533,2025-08,162,1,1,Needs Improvement
IE9701533,2025-09,168,1,0,Meets
IE9701533,2025-10,168,1,0,Meets
IE9701533,2025-11,165,1,0,Meets
IE9701533,2025-12,175,1,0,Meets
IE9701533,2026-01,159,1,0,Meets
IE9701533,2026-02,193,1,1,Needs Improvement
IE0901534,2025-03,171,1,2,Needs Improvement
IE0901534,2025-04,170,1,0,Meets
IE0901534,2025-05,178,0,0,Meets
IE0901534,2025-06,172,0,1,Meets
IE0901534,2025-07,183,2,0,Meets
IE0901534,2025-08,158,0,0,Meets
IE0901534,2025-09,184,0,1,Exceeds
IE0901534,2025-10,191,0,0,Meets
IE0901534,2025-11,155,1,1,Meets
IE0901534,2025-12,166,3,1,Needs Improvement
IE0901534,2026-01,165,1,0,Meets
IE0901534,2026-02,152,0,0,Meets
IE2201535,2025-03,163,0,0,Meets
IE2201535,2025-04,144,0,1,Meets
IE2201535,2025-05,145,1,1,Meets
IE2201535,2025-06,166,1,1,Meets
IE2201535,2025-07,180,3,0,Needs Improvement
IE2201535,2025-08,170,0,1,Exceeds
IE2201535,2025-09,161,1,0,Meets
IE2201535,2025-10,149,0,2,Meets
IE2201535,2025-11,168,2,0,Exceeds
IE2201535,2025-12,167,0,0,Meets
IE2201535,2026-01,166,0,0,Exceeds
IE2201535,2026-02,168,0,0,Exceeds
IE1601536,2025-03,177,1,0,Meets
IE1601536,2025-04,147,0,0,Meets
IE1601536,2025-05,170,0,0,Exceeds
IE1601536,2025-06,182,0,0,Meets
IE1601536,2025-07,177,0,0,Meets
IE1601536,2025-08,178,1,0,Meets
IE1601536,2025-09,144,2,0,Meets
IE1601536,2025-10,164,0,1,Exceeds
IE1601536,2025-11,182,1,1,Needs Improvement
IE1601536,2025-12,179,1,0,Meets
IE1601536,2026-01,160,1,0,Needs Improvement
IE1601536,2026-02,176,0,0,Meets
IE1801537,2025-03,165,0,0,Meets
IE1801537,2025-04,175,0,0,Outstanding
IE1801537,2025-05,197,0,0,Exceeds
IE1801537,2025-06,169,2,0,Meets
IE1801537,2025-07,165,0,0,Exceeds
IE1801537,2025-08,165,1,0,Meets
IE1801537,2025-09,159,2,0,Meets
IE1801537,2025-10,166,0,0,Meets
IE1801537,2025-11,158,1,0,Meets
IE1801537,2025-12,159,0,0,Meets
IE1801537,2026-01,178,3,0,Needs Improvement
IE1801537,2026-02,172,2,0,Needs Improvement
IE0001538,2025-03,139,0,0,Meets
IE0001538,2025-04,139,1,0,Exceeds
IE0001538,2025-05,174,1,0,Exceeds
IE0001538,2025-06,166,1,2,Needs Improvement
IE0001538,2025-07,179,1,0,Exceeds
IE0001538,2025-08,144,0,0,Meets
IE0001538,2025-09,188,0,0,Exceeds
IE0001538,2025-10,170,1,1,Meets
IE0001538,2025-11,165,1,2,Needs Improvement
IE0001538,2025-12,147,0,2,Meets
IE0001538,2026-01,181,1,0,Needs Improvement
IE0001538,2026-02,171,2,0,Meets
IE0301539,2025-03,178,0,0,Exceeds
IE0301539,2025-04,147,1,2,Meets
IE0301539,2025-05,180,2,0,Meets
IE0301539,2025-06,182,0,0,Exceeds
IE0301539,2025-07,180,0,1,Exceeds
IE0301539,2025-08,168,1,0,Meets
IE0301539,2025-09,177,0,0,Meets
IE0301539,2025-10,180,0,0,Outstanding
IE0301539,2025-11,155,0,2,Meets
IE0301539,2025-12,192,0,0,Exceeds
IE0301539,2026-01,181,0,0,Meets
IE0301539,2026-02,170,0,1,Needs Improvement
IE9801540,2025-03,164,3,1,Meets
IE9801540,2025-04,173,2,0,Exceeds
IE9801540,2025-05,156,1,0,Exceeds
IE9801540,2025-06,187,1,1,Needs Improvement
IE9801540,2025-07,180,1,1,Exceeds
IE9801540,2025-08,166,0,1,Meets
IE9801540,2025-09,162,0,0,Exceeds
IE9801540,2025-10,167,2,0,Meets
IE9801540,2025-11,184,1,1,Exceeds
IE9801540,2025-12,152,1,0,Exceeds
IE9801540,2026-01,171,1,0,Exceeds
IE9801540,2026-02,163,1,0,Needs Improvement
IE2501541,2025-03,172,3,2,Needs Improvement
IE2501541,2025-04,169,2,1,Meets
IE2501541,2025-05,187,0,0,Meets
IE2501541,2025-06,168,0,0,Exceeds
IE2501541,2025-07,171,0,0,Meets
IE2501541,2025-08,160,1,0,Exceeds
IE2501541,2025-09,159,0,1,Meets
IE2501541,2025-10,180,1,0,Meets
IE2501541,2025-11,166,2,2,Needs Improvement
IE2501541,2025-12,139,1,0,Exceeds
IE2501541,2026-01,180,0,1,Meets
IE2501541,2026-02,160,1,0,Meets
IE0101542,2025-03,169,0,0,Exceeds
IE0101542,2025-04,175,1,0,Meets
IE0101542,2025-05,170,0,0,Exceeds
IE0101542,2025-06,172,2,0,Meets
IE0101542,2025-07,179,0,0,Exceeds
IE0101542,2025-08,161,1,0,Exceeds
IE0101542,2025-09,165,2,0,Needs Improvement
IE0101542,2025-10,181,0,0,Exceeds
IE0101542,2025-11,167,1,1,Needs Improvement
IE0101542,2025-12,169,2,1,Needs Improvement
IE0101542,2026-01,155,0,0,Meets
IE0101542,2026-02,161,0,0,Outstanding
IE0701543,2025-03,194,0,1,Meets
IE0701543,2025-04,168,1,0,Exceeds
IE0701543,2025-05,142,1,0,Meets
IE0701543,2025-06,183,1,0,Exceeds
IE0701543,2025-07,164,0,0,Meets
IE0701543,2025-08,187,1,0,Meets
IE0701543,2025-09,141,0,0,Meets
IE0701543,2025-10,175,0,0,Meets
IE0701543,2025-11,155,1,0,Meets
IE0701543,2025-12,169,0,0,Meets
IE0701543,2026-01,177,1,0,Exceeds
IE0701543,2026-02,163,0,0,Meets
IE1801544,2025-03,163,0,1,Exceeds
IE1801544,2025-04,168,1,2,Meets
IE1801544,2025-05,176,0,0,Meets
IE1801544,2025-06,171,2,0,Meets
IE1801544,2025-07,146,0,0,Exceeds
IE1801544,2025-08,170,0,0,Exceeds
IE1801544,2025-09,157,0,0,Meets
IE1801544,2025-10,153,0,1,Meets
IE1801544,2025-11,152,1,0,Exceeds
IE1801544,2025-12,159,0,0,Exceeds
IE1801544,2026-01,155,1,0,Meets
IE1801544,2026-02,172,1,0,Exceeds
IE9501545,2025-03,159,1,0,Meets
IE9501545,2025-04,159,1,0,Exceeds
IE9501545,2025-05,178,1,1,Meets
IE9501545,2025-06,178,0,1,Meets
IE9501545,2025-07,180,0,0,Meets
IE9501545,2025-08,172,0,2,Meets
IE9501545,2025-09,153,1,0,Meets
IE9501545,2025-10,186,0,0,Exceeds
IE9501545,2025-11,139,1,0,Exceeds
IE9501545,2025-12,186,0,1,Meets
IE9501545,2026-01,158,1,0,Meets
IE9501545,2026-02,175,0,0,Meets
IE9801546,2025-03,145,1,1,Needs Improvement
IE9801546,2025-04,185,0,0,Meets
IE9801546,2025-05,159,1,1,Exceeds
IE9801546,2025-06,146,2,0,Meets
IE9801546,2025-07,171,0,0,Meets
IE9801546,2025-08,156,1,0,Exceeds
IE9801546,2025-09,165,0,1,Meets
IE9801546,2025-10,162,1,0,Exceeds
IE9801546,2025-11,168,2,0,Needs Improvement
IE9801546,2025-12,156,0,0,Meets
IE9801546,2026-01,171,0,0,Meets
IE9801546,2026-02,172,0,0,Meets
IE2401547,2025-03,171,4,1,Needs Improvement
IE2401547,2025-04,163,1,0,Meets
IE2401547,2025-05,150,0,0,Meets
IE2401547,2025-06,165,1,1,Meets
IE2401547,2025-07,164,0,1,Meets
IE2401547,2025-08,158,1,0,Needs Improvement
IE2401547,2025-09,197,1,1,Meets
IE2401547,2025-10,167,0,0,Exceeds
IE2401547,2025-11,175,0,0,Exceeds
IE2401547,2025-12,161,0,0,Exceeds
IE2401547,2026-01,195,0,2,Meets
IE2401547,2026-02,201,0,0,Exceeds
IE9301548,2025-03,169,2,1,Needs Improvement
IE9301548,2025-04,169,0,0,Meets
IE9301548,2025-05,155,0,0,Exceeds
IE9301548,2025-06,185,0,1,Meets
IE9301548,2025-07,166,1,0,Meets
IE9301548,2025-08,147,0,0,Exceeds
IE9301548,2025-09,171,2,0,Needs Improvement
IE9301548,2025-10,165,0,0,Meets
IE9301548,2025-11,181,0,0,Meets
IE9301548,2025-12,162,1,0,Meets
IE9301548,2026-01,160,1,0,Exceeds
IE9301548,2026-02,168,1,1,Meets
IE1201549,2025-03,185,1,0,Meets
IE1201549,2025-04,164,0,0,Exceeds
IE1201549,2025-05,176,3,1,Meets
IE1201549,2025-06,178,1,0,Meets
IE1201549,2025-07,164,0,0,Needs Improvement
IE1201549,2025-08,186,0,0,Meets
IE1201549,2025-09,182,1,0,Meets
IE1201549,2025-10,172,0,1,Meets
IE1201549,2025-11,178,0,0,Meets
IE1201549,2025-12,173,0,1,Exceeds
IE1201549,2026-01,176,0,1,Meets
IE1201549,2026-02,178,0,0,Meets
IE1901550,2025-03,145,1,1,Needs Improvement
IE1901550,2025-04,180,1,0,Needs Improvement
IE1901550,2025-05,183,3,0,Meets
IE1901550,2025-06,141,0,0,Meets
IE1901550,2025-07,153,1,0,Meets
IE1901550,2025-08,174,1,0,Meets
IE1901550,2025-09,179,1,0,Exceeds
IE1901550,2025-10,176,0,2,Meets
IE1901550,2025-11,163,1,0,Meets
IE1901550,2025-12,161,0,0,Exceeds
IE1901550,2026-01,179,0,0,Exceeds
IE1901550,2026-02,184,0,1,Meets
IE2401551,2025-03,149,0,0,Exceeds
IE2401551,2025-04,155,2,0,Meets
IE2401551,2025-05,183,1,0,Meets
IE2401551,2025-06,153,0,0,Exceeds
IE2401551,2025-07,168,0,0,Outstanding
IE2401551,2025-08,168,1,0,Needs Improvement
IE2401551,2025-09,155,0,0,Exceeds
IE2401551,2025-10,160,0,3,Needs Improvement
IE2401551,2025-11,171,0,1,Exceeds
IE2401551,2025-12,154,3,0,Needs Improvement
IE2401551,2026-01,171,1,0,Needs Improvement
IE2401551,2026-02,164,0,0,Exceeds
IE0701552,2025-03,179,2,0,Meets
IE0701552,2025-04,180,0,0,Exceeds
IE0701552,2025-05,174,1,0,Exceeds
IE0701552,2025-06,176,0,0,Meets
IE0701552,2025-07,161,1,0,Meets
IE0701552,2025-08,172,1,1,Meets
IE0701552,2025-09,161,2,0,Meets
IE0701552,2025-10,158,0,0,Exceeds
IE0701552,2025-11,178,1,0,Needs Improvement
IE0701552,2025-12,171,0,0,Meets
IE0701552,2026-01,175,1,0,Needs Improvement
IE0701552,2026-02,175,3,0,Meets
IE0601553,2025-03,173,0,0,Meets
IE0601553,2025-04,160,2,0,Meets
IE0601553,2025-05,186,2,0,Needs Improvement
IE0601553,2025-06,166,0,0,Meets
IE0601553,2025-07,191,0,0,Meets
IE0601553,2025-08,171,2,0,Meets
IE0601553,2025-09,136,0,0,Meets
IE0601553,2025-10,168,2,0,Meets
IE0601553,2025-11,179,1,0,Meets
IE0601553,2025-12,173,1,0,Meets
IE0601553,2026-01,168,1,1,Needs Improvement
IE0601553,2026-02,151,2,3,Needs Improvement
IE2501554,2025-03,173,1,0,Meets
IE2501554,2025-04,178,1,2,Needs Improvement
IE2501554,2025-05,173,0,1,Meets
IE2501554,2025-06,150,1,0,Meets
IE2501554,2025-07,181,0,0,Exceeds
IE2501554,2025-08,167,0,0,Exceeds
IE2501554,2025-09,158,0,0,Meets
IE2501554,2025-10,164,4,0,Needs Improvement
IE2501554,2025-11,184,0,0,Exceeds
IE2501554,2025-12,176,1,0,Meets
IE2501554,2026-01,152,0,0,Meets
IE2501554,2026-02,151,0,0,Exceeds
IE2401555,2025-03,167,2,1,Needs Improvement
IE2401555,2025-04,179,0,0,Meets
IE2401555,2025-05,179,1,1,Needs Improvement
IE2401555,2025-06,171,0,0,Meets
IE2401555,2025-07,166,0,0,Meets
IE2401555,2025-08,167,0,0,Exceeds
IE2401555,2025-09,174,2,1,Meets
IE2401555,2025-10,190,0,0,Meets
IE2401555,2025-11,165,0,0,Exceeds
IE2401555,2025-12,193,0,0,Exceeds
IE2401555,2026-01,152,2,1,Needs Improvement
IE2401555,2026-02,165,0,0,Exceeds
IE0501556,2025-03,149,0,0,Exceeds
IE0501556,2025-04,169,0,1,Exceeds
IE0501556,2025-05,153,0,0,Meets
IE0501556,2025-06,193,2,0,Exceeds
IE0501556,2025-07,175,2,0,Meets
IE0501556,2025-08,165,1,0,Meets
IE0501556,2025-09,162,1,1,Meets
IE0501556,2025-10,179,2,0,Meets
IE0501556,2025-11,157,1,0,Meets
IE0501556,2025-12,162,2,2,Needs Improvement
IE0501556,2026-01,169,1,0,Exceeds
IE0501556,2026-02,181,0,0,Exceeds
IE0501557,2025-03,170,1,0,Exceeds
IE0501557,2025-04,150,2,1,Meets
IE0501557,2025-05,181,0,0,Meets
IE0501557,2025-06,160,0,0,Meets
IE0501557,2025-07,172,2,0,Meets
IE0501557,2025-08,165,0,0,Meets
IE0501557,2025-09,195,1,0,Meets
IE0501557,2025-10,180,1,0,Meets
IE0501557,2025-11,181,0,0,Exceeds
IE0501557,2025-12,159,1,0,Meets
IE0501557,2026-01,189,1,0,Needs Improvement
IE0501557,2026-02,169,0,1,Needs Improvement
IE0101558,2025-03,166,1,0,Needs Improvement
IE0101558,2025-04,176,0,0,Outstanding
IE0101558,2025-05,182,0,1,Meets
IE0101558,2025-06,184,0,0,Exceeds
IE0101558,2025-07,173,1,2,Meets
IE0101558,2025-08,171,0,1,Meets
IE0101558,2025-09,184,1,0,Exceeds
IE0101558,2025-10,168,0,0,Outstanding
IE0101558,2025-11,155,1,0,Meets
IE0101558,2025-12,146,0,0,Exceeds
IE0101558,2026-01,162,1,0,Needs Improvement
IE0101558,2026-02,165,1,0,Needs Improvement
IE1401559,2025-03,153,1,0,Needs Improvement
IE1401559,2025-04,172,0,0,Exceeds
IE1401559,2025-05,170,0,0,Exceeds
IE1401559,2025-06,154,1,1,Meets
IE1401559,2025-07,143,2,0,Needs Improvement
IE1401559,2025-08,155,0,1,Meets
IE1401559,2025-09,168,0,0,Meets
IE1401559,2025-10,170,0,0,Exceeds
IE1401559,2025-11,164,0,1,Meets
IE1401559,2025-12,173,1,0,Meets
IE1401559,2026-01,174,0,0,Meets
IE1401559,2026-02,185,1,1,Meets
IE9701560,2025-03,166,0,0,Meets
IE9701560,2025-04,138,0,1,Meets
IE9701560,2025-05,176,1,0,Meets
IE9701560,2025-06,173,1,1,Needs Improvement
IE9701560,2025-07,167,1,1,Meets
IE9701560,2025-08,188,1,0,Meets
IE9701560,2025-09,182,1,0,Meets
IE9701560,2025-10,167,0,0,Exceeds
IE9701560,2025-11,150,1,0,Meets
IE9701560,2025-12,177,0,1,Exceeds
IE9701560,2026-01,180,0,0,Exceeds
IE9701560,2026-02,156,1,0,Needs Improvement
IE0701561,2025-03,172,0,0,Meets
IE0701561,2025-04,183,0,1,Meets
IE0701561,2025-05,185,0,0,Exceeds
IE0701561,2025-06,161,0,0,Exceeds
IE0701561,2025-07,174,1,0,Exceeds
IE0701561,2025-08,165,0,0,Meets
IE0701561,2025-09,158,1,0,Meets
IE0701561,2025-10,177,1,0,Meets
IE0701561,2025-11,156,0,0,Exceeds
IE0701561,2025-12,180,2,0,Needs Improvement
IE0701561,2026-01,162,0,0,Meets
IE0701561,2026-02,165,0,0,Meets
IE0101562,2025-03,166,2,1,Meets
IE0101562,2025-04,157,1,0,Meets
IE0101562,2025-05,168,1,0,Meets
IE0101562,2025-06,159,2,0,Meets
IE0101562,2025-07,177,1,0,Meets
IE0101562,2025-08,169,0,0,Meets
IE0101562,2025-09,154,0,1,Meets
IE0101562,2025-10,172,1,0,Needs Improvement
IE0101562,2025-11,161,1,0,Exceeds
IE0101562,2025-12,166,2,0,Meets
IE0101562,2026-01,169,1,1,Exceeds
IE0101562,2026-02,179,3,1,Meets
IE9301563,2025-03,152,1,0,Meets
IE9301563,2025-04,149,2,0,Meets
IE9301563,2025-05,154,1,0,Meets
IE9301563,2025-06,169,0,1,Meets
IE9301563,2025-07,172,1,0,Meets
IE9301563,2025-08,166,1,0,Meets
IE9301563,2025-09,142,0,0,Meets
IE9301563,2025-10,155,3,0,Meets
IE9301563,2025-11,175,0,0,Meets
IE9301563,2025-12,188,1,1,Meets
IE9301563,2026-01,193,1,0,Meets
IE9301563,2026-02,174,3,0,Meets
IE9901564,2025-03,172,0,0,Meets
IE9901564,2025-04,169,0,0,Exceeds
IE9901564,2025-05,176,0,2,Meets
IE9901564,2025-06,161,1,2,Exceeds
IE9901564,2025-07,167,2,1,Needs Improvement
IE9901564,2025-08,182,0,0,Exceeds
IE9901564,2025-09,155,1,0,Meets
IE9901564,2025-10,175,1,0,Exceeds
IE9901564,2025-11,176,2,0,Exceeds
IE9901564,2025-12,175,1,0,Meets
IE9901564,2026-01,159,2,1,Needs Improvement
IE9901564,2026-02,150,0,1,Exceeds
IE0501565,2025-03,190,1,0,Meets
IE0501565,2025-04,155,2,0,Meets
IE0501565,2025-05,153,2,0,Exceeds
IE0501565,2025-06,195,0,1,Exceeds
