numero_empleado,titulo,modalidad_trabajo,salario_eur,fecha_de_entrada
IE9801546,Ejecutivo Comercial,Hibrido,51290,1998
IE2401547,Gerente Comercial,Hibrido,72043,2024
IE9301548,Ejecutivo Comercial,Remoto,38609,1993
IE1201549,Ejecutivo Comercial,Oficina,46741,2012
IE1901550,Ejecutivo Comercial,Oficina,47109,2019
IE2401551,Gerente Comercial,Hibrido,96447,2024
IE0701552,Gerente Comercial,Oficina,101017,2007
IE0601553,Gerente Comercial,Hibrido,85304,2006
IE2501554,Ejecutivo Comercial,Remoto,35402,2025
IE2401555,Ejecutivo Comercial,Hibrido,55359,2024
IE0501556,Gerente Comercial,Hibrido,87124,2005
IE0501557,Ejecutivo Comercial,Hibrido,38475,2005
IE0101558,Ejecutivo Comercial,Oficina,59628,2001
IE1401559,Ejecutivo Comercial,Oficina,59631,2014
IE9701560,Ejecutivo Comercial,Remoto,50512,1997
IE0701561,Ejecutivo Comercial,Hibrido,58123,2007
IE0101562,Ejecutivo Comercial,Hibrido,43723,2001
IE9301563,Gerente Comercial,Oficina,96515,1993
IE9901564,Ejecutivo Comercial,Hibrido,35768,1999
IE0501565,Ejecutivo Comercial,Hibrido,51830,2005
IE2401566,Gerente Comercial,Hibrido,101987,2024
IE9701567,Ejecutivo Comercial,Hibrido,35489,1997
IE2301568,Ejecutivo Comercial,Oficina,51888,2023
IE1101569,Gerente Comercial,Hibrido,106059,2011
IE0101570,Ejecutivo Comercial,Oficina,57541,2001
IE9601571,Ejecutivo Comercial,Hibrido,50084,1996
IE0401572,Gerente Comercial,Hibrido,70231,2004
IE0601573,Gerente Comercial,Oficina,84383,2006
IE0501574,Ejecutivo Comercial,Remoto,48877,2005
IE0101575,Ejecutivo Comercial,Remoto,58799,2001
IE9501576,Ejecutivo Comercial,Oficina,52272,1995
IE0801577,Ejecutivo Comercial,Remoto,37341,2008
IE1601578,Gerente Comercial,Hibrido,96696,2016
IE9001579,Gerente Comercial,Oficina,73955,1990
IE1101580,Gerente Comercial,Oficina,75839,2011
IE0801581,Ejecutivo Comercial,Hibrido,55662,2008
IE0301582,Gerente Comercial,Oficina,104456,2003
IE1601583,Ejecutivo Comercial,Oficina,54031,2016
IE0801584,Gerente Comercial,Oficina,94287,2008
IE2201585,Gerente Comercial,Hibrido,72225,2022
IE0101586,Gerente Comercial,Oficina,91611,2001
IE0001587,Gerente Comercial,Oficina,106834,2000
IE1001588,Ejecutivo Comercial,Oficina,50430,2010
IE9301589,Ejecutivo Comercial,Remoto,47379,1993
IE1401590,Ejecutivo Comercial,Oficina,55533,2014
IE9301591,Ejecutivo Comercial,Hibrido,36308,1993
IE1301592,Gerente Comercial,Hibrido,74906,2013
IE1201593,Gerente Comercial,Hibrido,93293,2012
IE9301594,Ejecutivo Comercial,Oficina,49732,1993
IE2201595,Gerente Comercial,Oficina,94648,2022
IE0201596,Gerente Comercial,Oficina,73111,2002
IE1901597,Gerente Comercial,Hibrido,72219,2019
IE1101598,Gerente Comercial,Oficina,96716,2011
IE1601599,Ejecutivo Comercial,Hibrido,40652,2016
IE9201600,Ejecutivo Comercial,Hibrido,59582,1992
IE9901601,Ejecutivo Comercial,Remoto,59735,1999
IE9201602,Gerente Comercial,Hibrido,85302,1992
IE1001603,Gerente Comercial,Oficina,81741,2010
IE9301604,Ejecutivo Comercial,Remoto,37213,1993
IE1701605,Ejecutivo Comercial,Remoto,49938,2017
IE1301606,Ejecutivo Comercial,Hibrido,56637,2013
IE9501607,Ejecutivo Comercial,Hibrido,51883,1995
IE1201608,Gerente Comercial,Oficina,83686,2012
IE0301609,Gerente Comercial,Oficina,83236,2003
IE9501610,Gerente Comercial,Oficina,89945,1995
IE0901611,Gerente Comercial,Oficina,83036,2009
IE9901612,Ejecutivo Comercial,Hibrido,39434,1999
IE0701613,Ejecutivo Comercial,Remoto,39809,2007
IE2301614,Gerente Comercial,Oficina,87209,2023
IE9701615,Gerente Comercial,Hibrido,76781,1997
IE9401616,Gerente Comercial,Hibrido,75007,1994
IE0001617,Ejecutivo Comercial,Remoto,55484,2000
IE2501618,Gerente Comercial,Oficina,94068,2025
IE9301619,Gerente Comercial,Oficina,74285,1993
IE9501620,Ejecutivo Comercial,Oficina,41021,1995
IE2501621,Ejecutivo Comercial,Remoto,45547,2025
IE0901622,Ejecutivo Comercial,Hibrido,36595,2009
IE1601623,Ejecutivo Comercial,Remoto,39866,2016
IE0601624,Gerente Comercial,Hibrido,100320,2006
IE9601625,Ejecutivo Comercial,Oficina,39604,1996
IE2601626,Ejecutivo Comercial,Oficina,47823,2026
IE1701627,Gerente Comercial,Oficina,77809,2017
IE1801628,Ejecutivo Comercial,Hibrido,57580,2018
IE1401629,Ejecutivo Comercial,Hibrido,54154,2014
IE0701630,Gerente Comercial,Oficina,82576,2007
IE1801631,Ejecutivo Comercial,Hibrido,43215,2018
IE2501632,Gerente Comercial,Oficina,88409,2025
IE9501633,Gerente Comercial,Oficina,99032,1995
IE0201634,Ejecutivo Comercial,Remoto,39133,2002
IE2401635,Ejecutivo Comercial,Hibrido,46275,2024
IE9001636,Gerente Comercial,Hibrido,70096,1990
IE0801637,Ejecutivo Comercial,Remoto,47940,2008
IE9901638,Ejecutivo Comercial,Oficina,59356,1999
IE9401639,Gerente Comercial,Hibrido,95775,1994
IE0701640,Gerente Comercial,Hibrido,103556,2007
IE9201641,Gerente Comercial,Oficina,105518,1992
IE2601642,Gerente Comercial,Hibrido,84198,2026
IE1101643,Gerente Comercial,Oficina,79479,2011
IE1401644,Gerente Comercial,Oficina,88570,2014
IE1501645,Ejecutivo Comercial,Remoto,51612,2015
IE9001646,Ejecutivo Comercial,Remoto,54889,1990
IE0501647,Gerente Comercial,Hibrido,93152,2005
IE1001648,Ejecutivo Comercial,Hibrido,36553,2010
IE1001649,Gerente Comercial,Oficina,72950,2010
IE9401650,Ejecutivo Comercial,Hibrido,58134,1994
IE0501651,Gerente Comercial,Hibrido,101642,2005
IE9501652,Ejecutivo Comercial,Remoto,50115,1995
IE2501653,Gerente Comercial,Oficina,105986,2025
IE1301654,Gerente Comercial,Hibrido,93712,2013
IE2101655,Ejecutivo Comercial,Oficina,43613,2021
IE9101656,Gerente Comercial,Hibrido,74886,1991
IE2501657,Ejecutivo Comercial,Oficina,47746,2025
IE1201658,Gerente Comercial,Oficina,82538,2012
IE0701659,Ejecutivo Comercial,Oficina,45900,2007
IE0601660,Gerente Comercial,Hibrido,85471,2006
IE9801661,Ejecutivo Comercial,Hibrido,49626,1998
IE0901662,Gerente Comercial,Hibrido,107670,2009
IE9301663,Gerente Comercial,Hibrido,108624,1993
IE1501664,Gerente Comercial,Hibrido,96811,2015
IE9901665,Ejecutivo Comercial,Hibrido,45264,1999
IE2401666,Gerente Comercial,Hibrido,94364,2024
IE2501667,Ejecutivo Comercial,Remoto,56974,2025
IE1601668,Ejecutivo Comercial,Oficina,49479,2016
IE1801669,Ejecutivo Comercial,Oficina,36042,2018
IE1201670,Ejecutivo Comercial,Hibrido,53679,2012
IE9101671,Gerente Comercial,Hibrido,92314,1991
IE9901672,Gerente Comercial,Oficina,90040,1999
IE1501673,Ejecutivo Comercial,Oficina,55289,2015
IE1701674,Ejecutivo Comercial,Remoto,40956,2017
IE9701675,Ejecutivo Comercial,Oficina,41997,1997
IE0401676,Ejecutivo Comercial,Hibrido,46408,2004
IE1201677,Gerente Comercial,Hibrido,70241,2012
IE0801678,Gerente Comercial,Oficina,91033,2008
IE1701679,Ejecutivo Comercial,Hibrido,59192,2017
IE2301680,Ejecutivo Comercial,Hibrido,36192,2023
IE9201681,Ejecutivo Comercial,Hibrido,51511,1992
IE1901682,Gerente Comercial,Oficina,95818,2019
IE1201683,Gerente Comercial,Hibrido,97977,2012
IE2601684,Ejecutivo Comercial,Remoto,35153,2026
IE0101685,Ejecutivo Comercial,Oficina,49047,2001
IE2001686,Gerente Comercial,Oficina,88470,2020
IE9301687,Ejecutivo Comercial,Remoto,54469,1993
IE1101688,Ejecutivo Comercial,Hibrido,56766,2011
IE2001689,Ejecutivo Comercial,Oficina,58985,2020
IE9201690,Ejecutivo Comercial,Hibrido,46773,1992
IE1601691,Gerente Comercial,Hibrido,98101,2016
IE1401692,Gerente Comercial,Oficina,88199,2014
IE2001693,Ejecutivo Comercial,Oficina,41625,2020
IE9001694,Gerente Comercial,Hibrido,70084,1990
IE1501695,Gerente Comercial,Oficina,70918,2015
IE9101696,Gerente Comercial,Hibrido,103082,1991
IE9201697,Gerente Comercial,Hibrido,102048,1992
IE0101698,Gerente Comercial,Hibrido,93999,2001
IE1701699,Gerente Comercial,Hibrido,107754,2017
IE9401700,Ejecutivo Comercial,Oficina,44823,1994
IE0201701,Gerente Comercial,Hibrido,90326,2002
IE0001702,Ejecutivo Comercial,Oficina,53190,2000
IE1701703,Ejecutivo Comercial,Hibrido,47513,2017
IE1701704,Gerente Comercial,Hibrido,75711,2017
IE2401705,Gerente Comercial,Oficina,70542,2024
IE2601706,Gerente Comercial,Oficina,87490,2026
IE9101707,Gerente Comercial,Oficina,95560,1991
IE0601708,Ejecutivo Comercial,Oficina,44690,2006
IE2001709,Gerente Comercial,Hibrido,87594,2020
IE9601710,Gerente Comercial,Hibrido,77463,1996
IE9301711,Gerente Comercial,Hibrido,98870,1993
IE9301712,Gerente Comercial,Hibrido,104680,1993
IE9801713,Gerente Comercial,Hibrido,78348,1998
IE9101714,Ejecutivo Comercial,Oficina,40148,1991
IE9101715,Ejecutivo Comercial,Remoto,39803,1991
IE9401716,Gerente Comercial,Oficina,96416,1994
IE1601717,Gerente Comercial,Hibrido,96917,2016
IE1601718,Gerente Comercial,Hibrido,85257,2016
IE0701719,Gerente Comercial,Hibrido,90328,2007
IE0301720,Gerente Comercial,Hibrido,92570,2003
IE0001721,Gerente Comercial,Hibrido,78812,2000
IE0001722,Gerente Comercial,Hibrido,90883,2000
IE9001723,Ejecutivo Comercial,Oficina,58484,1990
IE1501724,Gerente Comercial,Hibrido,75281,2015
IE1301725,Ejecutivo Comercial,Remoto,52633,2013
IE1301726,Gerente Comercial,Oficina,74385,2013
IE1801727,Ejecutivo Comercial,Hibrido,41896,2018
IE1201728,Ejecutivo Comercial,Oficina,37114,2012
IE0101729,Gerente Comercial,Oficina,88213,2001
IE0101730,Gerente Comercial,Hibrido,70614,2001
IE0001731,Ejecutivo Comercial,Oficina,50168,2000
IE2001732,Ejecutivo Comercial,Remoto,53546,2020
IE9801733,Ejecutivo Comercial,Remoto,48888,1998
IE1201734,Gerente Comercial,Hibrido,71595,2012
IE9201735,Gerente Comercial,Oficina,76698,1992
IE0301736,Gerente Comercial,Oficina,109974,2003
IE1301737,Ejecutivo Comercial,Hibrido,57934,2013
IE0901738,Gerente Comercial,Hibrido,99320,2009
IE2001739,Gerente Comercial,Oficina,91632,2020
IE0401740,Ejecutivo Comercial,Remoto,36260,2004
IE2401741,Ejecutivo Comercial,Remoto,48950,2024
IE9101742,Gerente Comercial,Oficina,90222,1991
IE1501743,Gerente Comercial,Hibrido,75936,2015
IE1001744,Gerente Comercial,Oficina,101633,2010
IE9801745,Ejecutivo Comercial,Remoto,39134,1998
IE0701746,Gerente Comercial,Oficina,87790,2007
IE0001747,Ejecutivo Comercial,Oficina,42676,2000
IE9901748,Ejecutivo Comercial,Hibrido,51456,1999
IE0001749,Ejecutivo Comercial,Oficina,57570,2000
IE9001750,Ejecutivo Comercial,Oficina,43815,1990
IE9001751,Ejecutivo Comercial,Remoto,54406,1990
IE9701752,Gerente Comercial,Oficina,108829,1997
IE0001753,Ejecutivo Comercial,Oficina,46770,2000
IE0601754,Ejecutivo Comercial,Hibrido,57732,2006
IE0801755,Gerente Comercial,Oficina,84567,2008
IE1401756,Gerente Comercial,Hibrido,88623,2014
IE9601757,Gerente Comercial,Oficina,97847,1996
IE2001758,Ejecutivo Comercial,Remoto,40840,2020
IE0401759,Gerente Comercial,Hibrido,87979,2004
IE2201760,Gerente Comercial,Oficina,89480,2022
IE2001761,Gerente Comercial,Hibrido,77617,2020
IE0701762,Ejecutivo Comercial,Remoto,56457,2007
IE9701763,Ejecutivo Comercial,Oficina,41467,1997
IE9601764,Ejecutivo Comercial,Hibrido,42428,1996
IE0201765,Gerente Comercial,Hibrido,102612,2002
IE2201766,Gerente Comercial,Oficina,88190,2022
IE1601767,Gerente Comercial,Hibrido,85606,2016
IE0301768,Ejecutivo Comercial,Remoto,52250,2003
IE1101769,Gerente Comercial,Oficina,109208,2011
IE2201770,Ejecutivo Comercial,Oficina,55974,2022
IE0601771,Gerente Comercial,Oficina,105232,2006
IE0801772,Ejecutivo Comercial,Oficina,47934,2008
IE1901773,Ejecutivo Comercial,Hibrido,38119,2019
IE1801774,Gerente Comercial,Hibrido,92385,2018
IE0401775,Gerente Comercial,Hibrido,75901,2004
IE1201776,Gerente Comercial,Hibrido,106408,2012
IE1101777,Gerente Comercial,Hibrido,81307,2011
IE9101778,Gerente Comercial,Hibrido,77246,1991
IE2101779,Ejecutivo Comercial,Oficina,48178,2021
IE1701780,Ejecutivo Comercial,Oficina,37677,2017
IE9501781,Ejecutivo Comercial,Hibrido,51480,1995
IE9301782,Ejecutivo Comercial,Oficina,44622,1993
IE0701783,Ejecutivo Comercial,Remoto,55904,2007
IE9101784,Ejecutivo Comercial,Hibrido,48468,1991
IE2401785,Ejecutivo Comercial,Oficina,47862,2024
IE1801786,Ejecutivo Comercial,Oficina,49474,2018
IE9001787,Ejecutivo Comercial,Remoto,52148,1990
IE2301788,Ejecutivo Comercial,Remoto,35666,2023
IE9501789,Ejecutivo Comercial,Hibrido,50561,1995
IE9101790,Gerente Comercial,Oficina,109060,1991
IE0301791,Ejecutivo Comercial,Remoto,37635,2003
IE1801792,Gerente Comercial,Oficina,74146,2018
IE2201793,Gerente Comercial,Hibrido,96955,2022
IE1101794,Ejecutivo Comercial,Oficina,45369,2011
IE0301795,Ejecutivo Comercial,Oficina,41500,2003
IE0801796,Ejecutivo Comercial,Oficina,51394,2008
IE9401797,Gerente Comercial,Oficina,80493,1994
IE2001798,Ejecutivo Comercial,Oficina,36762,2020
IE1701799,Ejecutivo Comercial,Hibrido,40471,2017
IE9801800,Gerente Comercial,Hibrido,78238,1998
IE2401801,Gerente Comercial,Oficina,77026,2024
IE1301802,Ejecutivo Comercial,Oficina,39188,2013
IE9801803,Gerente Comercial,Oficina,101402,1998
IE0301804,Ejecutivo Comercial,Oficina,43819,2003
IE0601805,Gerente Comercial,Oficina,102151,2006
IE9201806,Ejecutivo Comercial,Hibrido,43203,1992
IE9101807,Ejecutivo Comercial,Oficina,53911,1991
IE2601808,Gerente Comercial,Hibrido,75151,2026
IE9101809,Gerente Comercial,Hibrido,82604,1991
IE1401810,Gerente Comercial,Oficina,89769,2014
IE1501811,Gerente Comercial,Oficina,82730,2015
IE2301812,Gerente Comercial,Hibrido,88026,2023
IE9801813,Gerente Comercial,Oficina,99752,1998
IE1501814,Ejecutivo Comercial,Oficina,54264,2015
IE9101815,Gerente Comercial,Oficina,94930,1991
IE9201816,Gerente Comercial,Hibrido,90302,1992
IE0701817,Gerente Comercial,Oficina,86425,2007
IE1701818,Gerente Comercial,Oficina,78336,2017
IE1601819,Gerente Comercial,Hibrido,75488,2016
IE0901820,Gerente Comercial,Oficina,75646,2009
IE1201821,Gerente Comercial,Oficina,76510,2012
IE2401822,Ejecutivo Comercial,Oficina,58762,2024
IE1901823,Ejecutivo Comercial,Hibrido,36172,2019
IE9101824,Ejecutivo Comercial,Oficina,41184,1991
IE1601825,Ejecutivo Comercial,Hibrido,54157,2016
IE1801826,Ejecutivo Comercial,Hibrido,48973,2018
IE1601827,Gerente Comercial,Oficina,104915,2016
IE1001828,Gerente Comercial,Hibrido,90451,2010
IE9501829,Ejecutivo Comercial,Remoto,54305,1995
IE9801830,Gerente Comercial,Oficina,77893,1998
IE2001831,Gerente Comercial,Hibrido,95317,2020
IE0401832,Ejecutivo Comercial,Remoto,50618,2004
IE2301833,Ejecutivo Comercial,Oficina,48019,2023
IE2601834,Gerente Comercial,Hibrido,103901,2026
IE1401835,Gerente Comercial,Hibrido,87418,2014
IE1801836,Gerente Comercial,Oficina,71343,2018
IE2501837,Gerente Comercial,Hibrido,78724,2025
IE1801838,Gerente Comercial,Oficina,79042,2018
IE0301839,Ejecutivo Comercial,Remoto,53213,2003
IE9201840,Gerente Comercial,Oficina,70444,1992
IE1301841,Ejecutivo Comercial,Remoto,59699,2013
IE9701842,Gerente Comercial,Hibrido,94661,1997
IE9001843,Gerente Comercial,Oficina,107289,1990
IE2001844,Ejecutivo Comercial,Hibrido,36336,2020
IE0301845,Ejecutivo Comercial,Oficina,44596,2003
IE2001846,Gerente Comercial,Oficina,94118,2020
IE1701847,Ejecutivo Comercial,Remoto,35264,2017
IE1801848,Gerente Comercial,Hibrido,72111,2018
IE0701849,Gerente Comercial,Oficina,89008,2007
IE0001850,Gerente Comercial,Oficina,101499,2000
IE0301851,Gerente Comercial,Hibrido,77571,2003
IE0401852,Ejecutivo Comercial,Hibrido,40208,2004
IE9201853,Gerente Comercial,Hibrido,88706,1992
IE1501854,Gerente Comercial,Oficina,97061,2015
IE2501855,Ejecutivo Comercial,Oficina,42728,2025
IE9901856,Gerente Comercial,Hibrido,97122,1999
IE1801857,Ejecutivo Comercial,Hibrido,55835,2018
IE0601858,Ejecutivo Comercial,Hibrido,37893,2006
IE0001859,Ejecutivo Comercial,Oficina,59223,2000
IE2301860,Gerente Comercial,Hibrido,92667,2023
IE0201861,Ejecutivo Comercial,Hibrido,55519,2002
IE9101862,Gerente Comercial,Oficina,107428,1991
IE1001863,Ejecutivo Comercial,Hibrido,42670,2010
IE9401864,Gerente Comercial,Oficina,96736,1994
IE1401865,Gerente Comercial,Hibrido,99267,2014
IE9901866,Gerente Comercial,Oficina,88735,1999
IE2201867,Ejecutivo Comercial,Oficina,37439,2022
IE2201868,Gerente Comercial,Hibrido,73206,2022
IE1501869,Ejecutivo Comercial,Hibrido,41198,2015
IE2401870,Ejecutivo Comercial,Oficina,52007,2024
IE1701871,Gerente Comercial,Hibrido,91561,2017
IE9501872,Gerente Comercial,Hibrido,99985,1995
IE1901873,Ejecutivo Comercial,Hibrido,59359,2019
IE1401874,Ejecutivo Comercial,Hibrido,42045,2014
IE1001875,Gerente Comercial,Hibrido,105911,2010
IE1901876,Gerente Comercial,Hibrido,78009,2019
IE1801877,Gerente Comercial,Hibrido,83691,2018
IE0601878,Gerente Comercial,Hibrido,75267,2006
IE0101879,Gerente Comercial,Oficina,91920,2001
IE0801880,Gerente Comercial,Oficina,102709,2008
IE1501881,Gerente Comercial,Hibrido,71649,2015
IE2101882,Ejecutivo Comercial,Remoto,53459,2021
IE1901883,Gerente Comercial,Hibrido,108902,2019
IE9901884,Ejecutivo Comercial,Remoto,58988,1999
IE0901885,Gerente Comercial,Oficina,88801,2009
IE0001886,Ejecutivo Comercial,Hibrido,45534,2000
IE0801887,Gerente Comercial,Oficina,83892,2008
IE2601888,Gerente Comercial,Oficina,102789,2026
IE0101889,Ejecutivo Comercial,Remoto,45802,2001
IE0501890,Gerente Comercial,Oficina,104535,2005
IE0101891,Ejecutivo Comercial,Remoto,54747,2001
IE0801892,Gerente Comercial,Oficina,70124,2008
IE0001893,Ejecutivo Comercial,Remoto,45763,2000
IE2601894,Gerente Comercial,Hibrido,87368,2026
IE1201895,Gerente Comercial,Hibrido,83215,2012
IE0601896,Gerente Comercial,Oficina,97081,2006
IE2101897,Gerente Comercial,Oficina,78189,2021
IE2101898,Ejecutivo Comercial,Oficina,47946,2021
IE1401899,Gerente Comercial,Oficina,90338,2014
IE2301900,Ejecutivo Comercial,Hibrido,52631,2023
IE9501901,Gerente Comercial,Hibrido,102441,1995
IE1601902,Gerente Comercial,Hibrido,100951,2016
IE0001903,Ejecutivo Comercial,Remoto,47981,2000
IE2501904,Gerente Comercial,Hibrido,106924,2025
IE1401905,Gerente Comercial,Hibrido,72485,2014
IE0301906,Gerente Comercial,Hibrido,89230,2003
IE9201907,Gerente Comercial,Oficina,100944,1992
IE1101908,Ejecutivo Comercial,Oficina,42797,2011
IE9801909,Gerente Comercial,Hibrido,97580,1998
IE0401910,Gerente Comercial,Hibrido,76860,2004
IE1201911,Ejecutivo Comercial,Hibrido,37598,2012
IE0101912,Gerente Comercial,Hibrido,100414,2001
IE1101913,Ejecutivo Comercial,Hibrido,44395,2011
IE1101914,Gerente Comercial,Hibrido,98017,2011
IE0501915,Ejecutivo Comercial,Remoto,45464,2005
IE2101916,Ejecutivo Comercial,Remoto,38125,2021
IE0801917,Ejecutivo Comercial,Hibrido,52281,2008
IE9701918,Ejecutivo Comercial,Remoto,40048,1997
IE2201919,Gerente Comercial,Oficina,97244,2022
IE2201920,Gerente Comercial,Hibrido,107306,2022
IE9001921,Gerente Comercial,Oficina,103844,1990
IE9401922,Ejecutivo Comercial,Hibrido,36559,1994
IE0001923,Gerente Comercial,Hibrido,70641,2000
IE1701924,Gerente Comercial,Hibrido,99610,2017
IE0501925,Gerente Comercial,Oficina,79495,2005
IE1801926,Ejecutivo Comercial,Oficina,48669,2018
IE0101927,Gerente Comercial,Oficina,108903,2001
IE2101928,Gerente Comercial,Hibrido,99006,2021
IE2601929,Gerente Comercial,Hibrido,107801,2026
IE1301930,Ejecutivo Comercial,Oficina,57427,2013
IE0401931,Ejecutivo Comercial,Hibrido,35262,2004
IE2501932,Gerente Comercial,Oficina,84647,2025
IE9701933,Ejecutivo Comercial,Remoto,39905,1997
IE1501934,Gerente Comercial,Oficina,101823,2015
IE1701935,Gerente Comercial,Hibrido,92984,2017
IE2201936,Gerente Comercial,Hibrido,108660,2022
IE0401937,Gerente Comercial,Oficina,93462,2004
IE9801938,Ejecutivo Comercial,Remoto,48495,1998
IE9101939,Gerente Comercial,Hibrido,92876,1991
IE0101940,Ejecutivo Comercial,Remoto,44857,2001
IE1401941,Ejecutivo Comercial,Oficina,57372,2014
IE0201942,Gerente Comercial,Oficina,107459,2002
IE2601943,Gerente Comercial,Oficina,78040,2026
IE9201944,Gerente Comercial,Oficina,90451,1992
IE2301945,Ejecutivo Comercial,Remoto,45839,2023
IE9801946,Ejecutivo Comercial,Oficina,55079,1998
IE9401947,Ejecutivo Comercial,Remoto,36931,1994
IE9601948,Ejecutivo Comercial,Remoto,42517,1996
IE0101949,Gerente Comercial,Hibrido,80173,2001
IE2601950,Ejecutivo Comercial,Remoto,43334,2026
IE1701951,Gerente Comercial,Hibrido,92467,2017
IE9401952,Gerente Comercial,Oficina,105057,1994
IE0101953,Ejecutivo Comercial,Oficina,40181,2001
IE9501954,Gerente Comercial,Oficina,93644,1995
IE9001955,Gerente Comercial,Oficina,75956,1990
IE9001956,Gerente Comercial,Oficina,82307,1990
IE0401957,Gerente Comercial,Hibrido,104485,2004
IE1401958,Ejecutivo Comercial,Oficina,36764,2014
IE2601959,Ejecutivo Comercial,Hibrido,44776,2026
IE9801960,Ejecutivo Comercial,Oficina,39896,1998
IE2101961,Ejecutivo Comercial,Hibrido,41225,2021
IE9801962,Gerente Comercial,Oficina,101215,1998
IE2101963,Gerente Comercial,Hibrido,73334,2021
IE0501964,Ejecutivo Comercial,Remoto,39092,2005
IE9001965,Ejecutivo Comercial,Hibrido,35383,1990
IE9501966,Gerente Comercial,Hibrido,73651,1995
IE2501967,Gerente Comercial,Hibrido,83885,2025
IE1201968,Ejecutivo Comercial,Remoto,41756,2012
IE0201969,Ejecutivo Comercial,Oficina,56576,2002
IE0201970,Gerente Comercial,Oficina,90103,2002
IE9701971,Ejecutivo Comercial,Hibrido,55859,1997
IE2601972,Gerente Comercial,Hibrido,106027,2026
IE9101973,Ejecutivo Comercial,Oficina,49717,1991
IE1801974,Gerente Comercial,Hibrido,86778,2018
IE1401975,Gerente Comercial,Hibrido,73279,2014
IE9901976,Ejecutivo Comercial,Hibrido,55088,1999
IE1101977,Gerente Comercial,Hibrido,102242,2011
IE0701978,Ejecutivo Comercial,Hibrido,38209,2007
IE0601979,Gerente Comercial,Hibrido,75895,2006
IE2101980,Gerente Comercial,Oficina,94069,2021
IE0701981,Gerente Comercial,Oficina,81722,2007
IE9101982,Ejecutivo Comercial,Hibrido,46901,1991
IE1201983,Gerente Comercial,Hibrido,84833,2012
IE9701984,Ejecutivo Comercial,Oficina,49287,1997
IE9901985,Gerente Comercial,Oficina,103832,1999
IE0801986,Ejecutivo Comercial,Remoto,55888,2008
IE1101987,Ejecutivo Comercial,Remoto,49177,2011
IE0701988,Ejecutivo Comercial,Oficina,50310,2007
IE2001989,Ejecutivo Comercial,Remoto,59782,2020
IE9701990,Ejecutivo Comercial,Remoto,52145,1997
IE9701991,Ejecutivo Comercial,Oficina,40318,1997
IE9801992,Gerente Comercial,Oficina,78044,1998
IE9401993,Ejecutivo Comercial,Oficina,55805,1994
IE9401994,Gerente Comercial,Hibrido,84048,1994
IE9401995,Gerente Comercial,Hibrido,73144,1994
IE1501996,Gerente Comercial,Hibrido,73868,2015
IE9601997,Ejecutivo Comercial,Remoto,42098,1996
IE2601998,Ejecutivo Comercial,Hibrido,53918,2026
IE1201999,Gerente Comercial,Hibrido,73141,2012
IE9602000,Gerente Comercial,Hibrido,100322,1996
IE0702001,Ejecutivo Comercial,Remoto,55046,2007
IE0702002,Gerente Comercial,Hibrido,77811,2007
IE1702003,Ejecutivo Comercial,Remoto,44040,2017
IE0802004,Ejecutivo Comercial,Hibrido,47173,2008
IE0002005,Ejecutivo Comercial,Oficina,37462,2000
IE0102006,Gerente Comercial,Hibrido,97233,2001
IE0502007,Gerente Comercial,Hibrido,84666,2005
IE0702008,Gerente Comercial,Hibrido,109303,2007
IE9802009,Gerente Comercial,Hibrido,84340,1998
IE2002010,Gerente Comercial,Hibrido,85851,2020
IE2302011,Gerente Comercial,Hibrido,81225,2023
IE2102012,Ejecutivo Comercial,Hibrido,38333,2021
IE1502013,Gerente Comercial,Hibrido,107063,2015
IE9102014,Gerente Comercial,Oficina,75716,1991
IE1802015,Gerente Comercial,Oficina,91957,2018
IE9802016,Gerente Comercial,Hibrido,90766,1998
IE9002017,Gerente Comercial,Hibrido,89678,1990
IE9202018,Ejecutivo Comercial,Remoto,47610,1992
IE9102019,Gerente Comercial,Hibrido,84402,1991
IE9902020,Gerente Comercial,Oficina,108018,1999
IE1802021,Ejecutivo Comercial,Oficina,55215,2018
IE2402022,Gerente Comercial,Oficina,89450,2024
IE0502023,Gerente Comercial,Oficina,83019,2005
IE0202024,Ejecutivo Comercial,Oficina,58454,2002
IE1802025,Gerente Comercial,Oficina,106663,2018
IE0102026,Ejecutivo Comercial,Remoto,37378,2001
IE1902027,Gerente Comercial,Hibrido,77138,2019
IE1402028,Ejecutivo Comercial,Hibrido,51280,2014
IE0802029,Ejecutivo Comercial,Remoto,36333,2008
IE0002030,Gerente Comercial,Oficina,75573,2000
IE9502031,Gerente Comercial,Hibrido,107308,1995
IE1002032,Gerente Comercial,Oficina,103211,2010
IE0002033,Gerente Comercial,Oficina,103988,2000
IE0602034,Ejecutivo Comercial,Remoto,54107,2006
IE0302035,Gerente Comercial,Hibrido,88498,2003
IE1302036,Gerente Comercial,Hibrido,101009,2013
IE2202037,Gerente Comercial,Hibrido,102220,2022
IE0302038,Gerente Comercial,Hibrido,90860,2003
IE0402039,Ejecutivo Comercial,Hibrido,54279,2004
IE0102040,Gerente Comercial,Oficina,107452,2001
IE1002041,Ejecutivo Comercial,Oficina,43433,2010
IE2402042,Gerente Comercial,Hibrido,97976,2024
IE1502043,Ejecutivo Comercial,Remoto,59849,2015
IE9302044,Gerente Comercial,Oficina,102893,1993
IE9302045,Gerente Comercial,Oficina,96880,1993
IE1702046,Ejecutivo Comercial,Hibrido,36194,2017
IE9502047,Ejecutivo Comercial,Oficina,41287,1995
