numero_empleado,CBI_Q1,CBI_Q2,CBI_Q3,CBI_Q4,CBI_Q5,CBI_Q6,CBI_Q7,CBI_Q8,CBI_Q9,CBI_Q10,CBI_Q11,CBI_Q12,CBI_Q13,CBI_Q14,CBI_Q15,CBI_Q16,CBI_Q17,CBI_Q18,CBI_Q19
IE9000508,A menudo,A veces,A menudo,A veces,Siempre,A veces,A veces,A veces,Siempre,Nunca,A veces,A menudo,A menudo,A veces,A veces,Raramente,A veces,A veces,A veces
IE9204029,Siempre,A menudo,A veces,Raramente,Siempre,A veces,Siempre,Raramente,Raramente,Siempre,A menudo,Siempre,Siempre,Siempre,Raramente,Siempre,A veces,A menudo,A veces
IE2600100,A menudo,Raramente,A veces,Siempre,A veces,Nunca,A veces,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,Raramente,Siempre,Siempre,Raramente,A menudo,A menudo
IE9501872,Raramente,A veces,A veces,Siempre,Siempre,A veces,A veces,Raramente,A menudo,A menudo,Nunca,Siempre,A menudo,Raramente,A veces,A veces,A veces,A menudo,A veces
IE1903127,Nunca,A veces,A veces,A veces,A veces,A veces,Siempre,A menudo,Nunca,A menudo,Siempre,Siempre,A veces,A veces,A menudo,A veces,A veces,Siempre,A menudo
IE9703299,Raramente,Nunca,A menudo,Siempre,A veces,A menudo,A veces,Siempre,A veces,A veces,A veces,A veces,A menudo,A menudo,A menudo,A veces,Raramente,Raramente,A menudo
IE9703432,Raramente,A menudo,A veces,Raramente,Raramente,A veces,A menudo,A veces,Nunca,A veces,Raramente,A menudo,A menudo,Raramente,Siempre,Siempre,A menudo,Siempre,Raramente
IE0501565,A menudo,Raramente,Raramente,A menudo,Raramente,A veces,A menudo,Nunca,A veces,A veces,A menudo,Nunca,Nunca,A menudo,Raramente,A veces,Raramente,A veces,A menudo
IE2403342,Raramente,A veces,A veces,A veces,A veces,A menudo,Siempre,A veces,Nunca,A menudo,A menudo,Raramente,Raramente,Siempre,A menudo,A veces,Siempre,A menudo,A veces
IE9103934,A menudo,Raramente,A menudo,A veces,A veces,A menudo,Siempre,A menudo,Raramente,Raramente,A menudo,A veces,Siempre,A menudo,A veces,A veces,Raramente,Nunca,A veces
IE2005061,A menudo,Siempre,Raramente,A veces,A veces,A menudo,Nunca,Raramente,Nunca,A veces,Nunca,Nunca,Nunca,Raramente,Siempre,A veces,A menudo,A veces,A menudo
IE9200367,Raramente,A menudo,Raramente,A veces,A veces,A menudo,Raramente,A veces,A menudo,Siempre,A veces,A menudo,Siempre,Raramente,A veces,Raramente,A veces,A veces,A menudo
IE0102499,A veces,A veces,A menudo,Siempre,Siempre,Siempre,A menudo,Siempre,Siempre,Siempre,A veces,Siempre,Siempre,A menudo,A menudo,A veces,A menudo,A veces,Siempre
IE0204756,Raramente,Nunca,Raramente,Raramente,A veces,Siempre,Raramente,Siempre,Raramente,A veces,Nunca,A veces,Raramente,A menudo,A veces,A veces,A veces,Raramente,A veces
IE9904266,A veces,A veces,Nunca,A menudo,Siempre,Raramente,Siempre,A veces,Raramente,Nunca,A veces,Raramente,Siempre,A menudo,A menudo,A veces,A veces,A veces,A veces
IE2405076,A veces,A menudo,A menudo,Siempre,A veces,Siempre,Raramente,Siempre,Raramente,Siempre,A veces,Raramente,Raramente,A veces,A menudo,A veces,A menudo,Raramente,Nunca
IE2500950,A veces,Nunca,Siempre,Raramente,A menudo,Siempre,Raramente,Siempre,A menudo,A veces,A veces,A menudo,A menudo,A menudo,A veces,Siempre,A veces,Siempre,Raramente
IE0702214,A veces,Raramente,Raramente,Nunca,Nunca,Raramente,A menudo,Raramente,A veces,A menudo,Siempre,Raramente,A menudo,Raramente,A menudo,A menudo,A veces,A veces,Siempre
IE9700020,Nunca,Siempre,Nunca,Siempre,Raramente,Siempre,A menudo,A menudo,Siempre,Raramente,Siempre,A veces,A menudo,Nunca,A menudo,A menudo,Siempre,A veces,Siempre
IE0002183,Siempre,A veces,A menudo,Siempre,A veces,Raramente,Raramente,A veces,A veces,Siempre,Raramente,Raramente,Raramente,Raramente,A veces,Raramente,Siempre,A veces,A menudo
IE9400669,A menudo,Raramente,A veces,Raramente,A veces,Nunca,A menudo,A menudo,A menudo,Raramente,Nunca,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,A veces,Raramente
IE2600219,A menudo,A menudo,A menudo,Siempre,Siempre,Raramente,A menudo,A menudo,A menudo,Raramente,A veces,Nunca,Siempre,A menudo,Raramente,A veces,A veces,A veces,Raramente
IE9604602,Nunca,A menudo,A menudo,Siempre,Raramente,A menudo,Siempre,Raramente,Raramente,A menudo,A menudo,A menudo,A menudo,Raramente,Siempre,A veces,A menudo,A veces,Nunca
IE1604450,A menudo,A veces,A menudo,Siempre,A veces,Raramente,A menudo,A menudo,Raramente,A veces,A veces,A menudo,Siempre,Nunca,Raramente,Raramente,Nunca,A veces,Nunca
IE1503492,Raramente,Siempre,Raramente,A veces,Siempre,A menudo,Siempre,Nunca,Nunca,Siempre,A menudo,Nunca,A menudo,Siempre,Nunca,Siempre,Raramente,A menudo,A menudo
IE2305023,A veces,A menudo,Raramente,A veces,Raramente,A veces,A menudo,A menudo,A veces,A menudo,Siempre,Raramente,Nunca,Raramente,Raramente,A veces,A menudo,Raramente,Siempre
IE1500586,Raramente,Siempre,A veces,Raramente,Nunca,Raramente,A menudo,Siempre,A veces,A menudo,Raramente,A menudo,Nunca,Siempre,A menudo,A veces,A menudo,A veces,A menudo
IE9503338,Raramente,A menudo,Raramente,Nunca,A menudo,Raramente,A menudo,Siempre,Siempre,Nunca,A veces,Siempre,A veces,A veces,A menudo,A veces,Raramente,Siempre,Siempre
IE9002693,A veces,A veces,Siempre,A veces,A veces,Siempre,A veces,Raramente,Raramente,A veces,A veces,A menudo,A menudo,A menudo,Raramente,A veces,A veces,A veces,Nunca
IE0900778,A veces,A menudo,A veces,A veces,A menudo,Raramente,A menudo,A veces,Siempre,Raramente,A veces,A menudo,A menudo,A menudo,A veces,A menudo,A veces,Siempre,Siempre
IE1002498,Siempre,A menudo,Raramente,A veces,A menudo,A veces,A veces,Raramente,Nunca,A veces,A veces,A veces,A menudo,Siempre,Raramente,A veces,A menudo,Raramente,Nunca
IE9901019,A veces,A menudo,A veces,A veces,A veces,Nunca,Nunca,A menudo,Siempre,Raramente,A veces,Raramente,A veces,A veces,A menudo,A menudo,Raramente,A veces,A veces
IE9203185,Raramente,Siempre,A menudo,Siempre,A menudo,A veces,Raramente,A veces,A menudo,Siempre,A menudo,Raramente,Siempre,A veces,Siempre,A veces,A veces,A veces,A menudo
IE2402719,A veces,A menudo,Nunca,Raramente,A veces,Raramente,A menudo,Siempre,Nunca,Raramente,Raramente,Raramente,Raramente,A veces,A veces,A menudo,Raramente,Nunca,Siempre
IE0904150,Raramente,A veces,A veces,Siempre,Nunca,Nunca,A menudo,A veces,A menudo,Siempre,Raramente,Nunca,A menudo,Nunca,Siempre,A veces,A veces,Nunca,Nunca
IE9203289,A veces,A veces,A menudo,A veces,A menudo,Siempre,Nunca,Nunca,Nunca,Raramente,Siempre,Nunca,Siempre,A veces,A menudo,Raramente,Nunca,A veces,Raramente
IE0003832,A veces,Siempre,A veces,A veces,Nunca,A menudo,Siempre,Raramente,Siempre,Raramente,A menudo,Raramente,Siempre,Nunca,Siempre,Siempre,Raramente,A menudo,Raramente
IE0303099,Raramente,A menudo,A veces,A veces,A veces,Siempre,Nunca,Nunca,A veces,Nunca,Nunca,Nunca,A menudo,Raramente,A veces,A veces,A menudo,Nunca,Raramente
IE0000518,Raramente,Nunca,A veces,A veces,Nunca,Siempre,Raramente,A veces,A menudo,A menudo,Siempre,A veces,Siempre,Raramente,Raramente,A veces,Siempre,A veces,A menudo
IE0001859,Siempre,A veces,A veces,Raramente,A menudo,Nunca,A menudo,A menudo,Raramente,A veces,Siempre,Raramente,Raramente,A veces,Raramente,A veces,A veces,A menudo,A menudo
IE0702671,A veces,Siempre,A veces,Siempre,Raramente,A veces,A veces,A veces,A veces,Raramente,A veces,A veces,Siempre,A menudo,Raramente,A menudo,Raramente,A menudo,A veces
IE9403050,A menudo,Raramente,A menudo,A veces,A veces,Raramente,A menudo,A veces,Nunca,Nunca,A menudo,Raramente,Siempre,A menudo,A veces,Siempre,A veces,Raramente,Nunca
IE9102019,Raramente,Raramente,A veces,A veces,Raramente,A menudo,Siempre,Raramente,Siempre,Raramente,Siempre,A veces,A veces,Raramente,Raramente,Raramente,A veces,A veces,A menudo
IE2203468,Nunca,Raramente,A veces,A veces,Siempre,Siempre,A menudo,A menudo,Nunca,A veces,A menudo,Raramente,A veces,Siempre,Raramente,Raramente,Raramente,Siempre,A veces
IE2204101,Raramente,A veces,Raramente,A veces,A menudo,A veces,A menudo,Raramente,A veces,A menudo,Nunca,Raramente,Nunca,Siempre,A veces,A menudo,A veces,Raramente,Nunca
IE1003856,Nunca,A veces,A veces,A veces,Siempre,A veces,A veces,A veces,A veces,Nunca,Nunca,A veces,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,A menudo
IE9802842,A menudo,A veces,Raramente,Raramente,Raramente,Raramente,Siempre,Siempre,A menudo,Nunca,Nunca,A veces,Raramente,Siempre,A veces,Siempre,Siempre,A veces,Siempre
IE9803300,Siempre,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,Raramente,Raramente,A veces,A veces,Nunca,Siempre,Raramente,A menudo,Raramente,Raramente,A veces,A menudo
IE9301053,A veces,A veces,A veces,Siempre,A menudo,A menudo,A menudo,A veces,A menudo,A veces,A veces,A menudo,Raramente,Nunca,A veces,Raramente,A veces,A veces,Siempre
IE1305174,Siempre,Nunca,A menudo,Raramente,A veces,Nunca,A veces,A veces,A menudo,A menudo,A veces,A menudo,Raramente,Siempre,A veces,A menudo,Nunca,A veces,Siempre
IE1900760,Siempre,A menudo,A veces,A veces,Raramente,Raramente,Siempre,A veces,A menudo,Raramente,Raramente,Siempre,A veces,Raramente,Raramente,A veces,Siempre,Raramente,A menudo
IE0003635,A veces,A veces,A veces,A menudo,A veces,A veces,Siempre,A menudo,Siempre,A veces,Raramente,A veces,A veces,A menudo,Nunca,Raramente,Nunca,Raramente,Siempre
IE0905453,A menudo,Raramente,A veces,A veces,Siempre,A veces,A menudo,Siempre,A menudo,A menudo,Raramente,Raramente,A menudo,Raramente,Raramente,A veces,A veces,Raramente,A veces
IE0700215,Raramente,Nunca,A menudo,A veces,Raramente,A veces,A menudo,Raramente,A menudo,A veces,Raramente,Siempre,Raramente,Siempre,A menudo,Nunca,A menudo,A menudo,A veces
IE9904716,Siempre,A veces,A menudo,A menudo,A veces,A veces,Nunca,Raramente,Nunca,Nunca,A menudo,A veces,Siempre,Raramente,Raramente,Nunca,Siempre,A menudo,Raramente
IE0204214,A menudo,Siempre,A menudo,Nunca,Siempre,A menudo,A veces,A menudo,Raramente,A veces,Raramente,A veces,A veces,Raramente,A veces,Raramente,A veces,A veces,Siempre
IE9003771,A veces,Nunca,A menudo,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,Nunca,A veces,Siempre,A menudo,Siempre,Raramente,A menudo,Siempre,Raramente,Siempre
IE0003993,Siempre,Nunca,A veces,Raramente,A veces,A veces,Siempre,Raramente,A veces,A veces,A menudo,A veces,A menudo,Raramente,A veces,Raramente,Siempre,Siempre,A veces
IE1105064,A veces,A veces,Raramente,Raramente,A veces,Nunca,Raramente,A menudo,A veces,A veces,A menudo,Nunca,A menudo,Siempre,Raramente,A veces,Siempre,Raramente,A veces
IE1101777,Siempre,A veces,Nunca,A veces,Raramente,A veces,Raramente,A menudo,Nunca,A menudo,A menudo,A menudo,Siempre,A menudo,A menudo,Siempre,Siempre,A menudo,A veces
IE1000197,A menudo,A veces,A veces,A veces,A veces,Raramente,A menudo,Siempre,Siempre,A menudo,A veces,A veces,A veces,A veces,Raramente,A menudo,A menudo,Siempre,A veces
IE1204461,A veces,A veces,A veces,Raramente,Siempre,Siempre,A menudo,Siempre,A menudo,Raramente,Nunca,A veces,A menudo,Raramente,Raramente,Raramente,Raramente,Raramente,A menudo
IE1502665,A veces,Raramente,A veces,Raramente,A menudo,A veces,Nunca,A veces,Siempre,Raramente,A menudo,A menudo,A veces,A menudo,Raramente,Raramente,Siempre,Raramente,Raramente
IE1502230,Raramente,A veces,A menudo,A menudo,A menudo,Raramente,Nunca,A menudo,A menudo,A menudo,A veces,A menudo,A veces,Siempre,Raramente,A veces,Raramente,A menudo,A veces
IE0705168,A menudo,A veces,A veces,Raramente,A veces,A menudo,A veces,Siempre,Nunca,A veces,Raramente,A menudo,Siempre,Nunca,A menudo,A menudo,A veces,Raramente,A veces
IE2001057,A menudo,Raramente,Raramente,Raramente,A veces,Raramente,Raramente,Raramente,A veces,A menudo,Raramente,Raramente,Raramente,Nunca,A menudo,Raramente,Siempre,A veces,Nunca
IE1801836,A veces,A menudo,A menudo,A veces,A veces,Raramente,Raramente,Raramente,A veces,A veces,Nunca,A veces,Raramente,A menudo,A veces,Siempre,Nunca,A menudo,A veces
IE1400888,A menudo,A menudo,A menudo,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,Raramente,Raramente,Siempre,A menudo,A veces,Raramente,Raramente,Nunca,A menudo,A veces
IE0102927,A menudo,A veces,Raramente,A menudo,A menudo,A veces,A veces,A menudo,A veces,A veces,A veces,Siempre,Siempre,A veces,A veces,Siempre,A menudo,Raramente,Siempre
IE1103617,A menudo,Nunca,A veces,A veces,A menudo,A menudo,Nunca,A veces,A veces,A menudo,A veces,Raramente,Nunca,A veces,A veces,A veces,A veces,A menudo,Siempre
IE2103177,A veces,A veces,Raramente,A veces,Siempre,Nunca,A veces,A veces,A menudo,Nunca,Raramente,Nunca,Siempre,Siempre,A veces,Raramente,A menudo,Raramente,A veces
IE2000569,Siempre,Siempre,Siempre,Siempre,Nunca,A veces,A menudo,A veces,Siempre,A menudo,A veces,A menudo,A menudo,A menudo,A veces,A veces,Siempre,A menudo,A veces
IE1603647,Raramente,Nunca,A veces,A menudo,A menudo,Raramente,Raramente,A veces,Nunca,A menudo,Raramente,A veces,A veces,Siempre,Nunca,A menudo,Raramente,A veces,Nunca
IE2403089,A menudo,A menudo,Raramente,Raramente,Siempre,A veces,Raramente,Raramente,A veces,Raramente,A menudo,Siempre,A menudo,A menudo,Raramente,Raramente,A veces,A menudo,A menudo
IE0704368,A menudo,Nunca,A veces,Siempre,A veces,A menudo,A menudo,A veces,A veces,A menudo,Raramente,A veces,A menudo,Raramente,Raramente,A menudo,A veces,A veces,A menudo
IE9500140,A veces,Nunca,A veces,Siempre,Nunca,Siempre,Raramente,A veces,A menudo,A menudo,A menudo,A veces,A veces,A menudo,A veces,A menudo,A menudo,A menudo,A menudo
IE1204073,A veces,A veces,Siempre,A veces,A veces,Raramente,Siempre,A veces,Raramente,A menudo,Raramente,A veces,A menudo,A veces,Nunca,A menudo,Raramente,A menudo,Nunca
IE1903913,A veces,A menudo,A menudo,A veces,A veces,A menudo,A veces,A veces,Raramente,A menudo,Siempre,A veces,Nunca,A menudo,A menudo,A veces,Nunca,A menudo,A menudo
IE9301150,Nunca,A veces,Raramente,A menudo,A menudo,Raramente,Siempre,Raramente,A menudo,Raramente,A veces,A menudo,Raramente,A veces,A menudo,A veces,Raramente,A menudo,Siempre
IE9902064,A menudo,Nunca,A veces,A menudo,A veces,A menudo,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,Raramente,A menudo,Siempre,A menudo,Siempre,A menudo,A menudo
IE0202820,Siempre,A menudo,Siempre,A veces,Raramente,Raramente,A veces,A veces,A menudo,A menudo,A veces,Raramente,A veces,Raramente,Siempre,A veces,A veces,A veces,Raramente
IE0205414,A veces,A veces,Siempre,Raramente,A veces,A veces,Nunca,A menudo,Raramente,A veces,A veces,Raramente,Raramente,A veces,A veces,Raramente,A menudo,A menudo,A menudo
IE2000464,A veces,A veces,A menudo,A menudo,Raramente,A menudo,A veces,A veces,Nunca,Siempre,Raramente,A veces,Siempre,A menudo,A menudo,A veces,Raramente,A menudo,A menudo
IE9902813,A menudo,Siempre,A veces,A veces,Siempre,Raramente,Raramente,A menudo,A veces,A menudo,A veces,A menudo,Siempre,A menudo,Nunca,Raramente,Siempre,A veces,Siempre
IE2504292,A veces,Raramente,A menudo,Siempre,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,Raramente,A menudo,A menudo,Raramente,A veces,Nunca,Raramente,Siempre
IE1404831,Nunca,Siempre,A veces,A veces,Siempre,Siempre,A menudo,A menudo,Nunca,A veces,Raramente,Raramente,Raramente,A menudo,Siempre,Nunca,Raramente,A menudo,A veces
IE9800595,A veces,A veces,Nunca,A menudo,Nunca,A veces,Raramente,A veces,A veces,Raramente,A veces,Raramente,A menudo,Raramente,A menudo,Raramente,A veces,A menudo,Nunca
IE1502616,A veces,Nunca,Raramente,A veces,Siempre,A menudo,Raramente,A menudo,Siempre,A menudo,A veces,A veces,A menudo,A menudo,A menudo,A veces,A veces,A menudo,A menudo
IE9700451,A menudo,Siempre,A menudo,A menudo,Raramente,Nunca,A menudo,A menudo,Raramente,A veces,A menudo,A veces,Siempre,Raramente,Nunca,Raramente,A menudo,Raramente,A veces
IE0302288,A veces,A menudo,A menudo,A veces,A menudo,A menudo,A menudo,A veces,A veces,A menudo,Nunca,Raramente,Raramente,Raramente,A menudo,Raramente,Nunca,A veces,A menudo
IE1103686,Raramente,A menudo,A menudo,Nunca,Raramente,A veces,Raramente,A veces,A menudo,A menudo,Raramente,A menudo,A veces,A menudo,Raramente,Nunca,Raramente,Siempre,Raramente
IE0004890,Raramente,Raramente,A veces,A veces,A veces,A menudo,Raramente,Siempre,A veces,Raramente,Siempre,Raramente,A veces,Nunca,Nunca,A veces,A veces,A menudo,Raramente
IE0704435,Siempre,Raramente,A menudo,Siempre,A veces,A menudo,A veces,A menudo,A menudo,A menudo,Raramente,A veces,A veces,A menudo,A veces,Raramente,A veces,A menudo,A veces
IE0901468,A menudo,Raramente,A menudo,A veces,Raramente,A veces,A veces,A veces,Raramente,Raramente,Siempre,Raramente,A menudo,Raramente,A veces,A veces,Siempre,Raramente,Raramente
IE1701704,Siempre,A menudo,Raramente,Nunca,Siempre,A menudo,Raramente,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,A menudo,Nunca,A veces,Siempre,A veces,Siempre
IE2102590,A veces,A menudo,A veces,Nunca,A menudo,A veces,Siempre,A veces,A menudo,A veces,Nunca,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,Siempre,Raramente
IE1802537,A veces,Siempre,Raramente,Siempre,A veces,A veces,Raramente,A veces,A veces,A veces,Nunca,Siempre,A veces,A veces,A veces,A veces,A menudo,Nunca,A menudo
IE9301175,Siempre,Nunca,A veces,Raramente,Raramente,Siempre,Raramente,A veces,Raramente,A menudo,Raramente,Raramente,A veces,Raramente,Siempre,A veces,A veces,Siempre,A menudo
IE1603479,A veces,A veces,A menudo,Raramente,Raramente,Nunca,Nunca,Nunca,Siempre,A veces,A veces,Raramente,A veces,A menudo,A menudo,A veces,A menudo,A menudo,A veces
IE0000452,Siempre,A menudo,Siempre,A menudo,Siempre,Raramente,A menudo,A menudo,A veces,Siempre,Raramente,Raramente,A menudo,Raramente,A veces,A veces,Raramente,A veces,Raramente
IE1304631,Siempre,Raramente,Raramente,Nunca,A veces,Siempre,Nunca,Raramente,A veces,Nunca,A veces,A veces,A menudo,A menudo,A veces,Nunca,A veces,A veces,A veces
IE0703609,A menudo,Siempre,A menudo,A menudo,Siempre,Siempre,A menudo,A menudo,A menudo,Raramente,A menudo,A veces,Raramente,A menudo,A menudo,Raramente,A veces,A menudo,A menudo
IE0203533,Siempre,A veces,Siempre,Raramente,Raramente,Raramente,Siempre,Nunca,Raramente,A veces,A menudo,A veces,Raramente,Raramente,A veces,A menudo,A veces,A veces,Siempre
IE9803906,Raramente,A menudo,Raramente,A menudo,A menudo,Siempre,A menudo,Raramente,Raramente,Siempre,Raramente,A menudo,A menudo,A menudo,A menudo,A veces,Nunca,A veces,A veces
IE0402648,Nunca,Siempre,A veces,Nunca,Raramente,A veces,Raramente,Raramente,A veces,A menudo,Nunca,A veces,A veces,Siempre,Raramente,Raramente,A menudo,A veces,Siempre
IE2601264,A menudo,A veces,Nunca,Nunca,A menudo,A veces,A menudo,A veces,A menudo,A menudo,Raramente,A menudo,Siempre,A menudo,Nunca,Raramente,Raramente,A veces,A menudo
IE9505152,Siempre,Raramente,A veces,A menudo,Siempre,A menudo,Raramente,A veces,Nunca,A menudo,A menudo,Raramente,A veces,A menudo,A menudo,A veces,A veces,Siempre,Nunca
IE1701000,A menudo,A veces,A veces,A menudo,A veces,A veces,A veces,Raramente,Nunca,Raramente,A veces,A veces,Raramente,A veces,A menudo,A veces,A veces,A veces,Siempre
IE1403209,Raramente,A veces,Siempre,A veces,Nunca,A menudo,Raramente,Raramente,Nunca,A menudo,Siempre,Siempre,Nunca,Raramente,A veces,A veces,Raramente,A menudo,A veces
IE0403661,Raramente,A veces,Raramente,A veces,Nunca,Raramente,Raramente,Nunca,Raramente,A menudo,A veces,A menudo,Nunca,A menudo,A menudo,A veces,Nunca,Siempre,A menudo
IE2004167,Nunca,A veces,Raramente,Siempre,Siempre,Siempre,Raramente,Siempre,Siempre,A veces,Nunca,Raramente,A veces,Nunca,Siempre,Raramente,A veces,A menudo,Nunca
IE9300193,Nunca,Nunca,A veces,A menudo,Nunca,Raramente,A menudo,A veces,Nunca,A veces,Raramente,A veces,Siempre,Nunca,Raramente,A menudo,A veces,Siempre,Raramente
IE1804309,Siempre,A menudo,Raramente,A veces,A menudo,A veces,Raramente,Siempre,A veces,Siempre,A veces,A veces,Nunca,Raramente,A menudo,A menudo,A menudo,Raramente,Siempre
IE0104959,A menudo,A menudo,A veces,A menudo,Raramente,Raramente,Raramente,Raramente,Raramente,Nunca,A veces,A veces,A menudo,Siempre,Nunca,Raramente,A veces,A menudo,Raramente
IE1804598,A menudo,Raramente,A veces,A veces,A veces,A menudo,Nunca,A menudo,Siempre,Nunca,Nunca,Raramente,A menudo,A veces,A menudo,A veces,A menudo,Siempre,Nunca
IE2602943,A veces,Raramente,Nunca,A menudo,A veces,Nunca,Nunca,Nunca,A menudo,Siempre,A veces,A veces,Siempre,A menudo,Nunca,A veces,A veces,Raramente,A veces
IE9404650,A veces,Siempre,A veces,A menudo,A veces,Siempre,A menudo,Raramente,A veces,A menudo,Siempre,A menudo,Raramente,Raramente,A menudo,A veces,A menudo,A menudo,Nunca
IE1404873,A veces,Nunca,A menudo,A veces,A veces,Raramente,A menudo,A veces,A veces,Nunca,A menudo,Raramente,A veces,A menudo,A veces,Nunca,Siempre,Raramente,Nunca
IE9101339,Raramente,A veces,Raramente,A menudo,A veces,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,Nunca,Siempre,A menudo,Siempre,Nunca,A menudo,Raramente
IE0202624,A veces,Siempre,Nunca,Siempre,Siempre,A menudo,Raramente,A veces,Nunca,A veces,Nunca,A veces,Siempre,A veces,Siempre,Siempre,Raramente,A menudo,A menudo
IE0403083,Raramente,A veces,Nunca,Raramente,A menudo,Nunca,Siempre,Raramente,A menudo,A veces,Siempre,A veces,A menudo,A menudo,A veces,Raramente,Raramente,Raramente,Nunca
IE9603809,Siempre,A veces,Nunca,A menudo,Nunca,A veces,Nunca,Raramente,A veces,Raramente,A veces,A veces,A menudo,A menudo,A menudo,A menudo,A menudo,Raramente,Raramente
IE1804825,A veces,Siempre,Raramente,Siempre,A veces,A veces,A veces,Siempre,Raramente,Raramente,Nunca,A veces,A veces,A veces,Raramente,A veces,Siempre,Siempre,Raramente
IE9401294,A menudo,A menudo,Siempre,A veces,A menudo,Raramente,A veces,A menudo,Raramente,Raramente,Nunca,Raramente,Siempre,A menudo,A veces,Siempre,A menudo,A veces,Siempre
IE1004148,Raramente,A veces,A menudo,Siempre,A menudo,A veces,A menudo,A veces,A menudo,A menudo,Nunca,Nunca,Raramente,A veces,A menudo,Raramente,Raramente,Raramente,A veces
IE2104611,A menudo,A menudo,A veces,Nunca,A veces,A veces,A menudo,A menudo,A menudo,Siempre,Siempre,A menudo,A menudo,A menudo,Raramente,Nunca,A menudo,A veces,Siempre
IE2002306,A veces,Nunca,A veces,A menudo,A veces,A menudo,A veces,A veces,Raramente,Raramente,A menudo,A veces,A veces,Raramente,A menudo,Raramente,Raramente,A menudo,Raramente
IE2205075,A menudo,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,Nunca,A veces,Nunca,Siempre,Raramente,A veces,Siempre,A menudo,Raramente,Siempre
IE1703589,Raramente,A menudo,Raramente,Siempre,A menudo,A menudo,Siempre,A veces,Raramente,A veces,A veces,A menudo,Nunca,Siempre,A menudo,A menudo,A menudo,Nunca,Siempre
IE9000369,A veces,Siempre,Raramente,Raramente,A veces,A veces,A menudo,A menudo,A veces,Siempre,Siempre,A veces,A veces,Nunca,A veces,A menudo,Raramente,A menudo,Nunca
IE1001152,A menudo,A veces,A veces,Raramente,A veces,A veces,Nunca,A menudo,A veces,Siempre,A menudo,A veces,A veces,Nunca,Nunca,A veces,A veces,Raramente,Nunca
IE9603695,Raramente,A veces,Raramente,A veces,Raramente,Raramente,Raramente,Siempre,Nunca,Raramente,A menudo,A menudo,A veces,A menudo,A veces,Raramente,A veces,Nunca,A veces
IE1103955,A veces,A veces,Nunca,Nunca,Raramente,Siempre,A menudo,A menudo,A menudo,A veces,A menudo,A menudo,Nunca,A veces,A veces,A menudo,Siempre,A veces,Nunca
IE0204820,Siempre,A menudo,A veces,A menudo,Nunca,A menudo,A veces,A menudo,A menudo,A veces,A veces,Raramente,Siempre,Raramente,Siempre,A menudo,Raramente,A veces,A veces
IE2205408,Siempre,Siempre,A veces,A menudo,Nunca,A veces,A veces,Siempre,A menudo,Raramente,A veces,A veces,Nunca,A veces,Siempre,A veces,A menudo,A veces,A veces
IE9800192,A veces,Siempre,A veces,A menudo,Siempre,A veces,Nunca,A veces,A veces,A veces,A veces,A menudo,A veces,Raramente,Siempre,Nunca,A menudo,Raramente,Raramente
IE0702078,A veces,A menudo,A veces,A menudo,Raramente,Raramente,Raramente,A menudo,A menudo,Raramente,Raramente,A menudo,Raramente,Nunca,Siempre,A veces,Raramente,A veces,Siempre
IE1800109,A veces,A menudo,A menudo,A veces,A veces,A veces,Raramente,A menudo,Nunca,A menudo,A veces,Nunca,Raramente,Raramente,A menudo,A veces,Raramente,A veces,A veces
IE9803655,Siempre,Raramente,A veces,Raramente,Siempre,Siempre,Raramente,Raramente,A veces,Raramente,A veces,Raramente,A veces,A menudo,Siempre,A menudo,A veces,Raramente,A veces
IE2302857,Nunca,A veces,A menudo,A veces,A veces,Raramente,Siempre,A veces,A veces,A veces,A menudo,A menudo,A menudo,Nunca,Raramente,Nunca,Siempre,Siempre,A veces
IE2503270,Siempre,Raramente,Siempre,A menudo,Raramente,Siempre,A menudo,A veces,Raramente,A menudo,A menudo,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,Raramente,A menudo
IE0401361,Siempre,Raramente,Raramente,Raramente,Siempre,Raramente,Siempre,Raramente,Raramente,Nunca,Raramente,Raramente,Nunca,Siempre,A menudo,A menudo,Raramente,A menudo,A menudo
IE9203149,A menudo,Raramente,A veces,A veces,A menudo,A menudo,A veces,A veces,Raramente,A menudo,A veces,Raramente,Siempre,Siempre,A menudo,Raramente,Siempre,Raramente,A menudo
IE9604798,Nunca,A menudo,A veces,Siempre,A menudo,A menudo,A veces,A veces,Siempre,Nunca,A veces,A menudo,Nunca,A menudo,Raramente,Siempre,Raramente,A menudo,A menudo
IE9905352,Nunca,Raramente,A menudo,A veces,A menudo,Raramente,Nunca,A veces,Raramente,Siempre,A menudo,Siempre,A veces,A menudo,Raramente,A veces,Nunca,Siempre,A veces
